article,url,dates,rows,columns,cells,numeric_ratio,popularity,f1_score
1990 Ben Hogan Tour,https://en.wikipedia.org/wiki/1990_Ben_Hogan_Tour,{'Date': '%b %d'},30,5,150,0.2,122,0.64
1990 FIFA World Cup knockout stage,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup_knockout_stage,{},15,5,75,0.0,2952,0.92
1990 PGA Tour of Australia,https://en.wikipedia.org/wiki/1990_PGA_Tour_of_Australia,{'Date': '%d %b'},14,6,84,0.16666666666666666,50,0.43209876543209874
1991–92 Southern Africa Tour,https://en.wikipedia.org/wiki/1991%E2%80%9392_Southern_Africa_Tour,{'Date': '%d %b'},10,6,60,0.3333333333333333,25,0.4347826086956522
1991 Ben Hogan Tour,https://en.wikipedia.org/wiki/1991_Ben_Hogan_Tour,{'Date': '%b %d'},30,5,150,0.2,53,0.68
1991 NCAA Division I women's basketball tournament,https://en.wikipedia.org/wiki/1991_NCAA_Division_I_women%27s_basketball_tournament,{},31,3,93,0.3333333333333333,540,0.6666666666666666
1991 PGA Tour of Australasia,https://en.wikipedia.org/wiki/1991_PGA_Tour_of_Australasia,{'Date': '%d %b'},16,6,96,0.16666666666666666,36,0.2150537634408602
1992–93 Southern Africa Tour,https://en.wikipedia.org/wiki/1992%E2%80%9393_Southern_Africa_Tour,{'Date': '%d %b'},9,6,54,0.3333333333333333,26,0.25757575757575757
1992 NCAA Division I women's basketball tournament,https://en.wikipedia.org/wiki/1992_NCAA_Division_I_women%27s_basketball_tournament,{},30,3,90,0.3333333333333333,562,0.6774193548387096
1992 PGA Tour of Australasia,https://en.wikipedia.org/wiki/1992_PGA_Tour_of_Australasia,{'Date': '%d %b'},17,6,102,0.16666666666666666,37,0.3020833333333333
1993–94 Southern Africa Tour,https://en.wikipedia.org/wiki/1993%E2%80%9394_Southern_Africa_Tour,{'Date': '%d %b'},9,6,54,0.3333333333333333,21,0.28571428571428575
1993 NCAA Division I women's basketball tournament,https://en.wikipedia.org/wiki/1993_NCAA_Division_I_women%27s_basketball_tournament,{},28,3,84,0.3333333333333333,634,0.5555555555555555
1994 Commonwealth Games,https://en.wikipedia.org/wiki/1994_Commonwealth_Games,{},33,6,198,0.8333333333333334,2068,0.8939393939393939
1994 FIFA World Cup knockout stage,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_knockout_stage,{},15,5,75,0.0,2909,0.20000000000000004
1994 Nike Tour,https://en.wikipedia.org/wiki/1994_Nike_Tour,{'Date': '%b %d'},28,5,140,0.2,49,0.5142857142857142
1995 Asian PGA Tour,https://en.wikipedia.org/wiki/1995_Asian_PGA_Tour,{'Date': '%d %b'},18,5,90,0.2,41,0.16842105263157894
1995 Canadian Tour,https://en.wikipedia.org/wiki/1995_Canadian_Tour,{'Date': '%b %d'},11,5,55,0.2,16,0.41739130434782606
1995 NCAA Division I women's basketball tournament,https://en.wikipedia.org/wiki/1995_NCAA_Division_I_women%27s_basketball_tournament,{},34,3,102,0.3333333333333333,903,0.6368159203980099
1995 Nike Tour,https://en.wikipedia.org/wiki/1995_Nike_Tour,{'Date': '%b %d'},30,5,150,0.2,55,0.7389830508474577
1996 Canadian Tour,https://en.wikipedia.org/wiki/1996_Canadian_Tour,{'Date': '%b %d'},12,5,60,0.2,17,0.4000000000000001
1996 Cricket World Cup statistics,https://en.wikipedia.org/wiki/1996_Cricket_World_Cup_statistics,{},10,12,120,0.75,695,0.44999999999999996
1996 NCAA Division I women's basketball tournament,https://en.wikipedia.org/wiki/1996_NCAA_Division_I_women%27s_basketball_tournament,{},33,3,99,0.3333333333333333,554,0.5396825396825397
1996 Nike Tour,https://en.wikipedia.org/wiki/1996_Nike_Tour,{'Date': '%b %d'},29,5,145,0.2,58,0.6526315789473683
