State/Territory,Chinese,Filipino,Indian,Japanese,Korean,Vietnamese,Other Asian
Alabama,11154.0,8224.0,14951.0,4336.0,10624.0,8488.0,9259
Alaska,3726.0,25424.0,1911.0,3926.0,6542.0,1446.0,7427
American Samoa,440.0,1217.0,3.0,11.0,217.0,34.0,72
Arizona,42331.0,53067.0,40510.0,19611.0,21125.0,27872.0,26391
Arkansas,6301.0,6396.0,7973.0,2384.0,3247.0,6302.0,12340
California,1451537.0,1474707.0,590445.0,428014.0,505225.0,647589.0,459075
Colorado,33344.0,26242.0,24135.0,22714.0,28177.0,23933.0,27044
Connecticut,36483.0,16402.0,50806.0,6203.0,11760.0,10804.0,24630
Delaware,7033.0,4637.0,12344.0,1196.0,3099.0,1688.0,3704
District of Columbia,6583.0,3670.0,6417.0,2010.0,2990.0,1856.0,3331
Florida,94244.0,122691.0,151438.0,25747.0,35629.0,65772.0,77562
Georgia,54298.0,28528.0,105444.0,14247.0,60836.0,49264.0,52880
Guam,2617.0,41944.0,,2368.0,3437.0,337.0,678
Hawaii,199751.0,342095.0,4737.0,312292.0,48699.0,13266.0,139872
Idaho,5473.0,6211.0,2786.0,5698.0,2806.0,2154.0,4570
Illinois,119308.0,139090.0,203669.0,28623.0,70263.0,29101.0,78640
Indiana,26038.0,16988.0,30947.0,8437.0,13685.0,8175.0,22480
Iowa,11494.0,6026.0,12525.0,2854.0,7375.0,9543.0,14695
Kansas,13448.0,9399.0,15644.0,4178.0,7756.0,16074.0,17431
Kentucky,10512.0,8402.0,14253.0,6197.0,7264.0,5813.0,9588
Louisiana,11953.0,10243.0,13147.0,3117.0,4752.0,30202.0,10921
Maine,4390.0,2918.0,2397.0,1181.0,1741.0,2170.0,3536
Maryland,79660.0,56909.0,88709.0,12826.0,55051.0,26605.0,50284
Massachusetts,136866.0,18673.0,85441.0,15358.0,28904.0,47636.0,61343
Michigan,51525.0,32324.0,84750.0,17412.0,30292.0,19456.0,53848
Minnesota,30047.0,15660.0,38097.0,7995.0,20995.0,27086.0,107252
Mississippi,5333.0,5638.0,6458.0,807.0,2301.0,7721.0,4302
Missouri,26001.0,17706.0,26263.0,7084.0,12689.0,16530.0,17298
Montana,1919.0,2829.0,930.0,1854.0,1369.0,481.0,1100
Nebraska,5730.0,4900.0,6708.0,3106.0,3815.0,8677.0,7625
Nevada,39448.0,123891.0,14290.0,21364.0,18518.0,12366.0,13039
New Hampshire,7652.0,3369.0,9075.0,1842.0,3021.0,2907.0,6686
New Jersey,149356.0,126793.0,311310.0,19710.0,100334.0,23535.0,64125
New Mexico,7668.0,8535.0,5727.0,4889.0,3760.0,5403.0,4474
New York,615932.0,126129.0,368767.0,51781.0,153609.0,34510.0,228763
North Carolina,40820.0,29314.0,63852.0,12878.0,25420.0,30665.0,49636
North Dakota,1762.0,1704.0,1740.0,628.0,933.0,791.0,1635
Northern Mariana Islands,3659.0,19017.0,,795.0,2253.0,,1184
Ohio,50870.0,27661.0,71211.0,16995.0,21207.0,15639.0,34706
Oklahoma,11658.0,10850.0,14078.0,5580.0,9072.0,18098.0,14834
Oregon,41374.0,29101.0,20200.0,24535.0,20395.0,29485.0,21191
Pennsylvania,96606.0,33021.0,113389.0,12699.0,47429.0,44605.0,54838
Puerto Rico,2751.0,445.0,5475.0,313.0,205.0,232.0,1043
Rhode Island,8228.0,4117.0,5645.0,1455.0,2658.0,1615.0,13045
South Carolina,11706.0,15228.0,17961.0,4745.0,7162.0,7840.0,11032
South Dakota,1570.0,1864.0,1433.0,696.0,1179.0,1002.0,2472
Tennessee,18313.0,14409.0,26619.0,6955.0,13245.0,11351.0,22506
Texas,182477.0,137713.0,269327.0,37715.0,85332.0,227968.0,170134
Utah,16358.0,10657.0,7598.0,12782.0,7888.0,9338.0,13127
Vermont,2833.0,1035.0,1723.0,842.0,1271.0,1206.0,1553
Virgin Islands,,,,,,,1457
Virginia,72585.0,90493.0,114471.0,20138.0,82006.0,59984.0,82522
Washington,120814.0,137083.0,68978.0,67597.0,80049.0,75843.0,53887
West Virginia,3208.0,3059.0,3969.0,1159.0,1571.0,1104.0,2395
Wisconsin,21054.0,13158.0,25998.0,5967.0,10949.0,6191.0,68196
Wyoming,1340.0,1657.0,739.0,982.0,803.0,283.0,925
United States of America,4010114.0,3416840.0,3183063.0,1304286.0,1706822.0,1737433.0,1962298
