Score,Against,Pos.,Inn.,S/R,Venue,H/A/N,Date,Result
106,Australia,3,2,108.16,"Harare Sports Club, Harare",Neutral,27 August 2014,Won
126,Australia,3,2,115.59,"Harare Sports Club, Harare",Neutral,02 September 2014,Lost
121,Zimbabwe,3,1,86.42,"Harare Sports Club, Harare",Away,04 September 2014,Won
109,Ireland,3,1,100.0,"Manuka Oval, Canberra",Neutral,03 March 2015,Won
133 not out,India,3,1,115.65,"Wankhede Stadium, Mumbai",Away,25 October 2015,Won
111,Australia,3,1,119.35,"Wanderers Stadium, Johannesburg",Home,02 October 2016,Won
105,Sri Lanka,3,1,87.5,"Kingsmead Cricket Ground, Durban",Home,01 February 2017,Won
185,Sri Lanka,3,1,131.2,"Newlands Cricket Ground, Cape Town",Home,07 February 2017,Won
120,India,3,1,107.14,"Kingsmead Cricket Ground, Durban",Home,01 February 2018,Lost
125,Australia,4,1,109.64,"Bellerive Oval, Hobart",Away,11 November 2018,Won
112 not out,Sri Lanka,3,2,98.24,"Wanderers Stadium, Johannesburg",Home,03 March 2019,Won
100,Australia,3,1,106.38,"Old Trafford, Manchester",Neutral,06 July 2019,Won
