Item,Creator,Date,Construction,Pages,Size
Star Trek The Motion Picture: 14 Official Blueprints,Andrew G. Probert,1980,,14.0,19 x 13
Star Trek: Starship Spotter,Adam Mojo Lebowitz & Robert Bonchune,2001,,128.0,7.4 x 9.1
Star Fleet Technical Supplements Booklet No. 1,Andres Castineiras,1977,,5.0,8.5 x 11
Federation Reference Series Volume 1,Aridas Sofia,1985,,30.0,8.5 x 11
Federation Reference Series Volume 2,Aridas Sofia,1985,,32.0,8.5 x 11
Federation Reference Series Volume 3,Aridas Sofia,1986,,30.0,8.5 x 11
Federation Reference Series Volume 4,Aridas Sofia,1986,,28.0,8.5 x 11
Federation Reference Series Volume 5,Aridas Sofia,1987,,28.0,8.5 x 11
Federation Reference Series Volume 6,Aridas Sofia,1987,,32.0,8.5 x 11
Star Ship Registry Program Instruction Manual,Bernard Guignard,,,15.0,8.5 x 11
Reischl's Guide to Ships of the Fleet,Bernard Reischl,1989,,20.0,8.5 x 11
Ships of the Star Fleet - Volume Five: Star Fleet Facilities,Chris Wallace,2005,.pdf,60.0,8.5 x 13
Ships of the Star Fleet - Volume Four: Star Fleet Operating Forces,Chris Wallace,2005,.pdf,47.0,8.5 x 13
Ships of the Star Fleet - Volume One: Cruiser,Chris Wallace,2005,.pdf,116.0,8.5 x 13
Ships of the Star Fleet - Volume Three: Scouts and Escorts,Chris Wallace,2005,.pdf,59.0,8.5 x 13
Ships of the Star Fleet - Volume Two: Patrol Combatants,Chris Wallace,2005,.pdf,85.0,8.5 x 13
Starship Datafile - Volume Two: 2323-2423,Chris Wallace,2003,.pdf,20.0,8.5 x 11
Starship Recognition Guide - Volume One: 2223-2325,Chris Wallace,2001,.pdf,25.0,8.5 x 11
Starship Recognition Guide - Volume Two: 2325-2423,Chris Wallace,2003,.pdf,20.0,8.5 x 11
The Best of Dockyard Review - Volume One: 2290-2350,Chris Wallace,2005,.pdf,45.0,8.5 x 13
The Best of Dockyard Review - Volume Two: 2350-2390,Chris Wallace,2003,.pdf,47.0,8.5 x 13
The NX Class Cruiser - An Introductory Guide,Chris Wallace,2002,.pdf,19.0,9 x 12
The Ships of the Fifth Fleet,Chris Wallace,2000,.pdf,41.0,9 x 12
Dockyard Review - The Journal of the Advanced Starship Design Bureau Volume 2 - Issue 1,"Chris Wallace, Belldandy Morisato, Alex Rosenzweig, J. Scott Spadaro, Miyuki Kobayakawa",2001,.pdf,12.0,8.5 x 11
Dockyard Review - The Journal of the Advanced Starship Design Bureau Volume 4 - Issue 2,"Chris Wallace, Belldandy Morisato, Alex Rosenzweig, J. Scott Spadaro, Miyuki Kobayakawa",1999,.pdf,13.0,8.5 x 11
Dockyard Review - The Journal of the Advanced Starship Design Bureau Volume 4 - Issue 3,"Chris Wallace, Belldandy Morisato, Alex Rosenzweig, J. Scott Spadaro, Miyuki Kobayakawa",1999,.pdf,19.0,8.5 x 11
Dockyard Review - The Journal of the Advanced Starship Design Bureau Volume 4 - Issue 4,"Chris Wallace, Belldandy Morisato, Alex Rosenzweig, J. Scott Spadaro, Miyuki Kobayakawa",1999,.pdf,16.0,8.5 x 11
Dockyard Review - The Journal of the Advanced Starship Design Bureau Volume 4 - Issue 5,"Chris Wallace, Belldandy Morisato, Alex Rosenzweig,  J. Scott Spadaro, Miyuki Kobayakawa",1999,.pdf,18.0,8.5 x 11
Dockyard Review - The Journal of the Advanced Starship Design Bureau Volume 4 - Issue 6,"Chris Wallace, Belldandy Morisato, Alex Rosenzweig,  J. Scott Spadaro, Miyuki Kobayakawa",1999,.pdf,14.0,8.5 x 11
Dockyard Review - The Journal of the Advanced Starship Design Bureau Volume 4 - Issue 7,"Chris Wallace, Belldandy Morisato, Alex Rosenzweig, J. Scott Spadaro, Miyuki Kobayakawa",1999,.pdf,13.0,8.5 x 11
Dockyard Review - The Journal of the Advanced Starship Design Bureau Volume 4 - Issue 8,"Chris Wallace, Belldandy Morisato, Alex Rosenzweig, J. Scott Spadaro, Miyuki Kobayakawa",1999,.pdf,16.0,8.5 x 11
Dockyard Review - The Journal of the Advanced Starship Design Bureau Volume 4 - Issue 9,"Chris Wallace, Belldandy Morisato, Alex Rosenzweig, J. Scott Spadaro, Miyuki Kobayakawa",1999,.pdf,12.0,8.5 x 11
Dockyard Review - The Journal of the Advanced Starship Design Bureau Volume 4 - Issue 10,"Gordon Murray, Belldandy Morisato, Alex Rosenzweig,  J. Scott Spadaro, Miyuki Kobayakawa",1999,.pdf,10.0,8.5 x 11
Dockyard Review - The Journal of the Advanced Starship Design Bureau Volume 3 - Issue 1,"Harvey Postlewaite. Laguna Milano, Estoril Monza, Giles Silverstone",1999,.pdf,8.0,8.5 x 11
Dockyard Review - The Journal of the Advanced Starship Design Bureau Volume 3 - Issue 2,"Harvey Postlewaite. Laguna Milano, Estoril Monza, Giles Silverstone",1999,.pdf,14.0,8.5 x 11
Dockyard Review - The Journal of the Advanced Starship Design Bureau Volume 4 - Issue 1,"Harvey Postlewaite. Laguna Milano, Estoril Monza, Giles Silverstone",1999,.pdf,12.0,8.5 x 11
Dockyard Review - The Journal of the Advanced Starship Design Bureau Volume 2 - Issue 1,"John Barnard, Alan Jenkins, Adelaide Kylami, Interlagos Catalunya",1999,.pdf,13.0,8.5 x 11
Dockyard Review - The Journal of the Advanced Starship Design Bureau Volume 2 - Issue 2,"John Barnard, Alan Jenkins, Adelaide Kylami, Interlagos Catalunya",1999,.pdf,15.0,8.5 x 11
Dockyard Review - The Journal of the Advanced Starship Design Bureau Volume 2 - Issue 2,"John Barnard, Alan Jenkins, Adelaide Kylami, Interlagos Catalunya",1999,.pdf,15.0,8.5 x 11
