Aircraft,Total,Introduced,Retired
Airbus A300B2,4,1976,2001
Airbus A300B4,4,1981,2001
Airbus A300C4,1,1982,2000
Airbus A319-100,10,2004,2023
Airbus A320-200,7,1991,2002
Airbus A320-200,11,2013,2020
Airbus A330-200,5,2002,2004
Airbus A330-200,6,2011,2020
Airbus A340-200,6,2003,2014
Airbus A340-600,9,2002,2021
Airbus A350-900,4,2019,2020
Airspeed AS.6 Envoy,4,1936,1938
Avro 685 York,8,1945,1947
Boeing 707-320,11,1960,1980
Boeing 727-100,6,1965,1982
Boeing 727-100C,3,1967,1982
Boeing 737-200,29,1968,2006
Boeing 737-200F,2,1981,2013
Boeing 737-300F,3,2007,2020
Boeing 737-800,21,2000,2018
Boeing 747-200B,5,1971,2004
Boeing 747-200M,2,1980,1994
Boeing 747-200F,2,1995,2000
Boeing 747-300,6,1983,2004
Boeing 747-400,8,1991,2010
Boeing 747SP,6,1976,2003
Boeing 767-200ER,3,1993,2004
de Havilland DH.60 Gypsy Moth,1,1934,1937
de Havilland DH.104 Dove,2,1947,1952
de Havilland DH.106 Comet,2,1953,1954
Douglas DC-3,8,1946,1970
Douglas DC-4,7,1946,1967
Douglas DC-7,4,1956,1967
Hawker Siddeley HS 748,3,1970,1983
Junkers F.13,4,1934,1940
Junkers Ju 52/3m,15,1934,1940
Junkers Ju 86,18,1937,1940
Junkers W.34,1,1934,1937
Lockheed Constellation,4,1950,1964
Lockheed L-18 Lodestar,21,1944,1955
Vickers VC.1 Viking,8,1947,1951
Vickers Viscount,8,1958,1971
