Year,Title,Album/CD single
1994,Gela Mou,Gela Mou
1994,Den Iparhi Tipota,Gela Mou
1994,To Adiexodo,Gela Mou
1996,Esena Perimeno,Esena Perimeno
1996,Den Pethainei I Agapi,Esena Perimeno
1997,O Perittos,Deka Entoles
1998,Nyhtolouloudo Mou,Deka Entoles
1998,Deka Entoles,Deka Entoles
1998,Thelo Na Se Ksehaso,Deka Entoles
1998,To Allo Miso,Deka Entoles
1998,Spania,Profities
1999,Profities,Profities
2000,To Koritsaki Sou,Profities
2000,Giatriko,Profities
2000,Apapa,Profities
2000,Sta 'Dosa Ola,Profities
2000,Ipofero,Ipofero
2001,Lypamai,Ipofero
2001,Gia,Gia
2001,Hristougenna,Gia
2002,Lathos Anthropos,Gia
2002,Anaveis Foties,Gia
2002,Olo Leipeis,Gia
2002,Ela,Gia
2002,Thelo Na Se Do,Gia
2003,Simera,Gia  + Ante Gia
2003,I Melodia Tis Monaksias,Gia  + Ante Gia
2003,Gia,Gia
2003,Thimisou,Gia
2003,Oti Oneirevomoun,Despina Vandi: Live
2003,Fevgoume Kardia Mou,Despina Vandi: Live
2004,Come Along Now,Come Along Now
2004,Opa Opa,Gia
2004,Happy End,Stin Avli Tou Paradisou
2005,Na Tin Hairesai,Stin Avli Tou Paradisou
2005,Stin Avli Tou Paradisou,Stin Avli Tou Paradisou
2005,Jambi,Stin Avli Tou Paradisou: Special Edition
2006,Amane,Stin Avli Tou Paradisou: Special Edition
2006,Kalanta,Kalanta
2006,Mehri Mai Mina,Kalanta
2007,Thelo,10 Hronia Mazi
2007,10 Hronia Mazi,10 Hronia Mazi
2008,Agapi,10 Hronia Mazi
2008,Fantasou Apla,10 Hronia Mazi
2008,I Gi Ki I Selini,10 Hronia Mazi
2008,Destiny,10 Hronia Mazi: It's Destiny
2008,Tha' Thela,10 Hronia Mazi
2009,Iparhi Zoi,Greatest Hits 2001-2009
2010,Koritsi Prama,C'est La Vie
2010,Sunday,C'est La Vie
2010,Kommati Ap' Tin Kardia Sou,C'est La Vie
2010,Erota Theli I Zoi,C'est La Vie
2010,Kommati Ap' Tin Kardia Sou,C'est La Vie
2010,Erota Theli I Zoi,C'est La Vie
2011,Gi' Alli Mia Fora,C'est La Vie
2011,Mou 'His Perasi,Allaxa
2012,Girismata,Allaxa
2012,To Nisi,Allaxa
2012,T' Asteri Mou,Allaxa
2012,Katalaveno,Allaxa
2012,Mou Ftiahnis Ti Mera,Allaxa
2012,To Ligo Sou Na Zo,Allaxa
2012,Allaxa,Allaxa
2013,Otan Perasi Afti I Nihta,
2013,Hano Esena,De Me Stamatises
2014,Kalimera,De Me Stamatises
2014,Ola Allazoun,De Me Stamatises
2014,Kalimera,De Me Stamatises
2014,Kane Kati,De Me Stamatises
2015,An Sou Leipo,De Me Stamatises
2015,Mia Anasa Makria Sou,Afti Einai I Diafora Mas
2015,To Maxilari,Afti Einai I Diafora Mas
2016,Gia Kaki Mou Tihi,Afti Einai I Diafora Mas
2016,Perasa Na Do,Afti Einai I Diafora Mas
2017,Afti Einai I Diafora Mas,Afti Einai I Diafora Mas
2017,Kati Pige Lathos,Afti Einai I Diafora Mas
2017,"O,ti Thes Geniete Tora",Afti Einai I Diafora Mas
2019,I Kathe Nihta Fernei Fos,
2020,Ena Tsigaro Diadromi,
2021,Petra,
2021,Pou les,
2022,Ta kalokairia mou misa,
