Name,District,City,Party
"Abeler, Jim",48B,Anoka,Rep
"Anderson, Bruce",19A,Buffalo Township,Rep
"Anderson, Sarah",43A,Plymouth,Rep
"Anzelc, Tom",03A,Balsam Township,DFL
"Atkins, Joe",39B,Inver Grove Heights,DFL
"Beard, Michael",35A,Shakopee,Rep
"Benson, John",43B,Minnetonka,DFL
"Berns, John",33B,Wayzata,Rep
"Bigham, Karla",57A,Cottage Grove,DFL
"Bly, David",25B,Northfield,DFL
"Brod, Laura",25A,New Prague,Rep
"Brown, Robin",27A,Austin,DFL
"Brynaert, Kathy",23B,Mankato,DFL
"Buesgens, Mark",35B,Jordan,Rep
"Bunn, Julie",56A,Lake Elmo,DFL
"Carlson, Lyndon",45B,Crystal,DFL
"Clark, Karen",61A,Minneapolis,DFL
"Cornish, Tony",24B,Good Thunder,Rep
"Davnie, Jim",62A,Minneapolis,DFL
"Dean, Matt",52B,Dellwood,Rep
"DeLaForest, Chris",49A,Andover,Rep
"Demmer, Randy",29A,Hayfield,Rep
"Dettmer, Bob",52A,Forest Lake,Rep
"Dill, David",06A,Crane Lake,DFL
"Dittrich, Denise",47A,Champlin,DFL
"Dominguez, Augustine Willie",58B,Minneapolis,DFL
"Doty, Al",12B,Royalton,DFL
"Drazkowski, Steve",28B,Wabasha,Rep
"Eastlund, Rob",17A,Isanti,Rep
"Eken, Kent",02A,Twin Valley,DFL
"Emmer, Tom",19B,Delano,Rep
"Erhardt, Ron",41A,Edina,Rep
"Erickson, Sondra",16A,Princeton,Rep
"Faust, Tim",08B,Mora,DFL
"Finstad, Brad",21B,Comfrey,Rep
"Fritz, Patti",26B,Faribault,DFL
"Gardner, Paul",53A,Shoreview,DFL
"Garofalo, Pat",36B,Farmington,Rep
"Gottwalt, Steve",15A,St. Cloud,Rep
"Greiling, Mindy",54A,Roseville,DFL
"Gunther, Bob",24A,Fairmont,Rep
"Hackbarth, Tom",48A,Cedar,Rep
"Hamilton, Rod",22B,Mountain Lake,Rep
"Hansen, Rick",39A,South St. Paul,DFL
"Hausman, Alice",66B,St. Paul,DFL
"Haws, Larry",15B,St. Cloud,DFL
"Heidgerken, Bud",13A,Freeport,Rep
"Hilstrom, Debra",46B,Brooklyn Center,DFL
"Hilty, Bill",08A,Finlayson,DFL
"Holberg, Mary Liz",36A,Lakeville,Rep
"Hoppe, Joe",34B,Chaska,Rep
"Hornstein, Frank",60B,Minneapolis,DFL
"Hortman, Melissa",47B,Brooklyn Park,DFL
"Hosch, Larry",14B,St. Joseph,DFL
"Howes, Larry",04B,Walker,Rep
"Huntley, Thomas",07A,Duluth,DFL
"Jaros, Mike",07B,Duluth,DFL
"Johnson, Sheldon",67B,St. Paul,DFL
"Juhnke, Al",13B,Willmar,DFL
"Kahn, Phyllis",59B,Minneapolis,DFL
"Kalin, Jeremy",17B,Lindstrom,DFL
"Kelliher, Margaret Anderson",60A,Minneapolis,DFL
"Knuth, Kate",50B,New Brighton,DFL
"Koenen, Lyle",20B,Clara City,DFL
"Kohls, Paul",34A,Victoria,Rep
"Kranz, Scott",51A,Blaine,DFL
"Laine, Carolyn",50A,Columbia Heights,DFL
"Lanning, Morrie",09A,Moorhead,Rep
"Lenczewski, Ann",40B,Bloomington,DFL
"Lesch, John",66A,St. Paul,DFL
"Liebling, Tina",30A,Rochester,DFL
"Lieder, Bernard",01B,Crookston,DFL
"Lillie, Leon",55A,North St. Paul,DFL
"Loeffler, Diane",59A,Minneapolis,DFL
"Madore, Shelley",37A,Apple Valley,DFL
"Magnus, Doug",22A,Slayton,Rep
"Mahoney, Tim",67A,St. Paul,DFL
"Mariani, Carlos",65B,St. Paul,DFL
"Marquart, Paul",09B,Dilworth,DFL
"Masin, Sandra",38A,Eagan,DFL
"McFarlane, Carol",53B,White Bear Lake,Rep
"McNamara, Denny",57B,Hastings,Rep
"Moe, Frank",04A,Bemidji,DFL
"Morgan, Will",40A,Burnsville,DFL
"Morrow, Terry",23A,St. Peter,DFL
"Mullery, Joe",58A,Minneapolis,DFL
"Murphy, Erin",64A,St. Paul,DFL
"Murphy, Mary",06B,Hermantown,DFL
"Nelson, Michael",46A,Brooklyn Park,DFL
"Nornes, Bud",10A,Fergus Falls,Rep
"Norton, Kim",29B,Rochester,DFL
"Olin, Dave",01A,Thief River Falls,DFL
"Olson, Mark",16B,Big Lake,IR
"Otremba, Mary Ellen",11B,Long Prairie,DFL
"Ozment, Dennis",37B,Rosemount,Rep
"Paulsen, Erik",42B,Eden Prairie,Rep
"Paymar, Michael",64B,St. Paul,DFL
"Pelowski, Gene",31A,Winona,DFL
"Peppin, Joyce",32A,Rogers,Rep
"Peterson, Aaron",20A,Appleton,DFL
"Peterson, Neil W.",41B,Bloomington,Rep
"Peterson, Sandra",45A,New Hope,DFL
"Poppe, Jeanne",27B,Austin,DFL
"Rukavina, Tom",05A,Virginia,DFL
"Ruth, Connie",26A,Owatonna,Rep
