Case,Page & year,Opinions of the Court,Lower court,Disposition
Georgia v. Brailsford,1,Jay,original,jury verdict for defendants
Glass v. The Sloop Betsey,6,Jay,D. Md.,Reversed
United States v. Hamilton,17,Wilson,D. Pa.,certification
Bingham v. Cabot,19,"seriatim: Paterson, Iredell, Wilson, Cushing",C.C.D. Mass.,reversed
United States v. Lawrence,42,per curiam,D.N.Y.,mandamus denied
Penhallow v. Doane's Administrators,54,Cushing,C.C.D.N.H.,reversed
United States v. Peters,121,Rutledge,D. Pa.,prohibition issued
Talbot v. Janson,133,"seriatim: Paterson, Iredell",C.C.D.S.C.,affirmed
Hylton v. United States,171,"seriatim: Chase, Paterson, Iredell",C.C.D. Va.,affirmed
Hills v. Ross,184,per curiam,C.C.D. Ga.,continued
McDonough v. Dannery,188,per curiam,C.C.D. Mass.,affirmed
Ware v. Hylton,199,"seriatim: Chase, Wilson, Cushing",C.C.D. Va.,reversed
Geyer v. Michel,285,per curiam,C.C.D.S.C.,affirmed
United States v. La Vengeance,297,Ellsworth,C.C.D.N.Y.,affirmed
Cotton v. Wallace,302,per curiam,C.C.D. Ga.,mandate granted
Hunter v. Fairfax's Devisee,305,per curiam,not indicated,continued
Arcambel v. Wiseman,306,per curiam,C.C.D.R.I.,remittitur granted
Moodie v. The Ship Alfred,307,per curiam,not indicated,affirmed
Olney v. Arnold,308,Ellsworth,R.I. Super. Ct.,affirmed
Moodie v. The Ship Phoebe Anne,319,Ellsworth,C.C.D.S.C.,affirmed
Grayson v. Virginia,320,Ellsworth,original,subpoena granted
Wiscart v. Dauchy,321,per curiam,C.C.D. Va.,affirmed
Hills v. Ross,331,"seriatim: Ellsworth, Iredell, Chase",C.C.D. Ga.,reversed
Del Col v. Arnold,333,per curiam,C.C.D.S.C.,affirmed
Jennings v. The Brig Perseverance,336,"seriatim: Paterson, Chase",C.C.D.R.I.,affirmed
Huger v. South Carolina,339,"seriatim: Iredell, Chase",original,petition granted
Clerke v. Harwood,342,per curiam,Md.,affirmed
Brown v. Van Braam,344,"seriatim: Wilson, Paterson, Chase",C.C.D.R.I.,affirmed
Fenemore v. United States,357,"seriatim: Chase, Iredell, Cushing, Ellsworth, Paterson",C.C.D.N.J.,affirmed
Brown v. Barry,365,Ellsworth,C.C.D. Va.,affirmed
Emory v. Grenough,369,per curiam,C.C.D. Mass.,dismissed
Hamilton v. Moore,371,per curiam,C.C.D. Ga.,dismissed
Hollingsworth v. Virginia,378,"per curiam, and Chase",not indicated,dismissed
Bingham v. Cabot,382,per curiam,C.C.D. Mass.,dismissed
Jones v. Le Tombe,384,per curiam,original,rule made absolute
Calder v. Bull,386,"seriatim: Chase, Paterson, Iredell, Cushing",Conn.,affirmed
Wilson v. Daniel,401,"seriatim: Ellsworth, Iredell, Chase",C.C.D. Va.,affirmed
Dewhurst v. Coulthard,409,per curiam,C.C.D.N.Y.,dismissed
Ex parte Hallowell,410,per curiam,original,Hallowell admitted to bar of Court
Fowler v. Lindsey,411,"seriatim: Washington, Paterson, Cushing",C.C.D. Conn.,rule discharged
Clarke v. Russel,415,Ellsworth,C.C.D.R.I.,reversed
Sims' Lessee v. Irvine,425,"seriatim: Ellsworth, Iredell",C.C.D. Pa.,affirmed
