Year,Democratic,Republican
2024,"78.0% 36,445","18.6% 8,699"
2020,"81.3% 40,907","16.6% 8,357"
2016,"77.6% 36,463","16.5% 7,764"
2012,"71.3% 32,099","27.0% 12,154"
2008,"75.0% 33,360","23.1% 10,283"
2004,"75.2% 32,061","23.5% 10,025"
2000,"73.0% 29,918","19.8% 8,132"
1996,"73.5% 30,005","20.8% 8,499"
1992,"65.2% 29,136","21.5% 9,623"
1988,"66.8% 29,039","32.0% 13,892"
1984,"62.7% 27,343","37.1% 16,184"
1980,"45.8% 20,173","35.4% 15,621"
1976,"55.5% 25,116","40.6% 18,372"
1972,"60.0% 27,470","39.7% 18,172"
1968,"67.8% 29,427","29.8% 12,936"
1964,"77.0% 34,854","22.4% 10,124"
1960,"51.0% 24,482","48.7% 23,421"
1956,"36.0% 16,650","63.9% 29,546"
1952,"31.8% 14,492","68.0% 31,087"
1948,"33.8% 13,349","64.1% 25,292"
1944,"35.0% 13,670","64.8% 25,268"
1940,"31.6% 12,101","67.7% 25,629"
1936,"31.1% 10,634","64.2% 21,936"
1932,"31.9% 9,514","66.6% 19,892"
1928,"36.3% 10,438","62.9% 18,074"
1924,"19.2% 3,836","73.8% 14,738"
1920,"22.6% 3,689","75.9% 12,407"
1916,"35.5% 2,585","63.2% 4,605"
1912,"31.7% 2,022","39.5% 2,515"
1908,"25.5% 1,470","70.4% 4,053"
1904,"30.7% 1,658","67.0% 3,613"
1900,"28.0% 1,328","69.4% 3,294"
1896,11.8% 525,"80.5% 3,570"
1892,"40.1% 1,673","58.0% 2,416"
1888,"39.0% 1,404","57.9% 2,086"
1884,"38.5% 1,158","52.9% 1,594"
1880,26.4% 715,"73.2% 1,985"
1876,32.0% 832,68.0% 1771
1872,18.3% 285,"81.7% 1,272"
1868,23.7% 372,"76.3% 1,200"
