Metropolitan area,Core city,Population,Area (km2),Country,Census year
Greater Jakarta,Jakarta,31673824,7076.3,Indonesia,2020
Greater Manila Area,Manila,28250517,7967.98,Philippines,2020
Ho Chi Minh City Metropolitan Area,Ho Chi Minh City,21281639,30595.0,Vietnam,2019
Hanoi Capital Region,Hanoi,19980000,24314.7,Vietnam,2019
Bangkok Metropolitan Region,Bangkok,10696258,7700.0,Thailand,2020
Greater Surabaya,Surabaya,9924509,6310.0,Indonesia,2020
Greater Bandung,Bandung,8790308,3500.3,Indonesia,2020
Klang Valley,Kuala Lumpur,8455029,8347.0,Malaysia,2020
Yangon Region,Yangon,7360703,10276.7,Myanmar,2014
Greater Semarang,Semarang,6009982,4795.9,Indonesia,2020
Singapore,Singapore,5685807,734.3,Singapore,2020
Da Nang Metropolitan Area,Da Nang,5622814,26640.3,Vietnam,2019
Greater Medan,Medan,4756863,3189.2,Indonesia,2020
Metro Davao,Davao,3339284,6492.8,Philippines,2020
Metro Cebu,Cebu,3165799,1062.8,Philippines,2020
George Town Conurbation,George Town,2843344,3764.3,Malaysia,2020
Greater Makassar,Makassar,2725951,2666.6,Indonesia,2020
Greater Palembang,Palembang,2634501,9886.6,Indonesia,2020
Phnom Penh Metro Area,Phnom Penh,2506123,679.0,Cambodia,2019
Greater Yogyakarta,Yogyakarta,2485163,1118.2,Indonesia,2020
