Position,Name
Technical director,Ahmed Al-Gharif
Head coach,Rashid Jaber
Assistant coach,Hamad Al-Azani Amir Al-Hussein Khalifa Al-Muzahami
Goalkeeping coach,Ghanim Fawaz
Fitness coach,Abdulrahman Al-Muzahami
Performance analyst,Hassan Al-Gharif
Performance analyst,Marwan Al-Rushaidi
Team Manager,Maqbool Al-Balushi
Players Relations Manager,Ahmed Hadid Al-Mukhaini
Task Manager,Ahmed Al-Owaisi
Operations Manager,Kamil Al-Balushi
Photographer,Salem Al-Muqbali
Team Doctor,Dr. Mohammed Moulou
Physiotherapist,Said Al-Balushi
Physiotherapist,Yaqoob Al-Mahrouqi
Masseur,Farooq Al-Alawi
Masseur,Ali Al-Haddad
