Title,Year,Other artist(s),Album
Do Ya Thing,2005,P$C,25 to Life
Still I Luv Her,2005,P$C,25 to Life
Mess It Up,2005,P$C,25 to Life
Undertaker,2006,"T.I., Young Buck",King
Bankhead,2006,"T.I., P$C",King
Pump Yo Brakes,2006,AK the Razorman,Xpand & Conquer
"Dip, Slide, Rideout",2006,"DJ Khaled, Big Kuntry King, T.I.",Listennn... the Album
We Fly High,2006,"Jim Jones, Diddy, Birdman, T.I., Jermaine Dupri",A Dipset X-Mas
Grand Hustle Mafia,2006,,Grand Hustle Presents: In da Streetz Volume 4
My Girl,2006,T.I.,Grand Hustle Presents: In da Streetz Volume 4
Aye,2007,"DJ Drama, Big Kuntry King",Gangsta Grillz: The Album
Let It Go,2007,"Keyshia Cole, Missy Elliott, T.I.",Just like You
Focus,2008,Big Kuntry King,My Turn to Eat
A-Town,2009,"DJ Drama, T.I., Sean P, Lonnie Mac",Gangsta Grillz: The Album
Show Off,2009,T.I.,A Year and a Day
Mr. Lenox,2009,Fast Life Yungstaz,Jamboree
Zone 3,2009,Mac Boney,
They Holla Ayo,2010,Cam'ron & Vado,Boss of All Bosses 2
Polo,2010,Vado,
Our Time,2011,P$C,
Hot Wheels,2012,"T.I., Travis Porter",Fuck da City Up
Another Round,2012,"Slice 9, Future, B.o.B",
Too Cool,2012,"Scotty, Playboy Tre, SL Jones",
We Still in This Bitch,2013,"B.o.B, Young Jeezy, Yo Gotti",
Err-Body,2013,"T.I., B.o.B, Trae tha Truth, Chip, Shad da God",G.D.O.D.
2 Fucks,2013,"T.I., Chip, Travi$ Scott, Trae tha Truth, B.o.B",G.D.O.D.
Poppin for Some,2013,"B.o.B, Yung Booke",G.D.O.D.
Kemosabe,2013,"Doe B, B.o.B, T.I.",G.D.O.D.
Blocka,2013,"French Montana, Meek Mill, T.I.",G.D.O.D.
Problems,2013,"T.I., Mac Boney, Problem, Trae tha Truth, B.o.B",G.D.O.D.
Here I Go,2013,"Shad da God, T.I., Spodee, Mystikal",G.D.O.D.
Yeap!,2013,"T.I., B.o.B",G.D.O.D.
Different Life,2013,"T.I., B.o.B",G.D.O.D.
Man Down,2013,"Young Booke, T.I.",G.D.O.D.
Chasin Me,2013,"Iggy Azalea, T.I., Kris Stephens",G.D.O.D.
211,2013,FKi,Transformers n the Hood 2
Freeze Up,2013,"Shad da God, T.I.",Gas Life
Ball Out,2013,"Shad da God, T.I., Chip",Gas Life
Shit Like That,2013,"E-40, Spodee",The Block Brochure: Welcome to the Soil 4
Hell You Sayin',2014,"Iggy Azalea, T.I., Travi$ Scott",SXEW
Got Damn,2014,"Doe B, Trae Tha Truth",D.O.A.T. 3
Who We Is,2014,"Doe B, T.I., Spodee, Trae tha Truth",G.D.O.D. II
Brand New Choppa,2014,"Travi$ Scott, Meek Mill, T.I., Yung Booke",G.D.O.D. II
Aint Both,2014,"Trae tha Truth, T.I., Spodee, Doe B",G.D.O.D. II
I Do the Most,2014,"Yung Booke, T.I., Spodee, Shad da God",G.D.O.D. II
Make Me Something,2014,"Rich Homie Quan, T.I., Spodee, Shad da God",G.D.O.D. II
Troubled,2014,"Watch The Duck, B.o.B, T.I.",G.D.O.D. II
Puttin In Work,2014,"Mitchelle'l, Trae tha Truth, T.I., Doe B, 5Mics, Yung Booke",G.D.O.D. II
Check,2014,"Problem, T.I., Trae tha Truth",G.D.O.D. II
Bullshit,2015,Shad da God,2000 and God
Cash,2016,Bankroll Mafia,Bankroll Mafia
Got Damn,2016,Spodee,"The B.I.D., Vol. 2"
Grind Mode,2016,Spodee,"The B.I.D., Vol. 2"
Tweakin,2017,"B.o.B, London Jae",Ether
Come Here Lil Bih,2017,Gorilla Zoe,Don't Feed da Animals 2
