State,Incumbent,Last election,Crystal Ball,Rothenberg,Cook,Result
Arizona,Jon Kyl,79.3% R,Lean R,Lean R,Lean R,Kyl 53.3% R
California,Dianne Feinstein,55.8% D,Safe D,Safe D,Safe D,Feinstein 59.4% D
Connecticut,Joe Lieberman,63.2% D,Lean I,Safe I,Safe I,Lieberman 49.7% I
Delaware,Tom Carper,55.5% D,Safe D,Safe D,Safe D,Carper 67.1% D
Florida,Bill Nelson,51% D,Safe D,Safe D,Safe D,Nelson 60.3% D
Hawaii,Daniel Akaka,72.7% D,Safe D,Safe D,Safe D,Akaka 61.4% D
Indiana,Richard Lugar,66.5% R,Safe R,Safe R,Safe R,Lugar 87.3% R
Maine,Olympia Snowe,68.9% R,Safe R,Safe R,Safe R,Snowe 74.4% R
Maryland,Paul Sarbanes,63.2% D,Lean D,Lean D,Tossup,Cardin 54.2% D
Massachusetts,Ted Kennedy,72.9% D,Safe D,Safe D,Safe D,Kennedy 69.5% D
Michigan,Debbie Stabenow,49.4% D,Likely D,Likely D,Lean D,Stabenow 56.9% D
Minnesota,Mark Dayton,48.8% D,Likely D,Safe D,Likely D,Klobuchar 58.1% D
Mississippi,Trent Lott,65.9% R,Safe R,Safe R,Safe R,Lott 63.6% R
Missouri,Jim Talent,49.8% R,Tilt D,Lean D,Tossup,McCaskill 49.6% D
Montana,Conrad Burns,50.6% R,Lean D,Lean D,Tossup,Tester 49.2% D
Nebraska,Ben Nelson,51% D,Likely D,Likely D,Safe D,Nelson 63.9% D
Nevada,John Ensign,55.1% D,Safe R,Safe R,Safe R,Ensign 55.4% R
New Jersey,Bob Menendez,Appointed,Tilt D,Lean D,Tossup,Menendez 53.4% D
New Mexico,Jeff Bingaman,61.7% D,Safe D,Safe D,Safe D,Bingaman 70.6% D
New York,Hillary Clinton,55% D,Safe D,Safe D,Safe D,Clinton 67.0% D
North Dakota,Kent Conrad,61.4% D,Safe D,Safe D,Safe D,Conrad 68.8% D
Ohio,Mike DeWine,59.9% R,Likely D,Likely D,Lean D,Brown 56.2% D
Pennsylvania,Rick Santorum,52.4% R,Safe D,Likely D,Lean D,Casey 58.7% D
Rhode Island,Lincoln Chafee,56.8% R,Lean D,Lean D,Tossup,Whitehouse 53.5% D
Tennessee,Bill Frist,65.1% R,Lean R,Tossup,Tossup,Corker 50.7% R
Texas,Kay Bailey Hutchison,65% R,Safe R,Safe R,Safe R,Hutchison 61.7% R
Utah,Orrin Hatch,65.6% R,Safe R,Safe R,Safe R,Hatch 62.6% R
Vermont,Jim Jeffords,65.6% R,Safe I,Safe I,Likely I,Sanders 65.4% I
Virginia,George Allen,52.3% R,Tilt D,Lean D,Tossup,Webb 49.6% D
Washington,Maria Cantwell,48.7% D,Likely D,Likely D,Likely D,Cantwell 56.81% D
West Virginia,Robert Byrd,77.7% D,Safe D,Safe D,Safe D,Byrd 64.4% D
Wisconsin,Herb Kohl,61.5% D,Safe D,Safe D,Safe D,Kohl 67.31% D
Wyoming,Craig L. Thomas,73.7% R,Safe R,Safe R,Safe R,Thomas 69.99% R
