Award,Category,Recipient,Result
ALMA Award,Outstanding Director in a Motion Picture,Robert Rodriguez,Won
ALMA Award,Outstanding Actor in a Motion Picture,Antonio Banderas,Nominated
ALMA Award,Outstanding Motion Picture,Spy Kids,Nominated
ALMA Award,Outstanding Screenplay,Robert Rodriguez,Nominated
ALMA Award,Outstanding Song in a Motion Picture Soundtrack,Los Lobos For the song Oye Como Spy,Nominated
ASCAP Film and Television Music Awards,Top Box Office Films,John Debney,Won
Saturn Award,Best Fantasy Film,Spy Kids,Nominated
Broadcast Film Critics Association Awards,Best Family Film - Live Action,Spy Kids,Nominated
"Kid's Choice Awards, USA",Favorite Male Action Hero,Antonio Banderas,Nominated
Phoenix Film Critics Society Awards,Best Family Film,Spy Kids,Nominated
Young Artist Awards,Best Family Feature Film - Comedy,Spy Kids,Nominated
Young Artist Awards,Best Performance in a Feature Film - Supporting Young Actress,Alexa Vega,Nominated
