Year,Revenue in million USD,Net income in million USD,Total Assets in million USD,Employees
2005,32562,4060,31727,
2006,35137,5631,29930,
2007,39474,5646,34628,
2008,43251,5134,35994,
2009,43232,5940,39848,
2010,57838,6314,68153,
2011,66504,6436,72882,
2012,65492,6171,74638,
2013,66415,6740,77478,274000.0
2014,66683,6503,70509,271000.0
2015,63056,5452,69667,263000.0
2016,62799,6329,73490,264000.0
2017,63525,4857,79804,263000.0
2018,64661,12515,77648,267000.0
2019,67161,7314,78547,267000.0
2020,70372,7120,92918,291000.0
2021,79474,7618,92377,309000.0
2022,86392,8910,92187,315000.0
2023,91471,9074,100495,318000.0
2023,91854,9578,99467,319000.0
