Year,Crime index total,Violent crime,Non-violent Crime,Crime rate per 1000,Violent crime Rate per 1000,Non-violent crime Rate per 1000,Murder,Rape,Robbery,Aggravated assault
1994,1740,386,1354,103.6,23.0,80.6,2,20,175,189
1995,1461,290,1171,93.6,18.6,75.0,2,11,147,130
1996,1590,305,1285,101.9,19.5,82.3,2,23,139,141
1997,1525,357,1168,89.1,20.8,68.2,1,11,190,155
1998,1240,251,989,72.4,14.7,57.8,0,16,116,119
1999,1183,302,881,69.4,17.7,51.7,3,16,139,144
2000,1224,337,887,72.3,19.9,52.4,1,13,161,162
2001,1431,398,1033,84.5,23.5,61.0,5,14,184,195
2002,1260,347,913,74.4,20.5,53.9,3,9,172,163
2003,1293,378,915,77.0,22.5,54.5,2,7,183,186
2004,1429,360,1069,85.6,21.6,64.0,3,5,196,156
2005,1313,346,967,78.1,20.6,57.5,3,10,148,185
2006,1305,387,918,78.5,23.3,55.2,8,7,194,178
2007,1070,351,719,64.7,21.2,43.5,6,11,184,150
2008,1265,319,946,76.3,19.2,57.1,1,6,153,159
2009,1370,353,1017,82.8,21.3,61.5,2,6,178,167
2010,1491,344,1147,92.5,21.3,71.2,3,13,188,140
2011,1540,260,1280,95.6,16.1,79.4,4,11,114,131
2012,1252,247,1005,78.9,15.6,63.3,3,10,84,150
2013,1106,264,842,69.7,16.6,53.1,6,9,126,123
2014,1023,209,814,64.5,13.2,51.3,1,13,85,110
2015,972,232,740,61.1,14.6,46.5,3,9,92,128
2016,947,223,724,59.9,14.1,45.8,2,7,101,113
2017,959,213,746,59.5,13.2,46.3,2,15,82,114
2018,827,174,653,52.7,11.1,41.5,3,10,54,107
2019,704,179,525,44.8,11.4,33.4,2,10,47,120
2020,713,188,525,45.4,12.0,33.4,1,12,48,127
