Title,U.S. Release Date,Artist
Annette Sings Anka,1960,Annette Funicello
Donald Duck and His Friends,1960,Various
Hawaiiannette,1960,Annette Funicello
I've Been Working On The Railroad,1960,Various
"The Little Lame Lamb, A Christmas Story Of St. Francis",1960,Mary Martin & Salvador Camarata
Pineapple Princess / Luau Cha Cha Cha,1960,Annette Funicello & The Afterbeats
Pollyanna Songs,1960,Hayley Mills
"Stop, Look and Listen / Safety First",1960,Cliff Edwards
Train Of Love / Tell Me Who's The Girl,1960,Annette Funicello
Walt Disney Presents the Story of Pollyanna,1960,"Kevin Corcoran, Hayley Mills"
Walt Disney's Story Of Toby Tyler In The Circus,1960,Various
Babes in Toyland,1961,Various
The Best Stories Of Aesop,1961,Sterling Holloway
Carnival Time featuring Professor Ludwig Von Drake,1961,Paul Frees
Chipmunk Fun With,1961,Various
Clementine And Other Favorite Songs,1961,Various
Dance Annette,1961,Annette Funicello
Donald Duck In Six Big Stories,1961,Various
Donald's Fire Station / Donald's Temper,1961,Various
Folk Songs For Little Folks,1961,Frances Archer & Beverly Gile
Four Songs From Babes In Toyland,1961,Various
Four Songs From Lady And The Tramp,1961,Various
From Robert Louis Stevenson's A Child's Garden Of Verses,1961,Frances Archer & Beverly Gile
From Walt Disney's Fantasia: The Pastoral Symphony,1961,Leopold Stokowski & The Philadelphia Orchestra
Give A Little Whistle Plus A Story From Pinocchio,1961,Cliff Edwards
Greyfriars Bobby,1961,Ginny Tyler
Heigh-Ho,1961,Various
I'm Ludwig Von Drake,1961,Paul Frees
I've Got No Strings Plus A Story From Pinocchio,1961,Dick Jones & Cliff Edwards
Indian Giver,1961,Annette Funicello & The Up Beats
Hi-Diddle-Dee-Dee Plus A Story From Pinocchio,1961,Cliff Edwards & Walter Catlett
Jingle Bells / From All Of Us To All Of You,1961,Various
Just A Whisper Away / I Can't Do The Sum,1961,Various
Let's Get Together,1961,Hayley Mills
Mary Had A Little Lamb and Other Mother Goose Rhymes,1961,Sterling Holloway
Mickey's Band Concert,1961,Various
"Nikki, Wild Dog Of The North",1961,Various
One Hundred and One Dalmatians,1961,George Bruns & Mel Leven
Pop Goes The Weasel,1961,Various
Sing For You,1961,Various
Riddles And Rhymes,1961,Sterling Holloway
Silent Night And Other Christmas Carols,1961,The All Mouse Choir
Six Mother Goose Songs,1961,Sterling Holloway
A Song For Your Birthday  / A Song For All Your Unbirthdays,1961,Various
Songs Of Our Heritage For Young Americans,1961,Disneyland Concert Band & Glee Club
Songs from Walt Disney's 101 Dalmatians,1961,Various
Songs From Walt Disney's Babes In Toyland,1961,Various
Songs From Robert Louis Stevenson's A Child's Garden Of Verses,1961,Frances Archer & Beverly Gile
The Stories And Songs Of Walt Disney's Three Little Pigs,1961,Sterling Holloway & Salvador Camarata
The Story Of Hans Brinker,1961,Various
