Year,Name of Play,Role
1991,Blithe Spirit,"Lead actor, Directed and Produced  by Lillete Dubey and Sita Raina"
1991,Romantic Comedy,"Lead actor, Directed and Produced by Lillete Dubey and Sita Raina"
1992,Prisoner of Malabar Hill,"Lead Actor, Produced by Lillete Dubey and Sita Raina"
1992,On The Razzle,"Lead actor, Directed and Produced by Lillete Dubey and Sita Raina"
1993,All About Eve,"Lead Actor, Directed and Produced by Lillete Dubey and Sita Raina"
1993,Don't Drink The Water,"Lead Actor, Directed and Produced by Lillete Dubey and Sita Raina"
1993,Plaza Suite,"Lead Actor, Directed and Produced by Lillete Dubey and Sita Raina"
1994,Lost in Yonkers,Directed and Produced by Lillete Dubey and Sita Raina
1994,Me and My Girl,"Lead Actor, Directed and Produced by Lillete Dubey and Sita Raina"
1994,Post Mortem,Directed and Produced by Lillete Dubey and Sita Raina
1995,Dance Like a Man,"Lead Actor, Director and Producer"
1996,Autobiography,Lead Actor and Director
1998,Jaya The Victory,Director and Producer
1998,On a Muggy Night in Mumbai,"Lead Actor, Director and Producer"
2000,Siren City,"Lead Actor, Director and Producer"
2000,Breathe in Breathe out,"Lead Actor, Director and Producer"
2000,Zen Katha,Director and Producer
2001,30 Days in September,"Lead Actor, Director and Producer"
2003,Womanly voices,Director
2005,Sammy,Director and Producer
2007,Kanyadaan,"Lead Actor, Director and Producer"
2008,Wedding Album,Director and Producer
2009,Brief Candle,Director and Producer
2010,Love on The Brink,Director and Producer
2011,Adhe Adhure,"Lead Actor, Director and Producer"
2011,August - Osage County,Lead Actor and Director
2012,Where did I leave my Purdah,Lead Actor and Director
2013,9 Parts of Desire,Director and Producer
2014,Boiled Beans on Toast,Director and Producer
2015,Gauhar,Director and Producer
2016,The Dancing Donkey,Director and Producer
2017,Salaam Noni Appa,"Lead Actor, Director and Producer"
2019,Devika Rani,Director and Producer
