Player,W,L,ERA,G,GS,SV,IP,H,R,ER,BB,K
Rafael Betancourt,3,4,3.81,50,0,3,56.2,52,25,24,11,48
Andrew Brown,0,0,3.6,9,0,0,10.0,6,4,4,8,7
Paul Byrd,10,9,4.88,31,31,0,179.0,232,120,97,38,88
Fernando Cabrera,3,3,5.19,51,0,0,60.2,53,36,35,32,71
Fausto Carmona,1,10,5.42,38,7,0,74.2,88,46,45,31,58
Jason Davis,3,2,3.74,39,0,1,55.1,67,28,23,14,37
Danny Graves,2,1,5.79,13,0,0,14.0,18,12,9,5,3
Jeremy Guthrie,0,0,6.98,9,1,0,19.1,24,15,15,15,14
Jason Johnson,3,8,5.96,14,14,0,77.0,108,55,51,22,32
Juan Lara,0,0,1.8,9,0,0,5.0,4,2,1,1,2
Cliff Lee,14,11,4.4,33,33,0,200.2,224,114,98,58,129
Tom Mastny,0,1,5.51,15,0,5,16.1,17,10,10,8,14
Matt Miller,1,0,3.45,14,0,0,15.2,11,6,6,9,12
Guillermo Mota,1,3,6.21,34,0,0,37.2,45,27,26,19,27
Edward Mujica,0,1,2.95,10,0,0,18.1,25,6,6,0,12
Rafael Perez,0,0,4.38,18,0,0,12.1,10,6,6,6,15
CC Sabathia,12,11,3.22,28,28,0,192.2,182,83,69,44,172
Scott Sauerbeck,0,1,6.23,24,0,0,13.0,9,9,9,9,11
Brian Sikorski,2,1,4.58,17,0,0,19.2,20,10,10,4,24
Brian Slocum,0,0,5.6,8,2,0,17.2,27,11,11,9,11
Jeremy Sowers,7,4,3.57,14,14,0,88.1,85,36,35,20,35
Jake Westbrook,15,10,4.17,32,32,0,211.1,247,106,98,55,109
Bob Wickman,1,4,4.18,29,0,15,28.0,29,15,13,11,17
Team Totals,78,84,4.41,162,162,24,1423.1,1583,782,698,429,948
