Season,Honor,Status
2007,All-Big 12,Selected for first-team
2007,AFCA Coaches' All-America,Selected
2007,AP All-America,Selected for first-team
2007,AP Big 12 Offensive Newcomer of the Year,Selected
2007,AT&T ESPN All-America Player of the Year,Winner
2007,Biletnikoff Award,Winner
2007,CBSSports.com All-America,Selected to first-team
2007,CBSSports.com Freshman of the Year,Selected
2007,ESPN All-America,Selected
2007,FWAA All-America,Selected for team
2007,Maxwell Award,Chosen as a semifinalist
2007,Paul Warfield Award,Winner
2007,Rivals.com National Freshman of the Year,Selected
2007,SI.com All-America,Selected for first-team
2007,Sporting News All-America,Selected for first-team
2007,Sporting News Big 12 All-Freshman Team,Selected
2007,Touchdown Club of Columbus Freshman of the Year,Selected
2007,Walter Camp All-America,Selected for first-team
2008,Playboy All-America,Selected
2008,Preseason All-Big 12,Selected for first-team
2008,All-Big 12,Selected for first-team
2008,AFCA Coaches' All-America,Selected
2008,Biletnikoff Award,Winner
2008,Walter Camp All-America,Selected for first-team
2008,FWAA All-America,Selected for team
2008,SI.com All-America,Selected for first-team
2008,AP All-America,Selected for first-team
2008,Sporting News All-America,Selected for first-team
2008,Paul Warfield Award,Winner
2008,NCAA Football 10 cover athlete,Xbox 360 release
