State/UT,2016,2017,2018,2019,Percentage share of state/UT (2019),Crime rate in 2019 (IPC+SLL crimes)
India,4831515,5007044,5074635,5156172,100.0,385.5
Andhra Pradesh,129389,148002,144703,145751,2.8,278.6
Arunachal Pradesh,2700,2746,2817,2877,0.1,190.9
Assam,107014,109952,120572,123783,2.6,385.8
Bihar,189696,236055,262815,269109,5.2,224.0
Chhattisgarh,84192,90516,98233,96561,1.9,334.7
Goa,3706,3943,3884,3727,0.1,241.5
Gujarat,435422,334799,393194,431066,8.4,631.6
Haryana,143111,224816,191229,166336,3.2,577.4
Himachal Pradesh,17249,17796,19594,19924,0.4,272.4
Jammu and Kashmir,26624,25608,27276,25408,0.5,187.8
Jharkhand,47817,52664,55664,62206,1.2,165.5
Karnataka,179479,184063,163416,163691,3.2,248.1
Kerala,707870,653500,512167,453083,8.8,1287.7
Madhya Pradesh,365154,379682,405129,395619,7.7,478.9
Maharashtra,430866,467753,515674,509443,9.9,415.8
Manipur,4098,4250,3781,3661,0.1,117.7
Meghalaya,3582,3952,3482,3897,0.1,120.6
Mizoram,2800,2738,2351,2880,0.1,241.0
Nagaland,1908,1553,1775,1661,0.0,77.1
Odisha,103565,103866,107408,121525,2.4,277.9
Punjab,57739,70673,70318,72855,1.4,243.3
Rajasthan,251147,245553,250546,304394,5.9,392.3
Sikkim,1020,979,869,821,0.0,123.5
Tamil Nadu,467369,420876,499188,455094,8.8,600.3
Telangana,120273,133197,126858,131254,2.5,352.0
Tripura,4081,4238,6078,5988,0.1,149.6
Uttar Pradesh,494025,600082,585157,628578,12.2,278.2
Uttarakhand,16074,28861,34715,28268,0.5,252.8
West Bengal,204400,195537,188063,*****,3.6,193.7
Andaman and Nicobar Islands,2491,3014,3699,4034,0.1,1013.6
Chandigarh,4256,5462,5967,4518,0.1,381.6
Dadra and Nagar Haveli,256,309,315,290,0.0,52.2
Daman and Diu,287,382,334,370,0.0,87.5
Delhi,216920,244714,262612,316261,5.2,1586.1
Lakshadweep,50,114,77,182,0.0,267.6
Puducherry,4885,4799,4674,4004,0.1,264.3
