Name,District,Party,City
Jerry Ellis,1,Dem,Valliant
Glen Bud Smithson,2,Dem,Sllisaw
Neil Brannon,3,Dem,Arkoma
Mike Brown,4,Dem,Tahlequah
Doug Cox,5,Rep,Grove
Chuck Hoskin,6,Dem,Vinita
Larry Glenn,7,Dem,Miami
Ben Sherrer,8,Dem,Pryor
Tad Jones,9,Rep,Claremore
Steve Martin,10,Rep,Bartlesville
Earl Sears,11,Rep,Bartlesville
Wade Rousselot,12,Dem,Okay
Jerry McPeak,13,Dem,Warner
George Faught,14,Rep,Muskogee
Ed Cannaday,15,Dem,Porum
Jerry Shoemake,16,Dem,Morris
Brian Renegar,17,Dem,McAlester
Terry Harrison,18,Dem,McAlester
R. C. Pruett,19,Dem,Antler
Paul Roan,20,Dem,Tishomingo
John Carey,21,Dem,Durant
Wes Hilliard,22,Dem,Sulphur
Sue Tibbs,23,Rep,Tulsa
Dale Turner,24,Dem,Holdenville
Todd Thomsen,25,Rep,Ada
Kris Steele,26,Rep,Shawnee
Shane Jett,27,Rep,Tecumseh
Ryan Kiesel,28,Dem,Seminole
Skye McNiel,29,Rep,Bristow
Mark McCullough,30,Rep,Sapulpa
Jason Murphey,31,Rep,Guthrie
Danny Morgan,32,Dem,Prague
Lee Denney,33,Rep,Cushing
Terry Ingmire,34,Rep,Stillwater
Rex Duncan,35,Rep,Sand Springs
Scott BigHorse,36,Dem,Pawhuska
Ken Luttrell,37,Dem,Ponca City
Dale DeWitt,38,Rep,Braman
Marian Cooksey,39,Rep,Edmond
Mike Jackson,40,Rep,Enid
John Enns,41,Rep,Waukomis
Lisa Johnson Billy,42,Rep,Purcell
Colby Schwartz,43,Rep,Yukon
Bill Nations,44,Dem,Norman
Wallace Collins,45,Dem,Norman
Scott Martin,46,Rep,Norman
Susan Winchester,47,Rep,Chickasha
Greg Piatt,48,Rep,Ardmore
Terry Hyman,49,Dem,Leon
Dennis Johnson,50,Rep,Duncan
Ray McCarter,51,Dem,Marlow
David Braddock,52,Dem,Altus
Randy Terrill,53,Rep,Moore
Paul Wesselhoft,54,Rep,Moore
Ryan McMullen,55,Dem,Burns Flat
Phil Richardson,56,Rep,Minco
James Covey,57,Dem,Custer City
Jeffrey W. Hickman,58,Rep,Dacoma
Rob Johnson,59,Rep,Kingfisher
Purcy Walker,60,Dem,Elk City
Gus Blackwell,61,Rep,Goodwell
T.W. Shannon,62,Rep,Lawton
Don Armes,63,Rep,Faxon
Ann Coody,64,Rep,Lawton
Joe Dorman,65,Dem,Rush Springs
Lucky Lamons,66,Dem,Tulsa
Pam Peterson,67,Rep,Tulsa
Chris Benge,68,Rep,Tulsa
Fred Jordan,69,Rep,Jenks
Ron Peters,70,Rep,Tulsa
Dan Sullivan,71,Rep,Tulsa
Darrell Gilbert,72,Dem,Tulsa
Jabar Shumate,73,Dem,Tulsa
David Derby,74,Rep,Owasso
Dennis Adkins,75,Rep,Tulsa
John A. Wright,76,Rep,Broken Arrow
Eric Proctor,77,Dem,Tulsa
Jeannie McDaniel,78,Dem,Tulsa
Weldon Watson,79,Rep,Tulsa
Ron Peterson,80,Rep,Broken Arrow
Ken A. Miller,81,Rep,Edmond
Guy Liebmann,82,Rep,Oklahoma City
Randy McDaniel,83,Rep,Oklahoma City
Sally Kern,84,Rep,Oklahoma City
David Dank,85,Rep,Oklahoma City
John Auffet,86,Dem,Stilwell
Trebor Worthen,87,Rep,Oklahoma City
Al McAffrey,88,Dem,Oklahoma City
Rebecca Hamilton,89,Dem,Oklahoma City
Charles Key,90,Rep,Oklahoma City
Mike Reynolds,91,Rep,Oklahoma City
Richard Morrissette,92,Dem,Oklahoma City
Al Lindley,93,Dem,Oklahoma City
Scott Inman,94,Dem,Oklahoma City
Charlie Joyner,95,Rep,Midwest City
Lance Cargill,96,Rep,Harrah
Mike Shelton,97,Dem,Oklahoma City
John Trebilcock,98,Rep,Tulsa
Anastasia Pittman,99,Dem,Oklahoma City
Mike Thompson,100,Rep,Oklahoma City
Gary Banz,101,Rep,Midwest City
