S. No.,Short title of amending legislation,No.,Year
1,"The Repealing Act, 1870",14.0,1870
2,"The Indian Penal Code Amendment Act, 1870",27.0,1870
3,"The Indian Penal Code Amendment Act, 1872",19.0,1872
4,"The Indian Oaths Act, 1873",10.0,1873
5,"The Indian Penal Code Amendment Act, 1882",8.0,1882
6,"The Code of Criminal Procedure, 1882",10.0,1882
7,"The Indian Criminal Law Amendment Act, 1886",10.0,1886
8,"The Indian Marine Act, 1887",14.0,1887
9,"The Metal Tokens Act, 1889",1.0,1889
10,"The Indian Merchandise Marks Act, 1889",4.0,1889
11,"The Cantonments Act, 1889",13.0,1889
12,"The Indian Railways Act, 1890",9.0,1890
13,"The Indian Criminal Law Amendment Act, 1891",10.0,1891
14,"The Amending Act, 1891",12.0,1891
15,"The Indian Criminal Law Amendment Act, 1894",3.0,1894
16,"The Indian Criminal Law Amendment Act, 1895",3.0,1895
17,"The Indian Penal Code Amendment Act, 1896",6.0,1896
18,"The Indian Penal Code Amendment Act, 1898",4.0,1898
19,"The Currency-Notes Forgery Act, 1899",12.0,1899
20,"The Indian Penal Code Amendment Act, 1910",3.0,1910
21,"The Indian Criminal Law Amendment Act, 1913",8.0,1913
22,"The Indian Elections Offences and Inquiries Act, 1920",39.0,1920
23,"The Indian Penal Code  Act, 1921",16.0,1921
24,"The Indian Penal Code  Act, 1923",20.0,1923
25,"The Indian Penal Code  Act, 1924",5.0,1924
26,"The Indian Criminal Law Amendment Act, 1924",18.0,1924
27,"The Workmen's Breach of Contract  Act, 1925",3.0,1925
29,"The Obscene Publications Act, 1925",8.0,1925
29,"The Indian Penal Code  Act, 1925",29.0,1925
30,"The Repealing and Amending Act, 1927",10.0,1927
31,"The Criminal Law Amendment Act, 1927",25.0,1927
32,"The Repealing and Amending Act, 1930",8.0,1930
33,"The Indian Air Force Act, 1932",14.0,1932
34,"The Amending Act, 1934",35.0,1934
35,"The Government of India  Order, 1937",,1937
36,"The Criminal Law Amendment Act, 1939",22.0,1939
37,"The Offences on Ships and Aircraft Act, 1940",4.0,1940
38,"The Indian Merchandise Marks  Act, 1941",2.0,1941
39,"The Indian Penal Code  Act, 1942",8.0,1942
40,"The Indian Penal Code  Act, 1943",6.0,1943
41,"The Indian Independence  Order, 1948",,1948
42,"The Criminal Law  Act, 1949",17.0,1949
43,"The Indian Penal Code and the Code of Criminal Procedure  Act, 1949",42.0,1949
44,"The Adaptation of Laws Order, 1950",,1950
45,"The Repealing and Amending Act, 1950",35.0,1950
46,"The Part B States  Act, 1951",3.0,1951
47,"The Criminal Law Amendment Act, 1952",46.0,1952
48,"The Repealing and Amending Act, 1952",48.0,1952
49,"The Repealing and Amending Act, 1953",42.0,1953
50,"The Code of Criminal Procedure  Act, 1955",26.0,1955
51,"The Adaptation of Laws  Order, 1956",,1956
52,"The Repealing and Amending Act, 1957",36.0,1957
53,"The Criminal Law Amendment Act, 1958",2.0,1958
54,"The Trade and Merchandise Marks Act, 1958",43.0,1958
55,"The Indian Penal Code  Act, 1959",52.0,1959
56,"The Indian Penal Code  Act, 1961",41.0,1961
57,"The Anti-Corruption Laws  Act, 1964",40.0,1964
58,"The Criminal and Election Laws Amendment Act, 1969",35.0,1969
59,"The Indian Penal Code  Act, 1969",36.0,1969
60,"The Criminal Law  Act, 1972",31.0,1972
61,"The Employees' Provident Funds and Family Pension Fund  Act, 1973",40.0,1973
62,"The Employees' State Insurance  Act, 1975",38.0,1975
63,"The Election Laws  Act, 1975",40.0,1975
64,"The Criminal Law  Act, 1983",43.0,1983
65,"The Criminal Law  Act, 1983",46.0,1983
66,"The Dowry Prohibition  Act, 1986",43.0,1986
67,"The Employees' Provident Funds and Miscellaneous Provisions  Act, 1988",33.0,1988
68,"The Prevention of Corruption Act, 1988",49.0,1988
69,"The Criminal Law  Act, 1993",42.0,1993
70,"The Indian Penal Code  Act, 1995",24.0,1995
71,"The Information Technology Act, 2000",21.0,2000
72,"The Election Laws  Act, 2003",24.0,2003
73,"The Code of Criminal Procedure  Act, 2005",25.0,2005
74,"The Criminal Law  Act, 2005",2.0,2006
75,"The Information Technology  Act, 2008",10.0,2009
76,"The Criminal Law  Act, 2013",13.0,2013
77,"The Criminal Law  Act, 2018",22.0,2018
78,"The Jammu and Kashmir Reorganisation Act, 2019",34.0,2019
