Species,Environment,Tonnage (millions),Value (US$ billions)
Grass carp,Freshwater,5.23,6.69
Silver carp,Freshwater,4.59,6.13
Common carp,Freshwater,3.76,5.19
Nile tilapia,Freshwater,3.26,5.39
Bighead carp,Freshwater,2.9,3.72
Catla,Freshwater,2.76,5.49
Crucian carp,Freshwater,2.45,2.67
Atlantic salmon,Marine,2.07,10.1
Roho labeo,Freshwater,1.57,2.54
Milkfish,Marine,0.94,1.71
Rainbow trout,Freshwater Brackish Marine,0.88,3.8
Wuchang bream,Freshwater,0.71,1.16
Black carp,Freshwater,0.5,1.15
Northern snakehead,Freshwater,0.48,0.59
Amur catfish,Freshwater,0.41,0.55
