Year,Passengers,Airfreight (tonnes),Aircraft
2003,18062344,928758.0,148334.0
2004,21711883,1111647.0,168511.0
2005,23607507,1333014.0,195820.0
2006,28788726,1410963.0,217165.0
2007,34340000,1668505.0,260530.0
2008,37441440,1824991.0,
2009,40901752,1927520.0,
2010,47180628,2270498.0,292662.0
2011,50977960,2199750.0,326317.0
2012,57684550,2279624.0,344245.0
2013,66431533,2435567.0,369953.0
2014,70475636,2367574.0,357339.0
2015,78014841,2506092.0,406625.0
2016,83654250,2592454.0,418220.0
2017,88242099,,
2018,89149387,,
2019,86396757,,
2020,18229461,,
2021,29110609,,
2022,66069981,,
2023,86994365,1805898.0,416405.0
2024,92300000,2200000.0,440300.0
