Score,Against,Pos.,Inn.,Test,Venue,H/A/N,Date,Result
151,New Zealand,2,2,1/3,"Trent Bridge, Nottingham",Home,07 June 1990,Draw
131,India,2,1,2/3,"Old Trafford Cricket Ground, Manchester",Home,09 August 1990,Draw
105,Australia,2,2,3/5,"Sydney Cricket Ground, Sydney",Away,04 January 1991,Draw
144,West Indies,2,1,2/5,"Bourda, Georgetown",Away,17 March 1994,Loss
135,West Indies,1,2,5/5,"Antigua Recreation Ground, St. Johns",Away,16 April 1994,Draw
101,New Zealand,1,2,1/3,"Trent Bridge, Nottingham",Home,02 June 1994,Win
111,New Zealand,1,1,3/3,"Old Trafford Cricket Ground, Manchester",Home,30 June 1994,Draw
113,West Indies,2,1,5/6,"Trent Bridge, Nottingham",Home,10 April 1995,Draw
185 not out,South Africa,1,4,2/5,"Wanderers Stadium, Johannesburg",Away,30 November 1995,Draw
160,India,1,2,3/3,"Trent Bridge, Nottingham",Home,04 July 1996,Draw
118,New Zealand,2,4,3/3,"Lancaster Park, Christchurch",Away,14 February 1997,Win
103,South Africa,2,1,1/5,"Edgbaston Cricket Ground, Birmingham",Home,04 June 1998,Draw
108,South Africa,2,2,2/5,"St George's Park, Port Elizabeth",Away,09 December 1999,Draw
136,Zimbabwe,1,1,2/2,"Trent Bridge, Nottingham",Home,01 June 2000,Draw
108,West Indies,1,3,5/5,"The Oval, London",Home,31 August 2000,Win
125,Pakistan,1,2,3/3,"National Stadium, Karachi, Karachi",Away,07 December 2000,Win
