R,Team,GP,W,D,L,GF.BF,For,GA.BA,Agn,%,Win%
1,Adelaide,19,7,0,12,208.208,1456,267.258,1860,78.28,36.84
2,Brisbane Lions,19,10,0,9,259.183,1737,245.242,1712,101.46,52.63
3,Carlton,19,12,0,7,266.215,1811,218.202,1510,119.93,63.16
4,Collingwood,17,8,0,9,201.148,1354,215.207,1497,90.45,47.06
5,Essendon,17,9,0,8,145.19,1474,199.194,1388,106.2,52.94
6,Fremantle,16,7,0,9,175.178,1228,204.182,1406,87.34,44.75
7,Geelong,17,7,1,9,185.149,1259,221.211,1537,81.91,44.12
8,Gold Coast,20,15,0,5,304.234,2058,218.21,1518,135.57,75.0
9,Hawthorn,17,8,1,8,193.158,1316,221.198,1524,86.35,50.0
10,Melbourne,19,10,0,9,218.184,1492,226.204,1560,95.64,52.63
11,North Melbourne,14,6,1,7,161.17,1136,203.137,1355,83.84,46.43
12,Port Adelaide,17,8,0,9,191.203,1349,209.21,1464,92.14,47.06
13,Richmond,20,8,0,12,217.199,1501,253.262,1780,84.33,40.0
14,St Kilda,17,8,1,8,199.191,1385,217.189,1491,92.89,50.0
15,Sydney,30,10,0,20,315.341,2231,405.346,2776,80.37,33.33
16,West Coast,17,7,0,10,206.187,1423,240.172,1612,88.28,41.18
17,Western Bulldogs,21,7,0,14,246.201,1677,262.263,1835,91.39,33.33
