Date,Show,Network
January 01,A Baby Story,TLC
January 03,The Magnificent Seven,CBS
January 04,Ask Harriet,Fox
January 05,The Charlie Horse Music Pizza,PBS Kids
January 08,Crime Stories,Court TV
January 08,WCW Thunder,TBS
January 15,Prey,ABC
January 15,Style & Substance,CBS
January 20,Dawson's Creek,The WB
January 24,ABC News Saturday Night,ABC
January 26,Special Report with Bret Baier,Fox News Channel
January 30,Jep!,Game Show Network
February 01,Fox & Friends,Fox News Channel
February 02,Three,The WB
February 06,Power Rangers in Space,Fox Kids
February 07,Silver Surfer,Fox Kids
February 23,The Closer,CBS
February 24,Four Corners,CBS
February 28,Bug Juice,Disney Channel
March 09,House Rules,NBC
March 10,That's Life,ABC
March 10,"Two Guys, a Girl and a Pizza Place",ABC
March 10,Weather Center,The Weather Channel
March 11,Significant Others,Fox
March 14,PB&J Otter,Playhouse Disney
March 17,For Your Love,NBC
March 17,LateLine,NBC
March 24,True Life,MTV
April 02,World's Wildest Police Videos,Fox
April 04,CatDog,Nickelodeon
April 06,Getting Personal,Fox
April 06,Push,ABC
April 06,Teletubbies,PBS Kids
April 09,Mysteries and Scandals,E!
April 13,Love Boat: The Next Wave,UPN
April 19,You're the One,The WB
April 20,Kelly Kelly,The WB
May 11,Call for Help,ZDTV
May 11,Internet Tonight,ZDTV
May 11,The Screen Savers,ZDTV
May 11,Silicon Spin,ZDTV
May 14,Celebrity Deathmatch,MTV
May 25,Say What? Karaoke,MTV
June 01,The Challenge,MTV
June 03,The Simple Life,CBS
June 06,Sex and the City,HBO
June 06,Today's Homeowner with Danny Lipford,Syndication
June 08,Invasion America,The WB
June 08,Forgive or Forget,Syndication
June 22,The Howie Mandel Show,Syndication
June 22,Faux Pause,Game Show Network
July 04,X-Play,ZDTV
July 13,The Sifl and Olly Show,MTV
July 16,Fox Files,Fox
July 18,Bad Dog,Fox Family
July 18,The Net,USA Network
July 19,Sins of the City,USA Network
July 19,Oh Yeah! Cartoons,Nickelodeon
August 01,Linc's,Showtime
August 01,You're On!,Nickelodeon
August 02,WWE Heat,USA Network
August 05,Whose Line Is It Anyway?,ABC
August 15,I Can't Believe You Said That,Fox Family
August 15,Outrageous!,Fox Family
August 17,Judge Mills Lane,Syndication
August 17,Welcome to Paradox,Sci-Fi Channel
August 18,Any Day Now,Lifetime
August 18,Maggie,Lifetime
August 18,Ohh Nooo! Mr. Bill Presents,Fox Family
August 22,The Howard Stern Radio Show,CBS
August 23,Holding the Baby,Fox
August 23,That '70s Show,Fox
August 26,Oh Baby,Lifetime
August 31,Hercules,Disney Channel and ABC
August 31,Great Day America,PAX TV
August 31,The Reel to Reel Picture Show,PAX TV
August 31,Woman's Day,PAX TV
September 01,Book TV,C-SPAN2
September 01,NFL Live,ESPN2
September 01,Cousin Skeeter,Nickelodeon
September 01,The Wild Thornberrys,Nickelodeon
