Date,Show,Network,Debut,Status
January 01,Tales from the Neverending Story,HBO,2001,Cancelled
January 05,Sk8,NBC,2001,Cancelled
January 11,The Ellen Show,CBS,2001,Cancelled
January 11,Card Sharks,Syndication,1978,Cancelled
January 15,Max Steel,Cartoon Network,2000,Cancelled
January 15,Imagine That,NBC,2002,Cancelled
January 18,The Outer Limits,Sci Fi Channel,1995,Cancelled
January 21,Daria,MTV,1997,Ended
January 25,The Chamber,Fox,2002,Cancelled
January 26,Marvin The Tap-Dancing Horse,PBS Kids,2000,Cancelled
January 26,That's Life,CBS,2000,Cancelled
January 27,Nikki,The WB,2000,Cancelled
January 31,The Tick,Fox,2001,Cancelled
February 01,Market Watch,CNBC,1998,Cancelled
February 05,Three Sisters,NBC,2001,Cancelled
February 10,Action League Now!,Nickelodeon,2001,Cancelled
February 13,Special Unit 2,UPN,2001,Cancelled
February 13,Dr. Katz Professional Therapist,Comedy Central,1995,Cancelled
February 14,Going to California,Showtime,2001,Cancelled
February 17,The Steve Harvey Show,The WB,1996,Cancelled
February 17,Jackass,MTV,2000,Cancelled
February 23,Sheena,Syndication,2000,Cancelled
March 04,Sponk!,Noggin,2001,Cancelled
March 05,100 Centre Street,A&E,2001,Cancelled
March 10,Any Day Now,Lifetime,1998,Cancelled
March 10,Baby Blues,Kids' WB,2000,Cancelled
March 12,Undeclared,Fox,2001,Cancelled
March 15,To Tell the Truth,Syndication,1956,Cancelled
March 16,The Nightmare Room,Kids' WB,2001,Cancelled
March 18,The Chair,ABC,2002,Cancelled
March 19,The Random Years,UPN,2002,Cancelled
March 21,My Guide to Becoming a Rock Star,The WB,2002,Cancelled
March 23,UC: Undercover,NBC,2001,Cancelled
March 25,Glory Days,The WB,2002,Cancelled
March 31,The URL With Phred Show,Noggin,2001,Cancelled
April 07,Sheep in the Big City,Cartoon Network,2000,Cancelled
April 09,The Court,Fox,2002,Cancelled
April 11,Eco-Challenge,Discovery Channel,1995,Cancelled
April 15,Once and Again,ABC,1999,Cancelled
April 17,Combat Missions,USA,2002,Cancelled
April 21,100 Deeds for Eddie McDowd,Nickelodeon,1999,Cancelled
April 24,The Job,ABC,2001,Cancelled
April 25,Leap of Faith,NBC,2002,Cancelled
April 26,Lexx,Sci Fi Channel,1997,Cancelled
April 28,Caitlin's Way,Nickelodeon,2000,Cancelled
April 30,Dharma & Greg,ABC,1997,Cancelled
April 30,Spin City,ABC,1996,Cancelled
May 01,Wolf Lake,CBS,2001,Cancelled
May 02,Late World with Zach,VH1,2002,Cancelled
May 03,Dark Angel,Fox,2000,Cancelled
May 03,First Monday,CBS,2002,Cancelled
May 03,Maybe It's Me,The WB,2001,Cancelled
May 04,So Little Time,ABC Family,2001,Cancelled
May 10,Raising Dad,The WB,2001,Cancelled
May 10,Teacher's Pet,Toon Disney,2000,Cancelled
May 11,Taina,Nickelodeon,2001,Cancelled
May 12,Ponderosa,PAX TV,2001,Cancelled
May 13,Beastmaster,Syndication,1999,Cancelled
May 13,The Lost World,Syndication,1999,Cancelled
May 14,Roswell,The WB,1999,Cancelled
May 14,Mysterious Ways,NBC,2000,Cancelled
May 17,Talk Soup,E!,1991,Ended
May 18,V.I.P.,Syndication,1998,Cancelled
May 18,The Andy Dick Show,MTV,2001,Cancelled
May 19,The X-Files,Fox,1993,Ended
May 19,WWF Jakked/Metal,Syndication,1999,Cancelled
May 20,Ally McBeal,Fox,1997,Cancelled
May 20,Earth: Final Conflict,Syndication,1997,Cancelled
May 20,Relic Hunter,Syndication,1999,Cancelled
May 20,The Hughleys,ABC,1998,Cancelled
May 22,Felicity,The WB,1998,Ended
