Catalogue number,Year,Artist,Title
BN-LA 006-F,1972.0,McCoy Tyner,Extensions
BN-LA 007-G,1972.0,Moacir Santos,Maestro
BN-LA 014-G,,Wayne Shorter,Moto Grosso Feio
BN-LA 015-G2,,Elvin Jones,Live at the Lighthouse
BN-LA 024-G,,Lou Donaldson,Sophisticated Lou
BN-LA 037-G2,,Grant Green,Live at the Lighthouse
BN-LA 047-F,1973.0,Donald Byrd,Black Byrd
BN-LA 054-F,1973.0,Horace Silver,In Pursuit of the 27th Man
BN-LA 059-F,1973.0,Alphonse Mouzon,The Essence of Mystery
BN-LA 098-G,1973.0,Ronnie Foster,Sweet Revival
BN-LA 099-G,1973.0,Mickey Tucker / Roland Hanna,The New Heritage Keyboard Quartet
BN-LA 109-F,1973.0,Lou Donaldson,Sassy Soul Strut
BN-LA 110-F,1973.0,Elvin Jones,Mr. Jones
BN-LA 140-F,1973.0,Donald Byrd,Street Lady
BN-LA 141-G2,1973.0,Gene Harris,"Yesterday, Today & Tomorrow"
BN-LA 142-G,1973.0,Bobbi Humphrey,Blacks and Blues
BN-LA 143-F,1973.0,Marlena Shaw,From the Depths of My Soul
BN-LA 152-F,,Herbie Hancock / Willie Bobo,Succotash
BN-LA 158-G2,,Various artists,"Decades of Jazz, Vol. 1"
BN-LA 159-G2,,Various artists,"Decades of Jazz, Vol. 2"
BN-LA 160-G2,,Various artists,"Decades of Jazz, Vol. 3"
BN-LA 169-F,,Cannonball Adderley,Somethin' Else
BN-LA 170-G2,,The Jazz Crusaders,Tough Talk
BN-LA 171-G2,,Les McCann,Fish This Week
BN-LA 222-G,1974.0,Alphonse Mouzon,Funky Snakefoot
BN-LA 223-G,1974.0,McCoy Tyner,Asante
BN-LA 224-G,1974.0,Lee Morgan,Memorial Album
BN-LA 237-G2,1974.0,Grant Green,Grant Green
BN-LA 249-G,1974.0,Bobby Hutcherson,Live at Montreux
BN-LA 250-G,1974.0,Ronnie Foster,Live at Montreux
BN-LA 251-G,1974.0,Marlena Shaw,Live at Montreux
BN-LA 252-G,1974.0,Bobbi Humphrey,Live at Montreux
BN-LA 257-G,1974.0,Bobby Hutcherson,Cirrus
BN-LA 258-G,1974.0,Don Minasi,When Joanna Loved Me
BN-LA 259-G,1974.0,Lou Donaldson,Sweet Lou
BN-LA 260-G,1974.0,Moacir Santos,Saudade
BN-LA 261-G,1974.0,Ronnie Foster,On the Avenue
BN-LA 267-G,1974.0,Clifford Brown,Brownie Eyes
BN-LA 313-G,1974.0,Gene Harris,Astral Signal
BN-LA 317-G,1974.0,Duke Pearson,It Could Only Happen with You
BN-LA 344-G,1974.0,Bobbi Humphrey,Satin Doll
BN-LA 356-H2,1975.0,Freddie Hubbard,Freddie Hubbard
BN-LA 368-G,1975.0,Donald Byrd,Stepping into Tomorrow
BN-LA 369-G,1975.0,Bobby Hutcherson,Linger Lane
BN-LA 370-G,1975.0,The Waters,Waters
BN-LA 392-H2,1975.0,The Thad Jones / Mel Lewis Orchestra,Thad Jones/Mel Lewis
BN-LA 393-H2,1975.0,Dexter Gordon,Dexter Gordon
BN-LA 394-H2,1975.0,Stanley Turrentine,Stanley Turrentine
BN-LA 395-H2,1975.0,Chick Corea,Chick Corea
BN-LA 397-G,1975.0,Marlena Shaw,"Who Is This Bitch, Anyway?"
BN-LA 398-G,1975.0,Alphonse Mouzon,Mind Transplant
BN-LA 399-H2,1975.0,Herbie Hancock,Herbie Hancock
BN-LA 400-H2,1975.0,Jimmy Smith,Jimmy Smith
BN-LA 401-H2,1975.0,Sonny Rollins,Sonny Rollins
BN-LA 402-H2,1975.0,Horace Silver,Horace Silver
BN-LA 406-G,1975.0,Horace Silver,Silver 'n Brass
BN-LA 425-G,1975.0,Ronnie Foster,Cheshire Cat
BN-LA 426-G,1975.0,Don Minasi,I Have the Feeling I've Been Here Before
BN-LA 451-H2,1975.0,Paul Chambers / John Coltrane,High Step
BN-LA 452-G,1975.0,Ronnie Laws,Pressure Sensitive
BN-LA 453-H2,1975.0,Sam Rivers,Involution
BN-LA 456-H2,1975.0,Lester Young,The Aladdin Sessions
BN-LA 457-H2,1975.0,Jackie McLean,Jacknife
BN-LA 458-H2,1975.0,Cecil Taylor,In Transition
BN-LA 459-H2,1975.0,Andrew Hill,One for One
BN-LA 460-H2,1975.0,McCoy Tyner,Cosmos
BN-LA 461-H2,1975.0,Gil Evans,Pacific Standard Time
BN-LA 462-G,1975.0,Carmen McRae,I Am Music
BN-LA 463-G,1975.0,Moacir Santos,Carnival of the Spirits
BN-LA 464-G,1975.0,Eddie Henderson,Sunburst
BN-LA 472-H2,1975.0,Chick Corea,Circling In
BN-LA 473-J2,,Art Blakey,Live Messengers
BN-LA 474-H2,,Horace Silver,The Trio Sides
BN-LA 475-H2,1975.0,Sonny Rollins,More from the Vanguard
