Date,City,Country,Venue,Tickets sold / Available,Revenue
"June 28, 2003",Selma,United States,Verizon Wireless Amphitheater,"18,333 / 19,982","$936,343"
"June 29, 2003",Dallas,United States,Smirnoff Music Center,"15,047 / 19,382","$924,401"
"July 2, 2003",Phoenix,United States,Cricket Pavilion,"19,714 / 19,714","$786,405"
"July 3, 2003",Chula Vista,United States,Coors Amphitheatre,"12,895 / 15,000","$711,246"
"July 5, 2003",San Bernardino,United States,Hyundai Pavilion,"27,473 / 44,637","$1,445,289"
"July 8, 2003",San Francisco,United States,Shoreline Amphitheatre,,
"July 9, 2003",Wheatland,United States,Sleep Train Amphitheatre,"12,756 / 19,711","$653,888"
"July 12, 2003",Auburn,United States,White River Amphitheatre,"13,957 / 19,536","$792,072"
"July 15, 2003",Albuquerque,United States,Journal Pavilion,,
"July 17, 2003",Maryland Heights,United States,UMB Bank Pavilion,"14,434 / 21,218","$674,579"
"July 19, 2003",Somerset,United States,Float-Rite Park,,
"July 20, 2003",Tinley Park,United States,Tweeter Center Chicago,"21,358 / 28,486","$979,202"
"July 22, 2003",Cuyahoga Falls,United States,Blossom Music Center,,
"July 24, 2003",Clarkston,United States,DTE Energy Music Theatre,"28,799 / 30,404","$1,602,356"
"July 25, 2003",Clarkston,United States,DTE Energy Music Theatre,"28,799 / 30,404","$1,602,356"
"July 30, 2003",Burgettstown,United States,Post-Gazette Pavilion,"22,556 / 23,255","$878,905"
"July 31, 2003",Noblesville,United States,Verizon Wireless Music Center,"21,119 / 24,131","$910,613"
"August 2, 2003",East Troy,United States,Alpine Valley Music Theatre,"25,104 / 35,118","$1,073,458"
"August 3, 2003",Columbus,United States,Polaris Amphitheater,,
"August 5, 2003",Scranton,United States,Ford Pavilion,"12,090 / 17,217","$554,396"
"August 7, 2003",Camden,United States,Tweeter Center at the Waterfront,"24,317 / 25,371","$1,097,869"
"August 9, 2003",Hartford,United States,Meadows Music Theatre,"19,605 / 24,620","$915,729"
"August 11, 2003",Corfu,United States,Darien Lake Performing Arts Center,"11,358 / 20,111","$629,315"
"August 14, 2003",Mansfield,United States,Tweeter Center,"29,960 / 39,800","$1,465,482"
"August 15, 2003",Mansfield,United States,Tweeter Center,"29,960 / 39,800","$1,465,482"
"August 18, 2003",Holmdel,United States,PNC Bank Arts Center,"26,655 / 33,888","$1,467,649"
"August 19, 2003",Holmdel,United States,PNC Bank Arts Center,"26,655 / 33,888","$1,467,649"
"August 22, 2003",Bristow,United States,Nissan Pavilion,"20,509 / 23,563","$1,055,832"
"August 24, 2003",Charlotte,United States,Verizon Wireless Amphitheatre,"16,563 / 18,855","$729,339"
"August 26, 2003",Atlanta,United States,HiFi Buys Amphitheatre,"9,872 / 19,000","$519,029"
"August 28, 2003",West Palm Beach,United States,Sound Advice Amphitheatre,"14,939 / 19,238","$754,848"
