#,Film,U.S. original release date,Director(s),Screenwriter(s)
1,Barbie in the Nutcracker,"October 2, 2001",Owen Hurley,"Rob Hudnut, Linda Engelsiepen & Hilary Hinkle"
2,Barbie as Rapunzel,"October 1, 2002",Owen Hurley,Elana Lesser & Cliff Ruby
3,Barbie of Swan Lake,"September 30, 2003",Owen Hurley,Elana Lesser & Cliff Ruby
4,Barbie as the Princess and the Pauper,"September 28, 2004",William Lau,Elana Lesser & Cliff Ruby
5,Barbie: Fairytopia,"March 8, 2005",Walter P. Martishius,Elise Allen & Diane Duane
6,Barbie and the Magic of Pegasus,"September 20, 2005",Greg Richardson,Elana Lesser & Cliff Ruby
7,Barbie Fairytopia: Mermaidia,"March 14, 2006",William Lau & Walter P. Martishius,Elise Allen & Diane Duane
8,The Barbie Diaries,"May 9, 2006",Eric Fogel,Elise Allen & Laura McCreary
9,Barbie in the 12 Dancing Princesses,"September 19, 2006",Greg Richardson,Elana Lesser & Cliff Ruby
10,Barbie Fairytopia: Magic of the Rainbow,"March 13, 2007",William Lau,Elise Allen
11,Barbie as the Island Princess,"September 18, 2007",Greg Richardson,Elana Lesser & Cliff Ruby
12,Barbie: Mariposa,"February 26, 2008",Conrad Helten,Elise Allen
13,Barbie & the Diamond Castle,"September 9, 2008",Gino Nichelle,Elana Lesser & Cliff Ruby
14,Barbie in A Christmas Carol,"November 4, 2008",William Lau,Elise Allen
15,Barbie Presents: Thumbelina,"March 17, 2009",Conrad Helten,Elise Allen
16,Barbie and the Three Musketeers,"September 15, 2009",William Lau,Amy Wolfram
17,Barbie in A Mermaid Tale,"March 2, 2010",Adam L. Wood,Elise Allen
18,Barbie: A Fashion Fairytale,"September 14, 2010",William Lau,Elise Allen
19,Barbie: A Fairy Secret,"March 15, 2011",William Lau,Elise Allen
20,Barbie: Princess Charm School,"September 13, 2011",Ezekiel Norton,Elise Allen
21,Barbie: A Perfect Christmas,"November 8, 2011",Mark Baldo,Elise Allen
22,Barbie in A Mermaid Tale 2,"February 27, 2012",William Lau,Elise Allen
23,Barbie: The Princess & the Popstar,"September 11, 2012",Ezekiel Norton,Steve Granat & Cydne Clark
24,Barbie in the Pink Shoes,"February 26, 2013",Owen Hurley,Alison Taylor
25,Barbie: Mariposa & the Fairy Princess,"August 27, 2013",William Lau,Elise Allen
26,Barbie & Her Sisters in A Pony Tale,"October 22, 2013",Kyran Kelly,Cydne Clark & Steve Granat
27,Barbie: The Pearl Princess,"February 15, 2014",Ezekiel Norton,Cydne Clark & Steve Granat
28,Barbie and the Secret Door,"August 7, 2014",Karen J. Lloyd,Brian Hohlfeld
29,Barbie in Princess Power,"February 26, 2015",Ezekiel Norton,Marsha Griffin
30,Barbie in Rock 'N Royals,"August 13, 2015",Karen J. Lloyd,Marsha Griffin
31,Barbie & Her Sisters in the Great Puppy Adventure,"October 8, 2015",Andrew Tan,Amy Wolfram
32,Barbie: Spy Squad,"January 15, 2016",Conrad Helten,Marsha Griffin & Kacey Arnold
33,Barbie: Star Light Adventure,"August 29, 2016",Andrew Tan,Kacey Arnold
34,Barbie & Her Sisters in A Puppy Chase,"October 18, 2016",Conrad Helten,Amy Wolfram & Kacey Arnold
35,Barbie: Video Game Hero,"January 31, 2017",Conrad Helten & Ezekiel Norton,Nina Bargiel
36,Barbie: Dolphin Magic,"September 18, 2017",Conrad Helten,Jennifer Skelly
37,Barbie: Princess Adventure,"September 1, 2020",Conrad Helten,Ann Austen
38,Barbie & Chelsea: The Lost Birthday,"April 16, 2021",Cassandra Mackay,Ann Austen & Nathaniel Nate Federman
39,"Barbie: Big City, Big Dreams","September 1, 2021",Scott Pleydell-Pearce,Christopher Keenan & Catherine Kate Splaine
40,Barbie: Mermaid Power,"September 1, 2022",Ron Myrick,Ann Austen
41,Barbie: Epic Road Trip,"October 25, 2022",Conrad Helten,Aury Wallington
42,Barbie: Skipper and the Big Babysitting Adventure,"March 16, 2023",Steve Daye,Daniel Bryan Franklin
43,Barbie and Stacie to the Rescue,"March 14, 2024",Kay Christianson-Donmyer & Margaret Dunlap,Conrad Helten
44,Barbie & Teresa: Recipe for Friendship,"March 6, 2025",Karen J Loyd,Margaret Dunlap
