Year,Award,Work,With,Result
1974,Best Arrangement Accompanying Vocalist,Live and Let Die,George Martin,Won
1974,Best Original Score Written for a Motion Picture,Live and Let Die,"Paul McCartney, Linda McCartney, George Martin",Nominated
1974,"Best Pop Vocal Performance by a Duo, Group or Chorus",Live and Let Die,Paul McCartney and Wings,Nominated
1975,"Best Pop Vocal Performance by a Duo, Group or Chorus",Band on the Run,Paul McCartney and Wings,Won
1975,"Best Engineered Recording, Non-Classical",Band on the Run,Geoff E. Emerick,Won
1975,Album of the Year,Band on the Run,Paul McCartney and Wings,Nominated
1977,Best Arrangement Accompanying Vocalist,Let 'Em In,Wings,Nominated
1978,Best Album Package,Wings over America,Wings,Nominated
1980,Best Rock Instrumental Performance,Rockestra Theme,Wings,Won
1981,"Best Rock Vocal Performance, Male",Coming Up,Paul McCartney,Nominated
2012,Best Historical Album,Band on the Run,"Paul McCartney, Sam Okell, Steve Rooke",Won
2013,Grammy Hall of Fame Award,Band on the Run,Paul McCartney and Wings,Inducted
2014,Best Boxed or Special Limited Edition Package,Wings over America,"Simon Earith, James Musgrave",Won
