Year,Gold,Silver,Bronze
1966,Ian Alsop & Tony Gowland,,
1967,,,Ian Alsop & Tony Gowland
1968,,,
1969,Trevor Bull & Tony Gowland,Hugh Porter & Dave Bonner,Bert Hitchen & Bill Lawrie
1970,Trevor Bull & Tony Gowland,Bert Hitchen & Bill Lawrie,Hugh Porter & Gordon Johnson
1971,Geoff Wiles & Dave Nie,Ray Barker & Danny Horton,Trevor Bull & Tony Gowland
1972,Tom Moloney & Murray Hall,,
1973,Ian Hallam & Mick Bennett,Seve Heffernan,
1975,Ian Hallam & Mick Bennett,Maurice Burton & Steve Heffernan,Gary Cresswell & Hugh Cameron
1976,Steve Heffernan & Paul Medhurst,Gary Cresswell & Hugh Cameron,Paul Fennell & Tony James
1977,Tony Doyle & Glen Mitchell,Hugh Cameron & Gary Creswell,David Brotherton & Steve Mann
1978,Hugh Cameron & Gary Creswell,Gerry Taylor & Derek Hunt,Shaun Fenwick & Paul Robilliard
1979,Tony Doyle & Glen Mitchell,Gary Cresswell & Hugh Cameron,Paul Fennell & Tony James
1980,Dave Akam & Tony James,Glen Mitchell & Sean Yates,Gary Cresswell & Hugh Cameron
1981,Paul Curran & Stuart Morris,Gary Cresswell & Hugh Cameron,Dennis Lightfoot
1982,Paul Curran & Hugh Cameron,Tony Fantham & Steve Gowar,Terry Tinsley & Phil Rayner
1983,Paul Curran & Hugh Cameron,Glen Mitchell & Gerry Taylor,
1984,Paul Curran & Hugh Cameron,Gerry Taylor & Terry Taylor,Kevin Byers & Dennis Lightfoot
1985,Greg Newton & Guy Rowland,Jon Walshaw & Martin Perrett,Nick Barnes & Russell Williams
1986,Kevin Buyers & Russell Williams,Rob Muzio & Terry Taylor,Alastair Wood & Guy Rowland
1987,Robert Coull & Alastair Wood,Paul Wain & Adrian Adgar,John Clarke & Peter Dickason
1988,Robert Coull & Alastair Wood,Bruce Drew & Guy Rowland,David Baker & Martin Perrett
1989,Gary Coltman & Russell Williams,,
1990,Gary Coltman & Jon Walshaw,,
1991,Gary Coltman & Jon Walshaw,Ray Hughes & Simon Lillistone,Bryan Steel & Colin Sturgess
1992,Simon Lillistone & Bryan Steel,Gary Coltman & Russell Williams,Jon Walshaw & Spencer Wingrave
1993,Spencer Wingrave & Tony Doyle,Simon Lillistone & Jon Walshaw,Hugh Cameron & Russell Williams
1994,Bryan Steel & Rob Hayles,Simon Lillistone & Paul Jennings,Paul Curran & Chris Newton
1995,Rob Hayles & Russell Williams,Bryan Steel & Spencer Wingrave,Simon Lillistone & Chris Newton
1996,Bryan Steel & Simon Lillistone,Rob Hayles & Russell Williams,Jon Clay & Phil West
1997,Rob Hayles & Russell Williams,Jon Clay & Bryan Steel,Jonathan Hargreaves & James Notley
1998,Rob Hayles & Jon Clay,Phil West & James Notley,James Taylor & Rob Wood
1999,Rob Hayles & Bradley Wiggins,Jon Clay & Russell Downing,Chris Bush & Dan Ellmore
2000,Tony Gibb & James Taylor,James Notley & Rob Wodd,Rod Ellingworth & Jon Nunan
2001,Tony Gibb & James Taylor,Rod Ellingworth & Phil West,James Notley & Rob Wodd
2002,James Taylor & Huw Pritchard,Russell Williams & Bryan Taylor,Ben Hallam & Mark Kelly
2003,Russell Downing & Dean Downing,Kieran Page & Huw Pritchard,Russell Anderson & Kristian House
2004,Tony Gibb & James Taylor,Mark Cavendish & Edward Clancy,Matt Brammeier & Tom White
2005,Tony Gibb & James Taylor,Ben Swift & Matthew Rowe,James Notley & Phil West
2006,Tony Gibb & James Taylor,Adam Blythe & Matthew Rowe,Peter Kennaugh & Jonathan Bellis
2007,Adam Blythe & Luke Rowe,John McClelland & Joel Stewart,Richard Prince & Ian Cooper
2008,Peter Kennaugh & Mark Cavendish,Jonathan Bellis & Andrew Fenn,Steven Burke & Alex Dowsett
2009,Mark Christian & Peter Kennaugh,Luke Rowe & Geraint Thomas,Andrew Fenn & Alex Dowsett
2010,Luke Rowe & Mark Christian,Dan McLay & Sam Harrison,George Atkins & Erick Rowsell
2011,Luke Rowe & Peter Kennaugh,Tom Moses & Jon Mould,Alex Dowsett & Tom Murray
2012,Mark Christian & Simon Yates,Alex Dowsett & Tom Murray,George Atkins & Owain Doull
2013,George Atkins & Jonathan Mould,Adam Blythe & Peter Kennaugh,Russell Downing & Jonathan McEvoy
2014,Andy Tennant & Oliver Wood,Alex Dowsett & Joe Holt,Gabriel Cullaigh & Mark Stewart
2016,Joe Holt & Ethan Hayter,Matthew Bostock & Matthew Walls,Jake Stewart & Fred Wright
2017,Ethan Hayter & Matthew Walls,Joe Holt & Jake Stewart,William Tidball & Ethan Vernon
2018,Matthew Walls & Fred Wright,Rhys Britton & Ethan Vernon,William Perret & Tom Ward
2019,Rhys Britton & Fred Wright,Matthew Dobbins & Alex Haines,Alfred George & Max Rushby
2022,William Perrett & Mark Stewart,Jack Brough & Oscar Nilsson-Julien,Jack Rootkin Gray & Robert Donaldson
2024,Frank Longstaff Tom Ward,Alec Briggs Joe Holt,James Ambrose-Parish William Gilbank
