Name of Village,Gram Panchayat,Nearest town
Aadilabad Bisalpur,Adilabad Bisalpur,Pilibhit
Aamdar,Aamdar,Pilibhit
Aaraji Mathu Dandi,Meerapur Mustqil,Jahanabad
Abdullapur,Rampur T Mahrajpur,Puranpur
Abhaipur Chaina Nakti,Abhaipur Chaina Nakti,Pilibhit
Abhaipur Imlia,Bhairo Kalan,Pilibhit
Abhaipur J Jagatpur,Abhaipur J Jagatpur,Puranpur
Abhaipur M Shahgarh,Abhaipur M Shahgarh,Pilibhit
Abhaipur Madhopur,Abhaipur Madhopur,Pilibhit
Abhairajpur Urf Noorpur,Jagat,Pilibhit
Abhu Dandi,Goonchh Onch,Jahanabad
Adhkata,Adhkata,Bisalpur
Adilabad Marauri,Mirpur Hamupura,Bilsanda
Agyari,Agyari,Bisalpur
Ahirpura Nagla,Ahirpura Nagla,Bisalpur
Ahirwara Ehat,Ahirwara Must,Pilibhit
Ahirwara Must,Ahirwara Must,Pilibhit
Aidwara,Tanda Bijaisi Sahrai,Nyoria Husainpur
Aimi,Aimi,Pilibhit
Ajan,Basai Pureina,Pilibhit
Ajit Dandi,Ajit Dandi,Pilibhit
Ajitpur Bilha,Ajeetpur Vilah,Pilibhit
Ajitpur Mustqil,Ajitpur,Pilibhit
Ajitpur Sahrai,Ajitpur,Pilibhit
Akbarabad,Akbarabad,Bisalpur
Akbarganj Simra,Akbarganj Simra,Bisalpur
Akbarpur,Khiri Naubaramad,Pilibhit
Akhtyarpur,Jeohra Kalyanpur,Bisalpur
Alakthan,Alakthan,Pilibhit
Alam Dandi,Chand Dandi,Jahanabad
Alampur,Ulkari Dhakia,Gularia Bhindara
Aliapur,Aliapur,Pilibhit
Alipur,Navdia Dhanesh,Pilibhit
Allabaxpur,Malahpur Khajuria,Pilibhit
Allahabad Dewal,Ilahbaasdewal,Pilibhit
Allahbad Simra,Allahbad Simra,Bisalpur
Amarganj Ehatmali,Amarganj Mustqil,Jahanabad
Amarganj Mustqil,Amarganj Mustqil,Jahanabad
Amaria,Amaria,Pilibhit
Amiratpur T Ghungchahai,Shahbajpur,Puranpur
Amkhera,Amkhera Amaria,Pilibhit
Amkhera Jalalpur,Amkhirya T Pagar,Bilsanda
Amkhera Lucknow,Amkhera Lucknow,Pilibhit
Amkhiria,Mathna Jabti,Pilibhit
Amkhiriya,Amkhidiya,Pilibhit
Amkhirya T Pagar,Amkhirya T Pagar,Bilsanda
Amra Karor,Amra Karor,Bisalpur
Amraiya Kalan,Amraiya Kalan,Puranpur
Amraiya Khurd,Sabalpur M Rampur Fakire,Puranpur
Amrita Dalip Pur,Abhaipur M Shahgarh,Pilibhit
Amrita Khas,Amrita Khas,Pilibhit
Amritpur T Madho Tanda,Udaikaranpur,Puranpur
Anandpur Urf Bhagwantpur,Anandpur Urf Bhagwantpur,Pilibhit
Andabojhi,Kajari Niranjanpur,Puranpur
Andha,Andha,Bisalpur
Andrayan Ehatmali,Andrayan Mustqil,Pilibhit
Andrayan Mustqil,Andrayan Mustqil,Amaria
Ankhen,Udaipur Khurd,Puranpur
Ankoda,Ankoda,Pilibhit
Anwar Ganj,Maithi Saidulla Ganj,Nyoria Husainpur
Araji Baurakh,Aaraji Bhorakh,Pilibhit
Araji Chant Urf Tandola,Himmat Nager Urf Chiraidipur,Pilibhit
Araji Dahgala,Rura Ramnagar,Pilibhit
Araji Dhankuni,Dhankuni,Pilibhit
Araji Din Nagar,Aaraji Bhorakh,Pilibhit
Araji Jadaupur,Chandoi,Pilibhit
Araji Maqrooka Suhela,Dhan Gawan,Bisalpur
Araji Nand Simaria,Dandia Bhasaudi,Pilibhit
Araji Rampuria,Rampuria Sirsa,Pilibhit
Arauli,Arauli,Pilibhit
Arazi Basuia,Chutkuna,Pilibhit
Arazi Kundri,Mohammadpur Bhaja,Pilibhit
Arjunpur,Loharpura,Pilibhit
Arjunpur Ehat,Arjunpur Must,Pilibhit
Arjunpur Must,Arjunpur Must,Pilibhit
Arsia Bojh,Arsia Bojh,Pilibhit
Ashok Nagar,Ashok Nagar,Puranpur
Aspur,Aspur,Pilibhit
Aspur,Aspur,Pilibhit
Athkona,Atkona,Pilibhit
Athkona,Khirkia,Pilibhit
Atkona,Bhairo Kalan,Pilibhit
Aurangabad J Puranpur,Raghunathpur,Pilibhit
Auria,Auria,Nyoria Husainpur
Azad Nagar,Shree Nagar,Puranpur
Azampur Barkhera,Azampur Barkhera,Bisalpur
Baboora,Baboora,Bilsanda
Babrauwa,Marha Khurd Kalan,Pilibhit
Badhepura T Ghunchai,Dilawarpur,Pilibhit
Badhera,Badhera,Pilibhit
Bagnera Bagneri,Bagnera Bagneri,Jahanabad
Bagwa,Bagwa,Jahanabad
Bahadia,Bahadia,Bisalpur
Bahadurganj,,Pilibhit
Bahadurpur,Dharampur Khurd,Pilibhit
Bahadurpur T Hukmi Ehat,Bahadurpur Hukmi,Pilibhit
Bahadurpur T Hukmi Must,Bahadurpur Hukmi,Bisalpur
Bahadurpur T Kishni,Kishni,Pilibhit
Bahruwa,Bahruwa,Gularia Bhindara
Baibaha,Kanja Haraia,Pilibhit
Baigpur,Parsadpur,Pilibhit
Baiju Nagar,Baijunagar,Pilibhit
Bailaha,Bailaha,Puranpur
Bakainia,Udaikaranpur,Pilibhit
Bakainia T Rampur Amrit,Bakainia T Rampur Amrit,Bilsanda
Bakainia Talluka Mahad,Bakainia Talluka Mahad,Pilibhit
Bakhshpur,Nisawa Nisaiya,Sitarganj
Bakhtapur,Bakhtapur,Puranpur
Baknia Dixit,Baknia Dixit,Pilibhit
Bakshpur,Bakshpur,Pilibhit
Bala Beni,Bilhari,Puranpur
Balkaranpur,Bhairo Kalan,Pilibhit
Balliya,Balliya,Pilibhit
Balpur Mafi,Balliya,Pilibhit
