Player,G,AB,R,H,2B,3B,HR,RBI,AVG,SB
Ryan Sweeney,134,484,68,142,31,3,6,53,0.293,6
Scott Hairston,60,233,24,55,13,1,7,35,0.236,3
Orlando Cabrera,101,414,41,116,23,0,4,41,0.28,11
Adam Kennedy,129,529,65,153,29,1,11,63,0.289,20
Matt Holliday,93,346,52,99,23,1,11,54,0.286,12
Kurt Suzuki,147,570,74,156,37,1,15,88,0.274,8
Rajai Davis,125,390,65,119,27,5,3,48,0.305,41
Cliff Pennington,60,208,27,58,11,3,4,21,0.279,7
Jack Cust,149,513,88,123,16,0,25,70,0.24,4
Daric Barton,54,160,31,43,12,1,3,24,0.269,0
Jason Giambi,83,269,39,52,13,0,11,40,0.193,0
Mark Ellis,105,377,52,99,23,0,10,61,0.263,10
Bobby Crosby,97,238,35,53,10,2,6,29,0.223,2
Travis Buck,36,105,11,23,3,0,3,10,0.219,1
Nomar Garciaparra,65,160,17,45,8,0,3,16,0.281,2
Landon Powell,46,140,19,32,7,0,7,30,0.229,0
Jack Hannahan,52,119,12,23,6,2,1,8,0.193,0
Eric Patterson,39,94,15,27,5,1,1,11,0.287,6
Tommy Everidge,24,85,13,19,6,0,2,7,0.224,0
Aaron Cunningham,23,53,6,8,2,0,1,6,0.151,0
Gregorio Petit,11,31,2,7,1,0,0,1,0.226,0
Eric Chavez,8,30,0,3,1,0,0,1,0.1,0
Matt Carson,10,21,1,6,0,0,1,5,0.286,0
Chris Denorfia,4,2,1,0,0,0,0,1,0.0,0
Eric Munson,1,1,0,0,0,0,0,0,0.0,0
Pitcher totals,162,12,1,3,0,0,0,0,0.25,0
Team Totals,162,5584,759,1464,307,21,135,723,0.262,133
