Name,Prefecture,2010
Xincheng,Xi'an,589739
Beilin,Xi'an,614710
Lianhu,Xi'an,698513
Baqiao,Xi'an,595124
Weiyang,Xi'an,806811
Yanta,Xi'an,1178529
Yanliang,Xi'an,278604
Lintong,Xi'an,655874
Chang'an,Xi'an,1083285
Lantian,Xi'an,514026
Zhouzhi,Xi'an,562768
Huyi,Xi'an,556377
Gaoling,Xi'an,333477
Yaozhou,Tongchuan,200230
Yintai,Tongchuan,217509
Wangyi,Tongchuan,325538
Yijun,Tongchuan,91160
Weibin,Baoji,448189
Jintai,Baoji,394538
Chencang,Baoji,595075
Fengxiang,Baoji,483471
Qishan,Baoji,459064
Fufeng,Baoji,416398
Mei,Baoji,299988
Long,Baoji,248901
Qianyang,Baoji,123959
Linyou,Baoji,90728
Feng,Baoji,105492
Taibai,Baoji,50928
Qindu,Xianyang,507093
Yangling,Xianyang,201172
Weicheng,Xianyang,438327
Sanyuan,Xianyang,403529
Jingyang,Xianyang,487749
Qian,Xianyang,527088
Liquan,Xianyang,447771
Yongshou,Xianyang,184642
Bin,Xianyang,323256
Changwu,Xianyang,167570
Xunyi,Xianyang,261566
Chunhua,Xianyang,193377
Wugong,Xianyang,411312
Xingping,Xianyang,541554
Linwei,Weinan,877142
Hua,Weinan,322148
Tongguan,Weinan,155463
Dali,Weinan,693392
Heyang,Weinan,436441
Chengcheng,Weinan,386150
Pucheng,Weinan,743000
Baishui,Weinan,279679
Fuping,Weinan,743385
Hancheng,Weinan,391164
Huayin,Weinan,258113
Baota,Yan'an,475234
Yanchang,Yan'an,125391
Yanchuan,Yan'an,168375
Zichang,Yan'an,216910
Ansai,Yan'an,171552
Zhidan,Yan'an,140489
Wuqi,Yan'an,145061
Ganquan,Yan'an,77188
Fu,Yan'an,149727
Luochuan,Yan'an,220684
Yichuan,Yan'an,117203
Huanglong,Yan'an,49392
Huangling,Yan'an,129803
Hantai,Hanzhong,534923
Nanzheng,Hanzhong,471634
Chenggu,Hanzhong,464903
Yang,Hanzhong,383981
Xixiang,Hanzhong,341812
Mian,Hanzhong,388123
Ningqiang,Hanzhong,308885
Lueyang,Hanzhong,201645
Zhenba,Hanzhong,246817
Liuba,Hanzhong,43398
Foping,Hanzhong,30075
Yuyang,Yulin,637617
Shenmu,Yulin,455493
Fugu,Yulin,260585
Hengshan,Yulin,288053
Jingbian,Yulin,355939
Dingbian,Yulin,319370
Suide,Yulin,296088
Mizhi,Yulin,154953
Jia,Yulin,204666
Wubu,Yulin,75748
Qingjian,Yulin,128938
Zizhou,Yulin,173987
Hanbin,Ankang,870126
Hanyin,Ankang,246147
Shiquan,Ankang,171097
Ningshan,Ankang,70435
Ziyang,Ankang,283947
Langao,Ankang,154157
Pingli,Ankang,192959
Zhenping,Ankang,50966
Xunyang,Ankang,426677
Baihe,Ankang,163395
Shangzhou,Shangluo,531646
Luonan,Shangluo,441643
Danfeng,Shangluo,295424
Shangnan,Shangluo,221564
Shanyang,Shangluo,422255
Zhen'an,Shangluo,275862
Zhashui,Shangluo,153348
