Award,Year,Nominee(s),Category,Result
APRS Annual Sound Fellowships Lunch,2015,Himself,Honour Fellowship,Won
British Academy Film Awards,1985,The Killing Fields,Best Original Music,Nominated
Brit Awards,1977,Tubular Bells,British Album of the Year,Nominated
Daily Mirror The British Rock & Pop Awards,1977,Himself,Best Instrumentalist,Won
Golden Globe Awards,1985,The Killing Fields,Best Original Score,Nominated
Goldene Europa,1987,Himself,Best International Artist,Won
Goldene Europa,1998,Himself,Best International Artist,Won
Grammy Awards,1975,Tubular Bells,Best Instrumental Composition,Won
Grammy Awards,1998,Voyager,Best New Age Album,Nominated
Grammy Hall of Fame,2018,Tubular Bells,Album Induction,Won
Hungarian Music Awards,1997,Voyager,Best Foreign Album,Nominated
Ivor Novello Awards,1984,Moonlight Shadow,Most Performed Work,Nominated
NME Awards,1975,Himself,Best Miscellaneous Instrumentalist,Won
NME Awards,1976,Himself,Best Miscellaneous Instrumentalist,Won
NME Awards,1977,Himself,Best Miscellaneous Instrumentalist,Won
Online Film & Television Association,1999,The X-Files,"Best Music, Original Sci-Fi/Fantasy/Horror Score",Nominated
