Year,Race,Date,Circuit,Winner,Team,Car
2020.0,1.0,22 February,Adelaide Street Circuit,Jamie Whincup,Triple Eight Race Engineering,Holden ZB Commodore
2020.0,2.0,23 February,Adelaide Street Circuit,Scott McLaughlin,DJR Team Penske,Ford Mustang GT
2020.0,3.0,13 March,Albert Park Circuit,Event cancelled,Event cancelled,Event cancelled
2020.0,4.0,13 March,Albert Park Circuit,Event cancelled,Event cancelled,Event cancelled
2020.0,5.0,14 March,Albert Park Circuit,Event cancelled,Event cancelled,Event cancelled
2020.0,6.0,15 March,Albert Park Circuit,Event cancelled,Event cancelled,Event cancelled
2020.0,7.0,27 June,Sydney Motorsport Park,Scott McLaughlin,DJR Team Penske,Ford Mustang GT
2020.0,8.0,28 June,Sydney Motorsport Park,Nick Percat,Brad Jones Racing,Holden ZB Commodore
2020.0,9.0,28 June,Sydney Motorsport Park,Scott McLaughlin,DJR Team Penske,Ford Mustang GT
2020.0,10.0,18 July,Sydney Motorsport Park,Scott McLaughlin,DJR Team Penske,Ford Mustang GT
2020.0,11.0,19 July,Sydney Motorsport Park,Nick Percat,Brad Jones Racing,Holden ZB Commodore
2020.0,12.0,19 July,Sydney Motorsport Park,Jack Le Brocq,Tickford Racing,Ford Mustang GT
2020.0,13.0,15 August,Hidden Valley Raceway,Anton de Pasquale,Erebus Motorsport,Holden ZB Commodore
2020.0,14.0,16 August,Hidden Valley Raceway,Scott McLaughlin,DJR Team Penske,Ford Mustang GT
2020.0,15.0,16 August,Hidden Valley Raceway,Jamie Whincup,Triple Eight Race Engineering,Holden ZB Commodore
2020.0,16.0,22 August,Hidden Valley Raceway,Scott McLaughlin,DJR Team Penske,Ford Mustang GT
2020.0,17.0,23 August,Hidden Valley Raceway,Scott McLaughlin,DJR Team Penske,Ford Mustang GT
2020.0,18.0,23 August,Hidden Valley Raceway,Scott McLaughlin,DJR Team Penske,Ford Mustang GT
2020.0,19.0,29 August,Reid Park Street Circuit,Jamie Whincup,Triple Eight Race Engineering,Holden ZB Commodore
2020.0,20.0,30 August,Reid Park Street Circuit,Jamie Whincup,Triple Eight Race Engineering,Holden ZB Commodore
2020.0,21.0,30 August,Reid Park Street Circuit,Scott McLaughlin,DJR Team Penske,Ford Mustang GT
2020.0,22.0,05 September,Reid Park Street Circuit,Scott McLaughlin,DJR Team Penske,Ford Mustang GT
2020.0,23.0,06 September,Reid Park Street Circuit,Shane van Gisbergen,Triple Eight Race Engineering,Holden ZB Commodore
2020.0,24.0,06 September,Reid Park Street Circuit,Shane van Gisbergen,Triple Eight Race Engineering,Holden ZB Commodore
2020.0,25.0,19 September,The Bend Motorsport Park,Fabian Coulthard,DJR Team Penske,Ford Mustang GT
2020.0,26.0,20 September,The Bend Motorsport Park,Shane van Gisbergen,Triple Eight Race Engineering,Holden ZB Commodore
2020.0,27.0,20 September,The Bend Motorsport Park,Scott McLaughlin,DJR Team Penske,Ford Mustang GT
2020.0,28.0,26 September,The Bend Motorsport Park,Scott McLaughlin,DJR Team Penske,Ford Mustang GT
2020.0,29.0,27 September,The Bend Motorsport Park,Scott McLaughlin,DJR Team Penske,Ford Mustang GT
2020.0,30.0,27 September,The Bend Motorsport Park,Cameron Waters,Tickford Racing,Ford Mustang GT
2020.0,31.0,18 October,Mount Panorama Circuit,Shane van Gisbergen Garth Tander,Triple Eight Race Engineering,Holden ZB Commodore
2021.0,1.0,27 February,Mount Panorama Circuit,Shane Van Gisbergen,Triple Eight Race Engineering,Holden ZB Commodore
2021.0,2.0,28 February,Mount Panorama Circuit,Shane Van Gisbergen,Triple Eight Race Engineering,Holden ZB Commodore
2021.0,3.0,20 March,Sandown Raceway,Shane Van Gisbergen,Triple Eight Race Engineering,Holden ZB Commodore
2021.0,4.0,21 March,Sandown Raceway,Shane Van Gisbergen,Triple Eight Race Engineering,Holden ZB Commodore
2021.0,5.0,21 March,Sandown Raceway,Shane Van Gisbergen,Triple Eight Race Engineering,Holden ZB Commodore
2021.0,6.0,17 April,Symmons Plains Raceway,Shane Van Gisbergen,Triple Eight Race Engineering,Holden ZB Commodore
2021.0,7.0,18 April,Symmons Plains Raceway,Jamie Whincup,Triple Eight Race Engineering,Holden ZB Commodore
2021.0,8.0,18 April,Symmons Plains Raceway,Chaz Mostert,Walkinshaw Andretti United,Holden ZB Commodore
2021.0,9.0,08 May,The Bend Motorsport Park,Andre Heimgartner,Kelly Grove Racing,Ford Mustang GT
2021.0,10.0,09 May,The Bend Motorsport Park,Anton de Pasquale,Dick Johnson Racing,Ford Mustang GT
2021.0,11.0,09 May,The Bend Motorsport Park,Cameron Waters,Tickford Racing,Ford Mustang GT
2021.0,12.0,19 June,Hidden Valley Raceway,Chaz Mostert,Walkinshaw Andretti United,Holden ZB Commodore
2021.0,13.0,20 June,Hidden Valley Raceway,Shane Van Gisbergen,Triple Eight Race Engineering,Holden ZB Commodore
2021.0,14.0,20 June,Hidden Valley Raceway,Shane Van Gisbergen,Triple Eight Race Engineering,Holden ZB Commodore
2021.0,15.0,10 July,Reid Park Street Circuit,Shane Van Gisbergen,Triple Eight Race Engineering,Holden ZB Commodore
2021.0,16.0,11 July,Reid Park Street Circuit,Shane Van Gisbergen,Triple Eight Race Engineering,Holden ZB Commodore
2021.0,17.0,17 July,Reid Park Street Circuit,Cameron Waters,Tickford Racing,Ford Mustang GT
2021.0,18.0,18 July,Reid Park Street Circuit,Shane van Gisbergen,Triple Eight Race Engineering,Holden ZB Commodore
2021.0,19.0,18 July,Reid Park Street Circuit,Cameron Waters,Tickford Racing,Ford Mustang GT
2021.0,20.0,30 October,Sydney Motorsport Park,Anton de Pasquale,Dick Johnson Racing,Ford Mustang GT
2021.0,21.0,31 October,Sydney Motorsport Park,Shane van Gisbergen,Triple Eight Race Engineering,Holden ZB Commodore
2021.0,22.0,31 October,Sydney Motorsport Park,Anton de Pasquale,Dick Johnson Racing,Ford Mustang GT
2021.0,23.0,06 November,Sydney Motorsport Park,Shane van Gisbergen,Triple Eight Race Engineering,Holden ZB Commodore
2021.0,24.0,07 November,Sydney Motorsport Park,Anton de Pasquale,Dick Johnson Racing,Ford Mustang GT
2021.0,25.0,07 November,Sydney Motorsport Park,Jamie Whincup,Triple Eight Race Engineering,Holden ZB Commodore
2021.0,26.0,13 November,Sydney Motorsport Park,Anton de Pasquale,Dick Johnson Racing,Ford Mustang GT
