Year,Publication,List,Position
1999,The Face,Recordings of the Year,9.0
2002,Q,100 Women Who Rock the World,77.0
2007,Rock and Roll Hall of Fame,Definitive 200,160.0
2007,Vibe,The 150 Albums That Define the Vibe Era,
2008,Entertainment Weekly,The New Classics: Music,92.0
2013,NME,The 500 Greatest Albums of All Time,454.0
2017,Complex,The 50 Best R&B Albums of the '90s,31.0
2017,NPR,The 150 Greatest Albums Made By Women,61.0
2019,Okayplayer,The 19 Most Influential R&B Albums of '90s,
2020,PopMatters,The Most Memorable Albums of 1999,
2020,Rolling Stone,The 500 Greatest Albums of All Time,291.0
2022,Pitchfork,The 150 Best Albums of the 1990s,45.0
