State/Territory,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010,2020
Alabama,213,1143,177,909,405,465,464,928,1276,2443,9239,16506,22430,28218,33625
Alaska,32996,25354,29536,25331,26558,29983,32458,33863,42522,50814,64103,85698,98043,104871,111575
Arizona,22199,29981,26480,29201,32989,43726,55076,65761,83387,95812,154175,203527,255879,296529,319512
Arkansas,195,250,66,460,106,408,278,533,580,2014,12713,12773,17808,22248,27177
California,20385,16624,15377,16371,17360,19212,18675,19947,39014,91018,227757,242164,333346,362801,631016
Colorado,2684,1092,1437,1482,1383,1395,1360,1567,4288,8836,20682,27776,44241,56010,74129
Connecticut,255,228,153,152,159,162,201,333,923,2222,4822,6654,9639,11256,16051
Delaware,5,4,9,5,2,5,14,0,597,656,1380,2019,2731,4181,5148
Florida,780,171,358,74,518,587,690,1011,2504,6677,24714,36335,53541,71458,94795
Georgia,124,68,19,95,125,43,106,333,749,2347,9876,13348,21737,32151,50618
Hawaii,0,0,0,0,0,0,0,0,472,1126,2833,5099,3535,4164,4370
Idaho,3585,4223,4226,3488,3098,3638,3537,3800,5231,6687,10405,13780,17645,21441,25621
Illinois,140,98,16,188,194,469,624,1443,4704,11413,19118,21836,31006,43963,96498
Indiana,246,343,243,279,125,285,223,438,948,3887,9495,12720,15815,18462,26086
Iowa,821,457,382,471,529,660,733,1084,1708,2992,6311,7349,8989,11084,14486
Kansas,1499,1682,2130,2444,2276,2454,1165,2381,5069,8672,17829,21965,24936,28150,30995
Kentucky,50,71,102,234,57,22,44,234,391,1531,4497,5769,8616,10120,12801
Louisiana,848,628,593,780,1069,1536,1801,409,3587,5294,12841,18541,25477,30579,31657
Maine,625,559,798,892,830,1012,1251,1522,1879,2195,4360,5998,7098,8568,7885
Maryland,15,44,3,55,32,50,73,314,1538,4239,8946,12972,15423,20420,31845
Massachusetts,369,428,587,688,555,874,769,1201,2118,4475,8996,12241,15015,18850,24018
Michigan,17390,5625,6354,7519,5614,7080,6282,7000,9701,16854,44712,55638,58479,62007,61261
Minnesota,8498,10096,9182,9053,8761,11077,12528,12533,15496,23128,36527,49909,54967,60916,68641
Mississippi,1857,2036,2203,1253,1105,1458,2134,2502,3119,4113,6836,8525,11652,15030,16450
Missouri,113,128,130,313,171,578,330,547,1723,5405,14820,19835,25076,27376,30518
Montana,23313,11206,11343,10745,10956,14798,16841,16606,21181,27130,37623,47679,56068,62555,67612
Nebraska,4541,6431,3322,3502,2888,3256,3401,3954,5545,6624,9059,12410,14896,18427,23102
Nevada,9603,5156,5216,5240,4907,4871,4747,5025,6681,7933,14256,19637,26420,32062,43932
New Hampshire,63,16,22,34,28,64,50,74,135,361,1342,2134,2964,3150,3031
New Jersey,74,84,63,168,106,213,211,621,1699,4706,10028,14970,19492,29026,51186
New Mexico,33224,15044,13144,20573,19512,28941,34510,41901,56255,72788,106585,134355,173483,193222,212241
New York,5958,6044,5257,6046,5503,6973,8651,10640,16491,28355,43508,62651,82461,106906,149690
North Carolina,1230,1516,5687,7851,11824,16579,22546,3742,38129,44406,65808,80155,99551,122110,130032
North Dakota,8329,8174,6968,6486,6254,8387,10114,10766,11736,14369,19905,25917,31329,36591,38914
Ohio,130,206,42,127,151,435,338,1146,1910,6654,15300,20358,24486,25292,30720
Oklahoma,82334,64456,64445,74825,57337,92725,63125,53769,64689,98468,171092,252420,273230,321687,332791
Oregon,6249,4971,4951,5090,4590,4776,4594,5820,8026,13510,29783,38496,45211,53203,62993
Pennsylvania,184,1081,1639,1503,337,523,441,1141,2122,5533,10928,14733,18348,26843,31052
Rhode Island,77,180,35,284,110,318,196,385,932,1390,3186,4071,5121,6058,7385
South Carolina,131,173,121,331,304,959,1234,554,1098,2241,6655,8246,13718,19524,24303
South Dakota,20230,19854,20225,19137,16384,21833,23347,23344,25794,32365,45525,50575,62283,71817,77748
Tennessee,352,146,108,216,56,161,114,339,638,2276,6946,10039,15152,19994,28044
Texas,992,708,470,702,2109,1001,1103,2736,5750,17957,50296,65877,118362,170972,278948
Utah,1257,3456,2623,3123,2711,2869,3611,4201,6961,11273,19994,24283,29684,32927,41644
Vermont,11,34,5,26,24,36,16,30,57,229,1041,1696,2420,2207,2289
Virginia,85,349,354,539,824,779,198,1056,2155,4853,9867,15282,21172,29225,40007
Washington,18594,11181,10039,10997,9061,11253,11394,13816,21076,33386,61233,81483,93301,103869,121468
West Virginia,29,9,12,36,7,18,25,160,181,751,2317,2458,3606,3787,3706
Wisconsin,10798,9930,8372,10142,9611,11548,12265,12196,14297,18924,30553,39387,47228,54526,60428
Wyoming,2203,1844,1686,1486,1343,1845,2349,3237,4020,4980,8192,9479,11133,13336,13898
"Washington, D.C.",5,25,22,68,37,40,190,330,587,956,986,1466,1713,2079,3193
United States,345888,273607,266732,291014,270995,362380,366427,377273,551669,827268,1519995,1959234,2475956,2932248,3727135
Non-Hispanic,345888,273607,266732,291014,270995,362380,366427,377273,551669,800409,1425250,1793773,2068883,2247098,2251699
