Year,Awardee,Category,Result
2003,Himself,Best New Artist,Nominated
2003,Your Body Is a Wonderland,Best Male Pop Vocal Performance,Won
2005,Daughters,Song of the Year,Won
2005,Daughters,Best Male Pop Vocal Performance,Won
2007,Continuum,Album of the Year,Nominated
2007,Continuum,Best Pop Vocal Album,Won
2007,Try!,Best Rock Album,Nominated
2007,Waiting on the World to Change,Best Male Pop Vocal Performance,Won
2007,Route 66,Best Solo Rock Vocal Performance,Nominated
2008,Belief,Best Male Pop Vocal Performance,Nominated
2009,Say,Best Male Pop Vocal Performance,Won
2009,Say,"Best Song Written for a Motion Picture, Television or Other Visual Media",Nominated
2009,Gravity,Best Solo Rock Vocal Performance,Won
2009,Lesson Learned,Best Pop Collaboration with Vocals,Nominated
2009,Where the Light Is: John Mayer Live in Los Angeles,Best Long Form Music Video,Nominated
2011,Battle Studies,Best Pop Vocal Album,Nominated
2011,Half of My Heart,Best Male Pop Vocal Performance,Nominated
2011,Crossroads,Best Solo Rock Vocal Performance,Nominated
2013,Channel Orange,Album of the Year,Nominated
