Year,Ceremony,Award,Result
2010,American Music Awards,Favorite Rap/Hip-Hop Album,Won
2010,American Music Awards,Favorite Pop/Rock Album,Nominated
2011,Billboard Music Award,Top Billboard 200 Album,Won
2011,Billboard Music Award,Top Rap Album,Won
2011,Brit Awards,Best International Album,Nominated
2011,Detroit Music Awards,Outstanding National Major Label Recording,Won
2011,Grammy Awards,Album of the Year,Nominated
2011,Grammy Awards,Best Rap Album,Won
2011,Juno Awards,International Album of the Year,Nominated
2011,MTV Video Music Awards Japan,Album of the Year,Nominated
