Name,District,Party,City,First elected
Dennis R. Bailey,1,Dem,Broken Bow,2008.0
Glen Bud Smithson,2,Dem,Sallisaw,2002.0
Neil Brannon,3,Dem,Arkoma,2002.0
Mike Brown,4,Dem,Tahlequah,2004.0
Doug Cox,5,Rep,Grove,2004.0
Chuck Hoskin,6,Dem,Vinita,2006.0
Larry Glenn,7,Dem,Miami,2004.0
Ben Sherrer,8,Dem,Pryor,2004.0
Tad Jones,9,Rep,Claremore,1998.0
Steve Martin,10,Rep,Bartlesville,2004.0
Earl Sears,11,Rep,Bartlesville,2006.0
Wade Rousselot,12,Dem,Okay,2004.0
Jerry McPeak,13,Dem,Warner,2004.0
George Faught,14,Rep,Muskogee,2006.0
Ed Cannaday,15,Dem,Porum,2006.0
Jerry Shoemake,16,Dem,Morris,2004.0
Brian Renegar,17,Dem,McAlester,2006.0
Terry Harrison,18,Dem,McAlester,2002.0
R. C. Pruett,19,Dem,Antlers,2004.0
Paul Roan,20,Dem,Tishomingo,2000.0
John Carey,21,Dem,Durant,2002.0
Wes Hilliard,22,Dem,Sulphur,2004.0
Sue Tibbs,23,Rep,Tulsa,2000.0
Dale Turner,24,Dem,Holdenville,1996.0
Todd Thomsen,25,Rep,Ada,2006.0
Kris Steele,26,Rep,Shawnee,2000.0
Shane Jett,27,Rep,Tecumseh,2004.0
Ryan Kiesel,28,Dem,Seminole,2004.0
Skye McNiel,29,Rep,Bristow,2006.0
Mark McCullough,30,Rep,Sapulpa,2006.0
Jason Murphey,31,Rep,Guthrie,2006.0
Danny Morgan,32,Dem,Prague,2002.0
Lee Denney,33,Rep,Cushing,2004.0
Cory T. Williams,34,Dem,Stillwater,2008.0
Rex Duncan,35,Rep,Sand Springs,2004.0
Eddie Fields,36,Rep,Wynona,2008.0
Ken Luttrell,37,Dem,Ponca City,2006.0
Dale DeWitt,38,Rep,Braman,2002.0
Marian Cooksey,39,Rep,Edmond,2004.0
Mike Jackson,40,Rep,Enid,2004.0
John Enns,41,Rep,Waukomis,2006.0
Lisa Johnson Billy,42,Rep,Purcell,2004.0
Colby Schwartz,43,Rep,Yukon,2006.0
Bill Nations,44,Dem,Norman,1998.0
Wallace Collins,45,Dem,Norman,2002.0
Scott Martin,46,Rep,Norman,2006.0
Leslie Osborn,47,Rep,Mustang,2008.0
Pat Ownbey,48,Rep,Ardmore,2008.0
Samson Buck,49,Dem,Leon,2008.0
Dennis Johnson,50,Rep,Kingfisher,2006.0
Corey Holland,51,Rep,Marlow,2008.0
Charles Ortega,52,Rep,Altus,2008.0
Randy Terrill,53,Rep,Moore,2004.0
Paul Wesselhoft,54,Rep,Moore,2006.0
Todd Russ,55,Rep,Cordell,2009.0
Phil Richardson,56,Rep,Minco,2004.0
Harold Wright,57,Rep,Weatherford,2008.0
Jeffrey W. Hickman,58,Rep,Dacoma,2004.0
Mike Sanders,59,Rep,Kingfisher,2008.0
Purcy Walker,60,Dem,Elk City,2000.0
Gus Blackwell,61,Rep,Goodwell,2002.0
T. W. Shannon,62,Rep,Lawton,2006.0
Don Armes,63,Rep,Faxon,2002.0
Ann Coody,64,Rep,Lawtwon,2004.0
Joe Dorman,65,Dem,Rush Springs,2002.0
Lucky Lamons,66,Dem,Tulsa,2002.0
Pam Peterson,67,Rep,Tulsa,2004.0
Chris Benge,68,Rep,Tulsa,1998.0
Fred Jordan,69,Rep,Jenks,2006.0
Ron Peters,70,Rep,Tulsa,
Dan Sullivan,71,Rep,Tulsa,2004.0
Seneca Scott,72,Dem,Tulsa,2008.0
Jabar Shumate,73,Dem,Tulsa,2004.0
David Derby,74,Rep,Owasso,2006.0
Dan Kirby,75,Rep,Tulsa,2008.0
John A. Wright,76,Rep,Broken Arrow,1998.0
Eric Proctor,77,Dem,Tulsa,2006.0
Jeannie McDaniel,78,Dem,Tulsa,2004.0
Weldon Watson,79,Rep,Tulsa,2006.0
Mike Ritze,80,Rep,Tulsa,2008.0
Ken Miller,81,Rep,Edmond,2004.0
Guy Liebmann,82,Rep,Oklahoma City,2004.0
Randy McDaniel,83,Rep,Oklahoma City,2006.0
Sally Kern,84,Rep,Oklahoma City,2004.0
David Dank,85,Rep,Oklahoma City,2006.0
John Auffet,86,Dem,Stilwell,2004.0
Jason Nelson,87,Rep,Oklahoma City,2008.0
Al McAffrey,88,Dem,Oklahoma City,2006.0
Rebecca Hamilton,89,Dem,Oklahoma City,2002.0
Charles Key,90,Rep,Oklahoma City,2000.0
Mike Reynolds,91,Rep,Oklahoma City,2002.0
Richard Morrissette,92,Dem,Oklahoma City,2002.0
Mike Christian,93,Rep,Oklahoma City,2008.0
Scott Inman,94,Dem,Oklahoma City,2006.0
Charlie Joyner,95,Rep,Midwest City,2006.0
Lewis H. Moore,96,Rep,Edmond,2008.0
Mike Shelton,97,Dem,Oklahoma City,2004.0
John Trebilcock,98,Rep,Tulsa,2002.0
Anastasia Pittman,99,Dem,Oklahoma City,2006.0
Mike Thompson,100,Rep,Oklahoma City,2004.0
Gary Banz,101,Rep,Midwest City,2004.0
