Program,Country of origin,Network,Original airdate(s)
Lunch with Madame Murat,France,SBS TV,01 January
The Story of 1,United Kingdom,ABC1,01 January
Evolve,United States,The History Channel,04 January
Journey to the Edge of the Universe,"United Kingdom, United States",National Geographic Channel,04 January
The Lobotomist,United States,SBS TV,04 January
Nigel Marven's Ugly Animals,United Kingdom,ABC1,04 January
Gangland Graveyard,United States,ABC1,05 January
Blood and Guts: A History of Surgery,United Kingdom,SBS TV,06 January
Everest ER,United States,ABC1,08 January
Who Killed Stalin?,United Kingdom,ABC1,08 January
Hubble's Final Frontier,United Kingdom,National Geographic Channel,10 January
Penguins of the Antarctic,"United Kingdom, United States",ABC1,11 January
"Changing Climates, Changing Times","France, Canada",SBS TV,11 January
The House of Windsor: A Royal Dynasty,United Kingdom,ABC1,12 January
Dreams of Obama,United States,ABC1,16 January
Martian Robots,United Kingdom,National Geographic Channel,17 January
An Eye for an Elephant,United Kingdom,ABC1,18 January
Made in Chicago: The Making of Barack Obama,United States,ABC1,19 January
Monster of the Milky Way,United States,National Geographic Channel,24 January
2050: How Soon Is Now?,Spain,ABC1,26 January
How to Live to 101 Without Trying,United Kingdom,SBS TV,27 January
Death of the Universe,United States,National Geographic Channel,31 January
Cherub of the Mist,India,ABC1,01 February
Born to be King: Prince Charles at 60,United States,ABC1,02 February
1983: The Brink of Apocalypse,United States,ABC1,02 February
The Girl Who Lives in the Dark,United Kingdom,SBS TV,10 February
India Reborn,"Canada, Germany, United Kingdom, France",SBS TV,10 February
Wild Caribbean,United Kingdom,ABC1,15 February
Death of a Nation,United Kingdom,ABC1,16 February
How Does Your Memory Work?,United Kingdom,SBS TV,17 February
Bringing Up Baby,United Kingdom,ABC1,19 February
The Machine That Made Us,United Kingdom,SBS TV,20 February
A Lady's Guide to Brothels,United Kingdom,SBS TV,20 February
How Life Began,United States,The History Channel,February
All About Dung,United States,The History Channel,15 March
The Boyz Are Back in Town,United Kingdom,ABC2,10 April
Jade Goody,United Kingdom,Bio.,19 April
13 Kids & Wanting More,United Kingdom,The LifeStyle Channel,07 May
Ancient Ink,United States,The History Channel,08 May
In the Womb: Identical Twins,United Kingdom,National Geographic Channel HD,10 May
Earthquake: Panda Rescue,Unknown,Animal Planet,12 May
When Borat Came to Town,"Netherlands,  Romania",SBS TV,12 May
Ben Stiller,United States,Bio.,13 May
China's Last Elephants,"United Kingdom, Germany",Animal Planet,17 May
Stanley Kubrick's Boxes,United Kingdom,ABC2,17 May
Ice Vegas,United States,National Geographic Channel HD,20 May
The Perfect Vagina,United Kingdom,SBS One,22 May
Louis Theroux: Law and Disorder in Philadelphia,United Kingdom,Seven Network,25 May
The Road to Guantanamo,United Kingdom,SBS TV,26 May
The Journalist and the Jihadi: The Murder of Daniel Pearl,United States,Crime & Investigation Network,27 May
Kung Fu Inc.,Unknown,National Geographic Channel HD,27 May
Superstar on Trial: Mexico's Madonna,Mexico,Crime & Investigation Network,10 June
The Sci Fi Boys,United States,Sci-Fi,"24 June, 1 July"
Gok Wan: Too Fat Too Young,United Kingdom,The LifeStyle Channel,30 June
The Beckoning Silence,United Kingdom,The History Channel,16 July
We Are Wizards,United States,ABC2,22 July
Miracle of the Hudson Plane Crash,"United States, United Kingdom",Seven Network,03 August
Josef Fritzl: Story of a Monster,United Kingdom,Crime & Investigation Network,19 August
Battle at Kruger Park,United States,Seven Network,31 August
Waltz with Bashir,Israel,SBS One,01 September
Pedigree Dogs Exposed,United Kingdom,ABC1,10 September
Inside the Wonders of the Muslim World,United States,SBS One,11 September
The Human Family Tree,United States,National Geographic Channel,11 October
Theater of War,United States,ABC2,08 November
Fergie: Duchess on a Mission,United Kingdom,Nine Network,12 November
Addicted to Boob Jobs,United Kingdom,LifeStyle You,15 November
Britney: Speared by the Paps,United Kingdom,MTV,15 November
The Magic of Audrey,United States,ABC2,15 November
What a Difference a Day Made: Doris Day Superstar,Germany,ABC2,22 November
Unlikely Animal Friends,Unknown,Seven Network,24 November
Louis Theroux: A Place for Pedophiles,United Kingdom,BBC Knowledge,28 November
Joanna Lumley in the Land of the Northern Lights,United Kingdom,ABC1,29 November
Prince Charles' Other Mistress,United Kingdom,ABC1,01 December
Sex Positive,United States,SBS One,01 December
I Killed John Lennon,United Kingdom,Crime & Investigation Network,08 December
Snowdon and Margaret: Inside a Royal Marriage,United Kingdom,ABC1,08 December
Backstairs Billy: The Queen Mum's Butler,United Kingdom,ABC1,15 December
Hitler's Favourite Royal,United Kingdom,ABC1,22 December
The Legends of Santa,United Kingdom,SBS One,23 December
Final Chance to Save the Orangutans with Joanna Lumley,United Kingdom,ABC1,26 December
The Queen's Coronation: Behind Palace Doors,United Kingdom,ABC1,29 December
I Dreamed a Dream: The Susan Boyle Story,United Kingdom,UK.TV,30 December
