Actor,Role
Mark Hamill,The Joker
Arleen Sorkin,Dr. Harleen Quinzel / Harley Quinn
Paul Williams,Oswald Chesterfield Cobblepot / The Penguin
Richard Moll,Harvey Dent / Two-Face
Adrienne Barbeau,Selina Kyle / Catwoman
Diane Pershing,Dr. Pamela Isley / Poison Ivy
Jeffrey Combs,Dr. Jonathan Crane / The Scarecrow
John Glover,Edward Nygma / The Riddler
Michael Ansara,Dr. Victor Fries / Mr. Freeze
Brooks Gardner,Waylon Jones / Killer Croc
Roddy McDowall,Dr. Jervis Tetch / The Mad Hatter
Ron Perlman,Matt Hagen / Clayface
George Dzundza,Arnold Wesker / The Ventriloquist
Mark Rolston,Garfield Lynns / Firefly
