Player,G,AB,R,H,2B,3B,HR,RBI,SB,BB,AVG,SLG
Daric Barton,159,556,79,152,33,5,10,57,7,110,0.273,0.405
Kevin Kouzmanoff,143,551,59,136,32,1,16,71,2,24,0.247,0.396
Rajai Davis,143,525,66,149,28,3,5,52,50,26,0.284,0.377
Cliff Pennington,156,508,64,127,26,8,6,46,29,50,0.25,0.368
Kurt Suzuki,131,495,55,120,18,2,13,71,3,33,0.242,0.366
Mark Ellis,124,436,45,127,24,0,5,49,7,40,0.291,0.381
Jack Cust,112,349,50,95,19,0,13,52,2,68,0.272,0.438
Ryan Sweeney,82,303,41,89,20,2,1,36,1,24,0.294,0.383
Coco Crisp,75,290,51,81,14,4,8,38,32,30,0.279,0.438
Adam Rosales,80,255,31,69,8,2,7,31,2,19,0.271,0.4
Gabe Gross,105,222,27,53,11,1,1,25,5,17,0.239,0.311
Landon Powell,41,112,13,24,4,0,2,11,1,15,0.214,0.304
Eric Chavez,33,111,10,26,8,0,1,10,0,8,0.234,0.333
Eric Patterson,45,103,13,21,5,2,4,9,6,7,0.204,0.408
Jake Fox,39,98,11,21,5,0,2,12,0,5,0.214,0.327
Matt Carson,36,79,7,14,2,0,4,9,4,2,0.177,0.354
Chris Carter,24,70,8,13,1,0,3,7,1,7,0.186,0.329
Jeremy Hermida,21,64,5,16,4,0,1,2,0,4,0.25,0.359
Conor Jackson,18,57,6,13,2,0,1,5,2,11,0.228,0.316
Jeff Larish,24,57,5,10,3,0,2,8,1,7,0.175,0.333
Steven Tolleson,25,49,5,14,3,0,1,4,0,4,0.286,0.408
Travis Buck,14,42,6,7,2,0,1,2,1,4,0.167,0.286
Josh Donaldson,14,32,1,5,1,0,1,4,0,2,0.156,0.281
Akinori Iwamura,10,31,3,4,1,0,0,4,0,5,0.129,0.161
Matt Watson,12,30,2,6,2,0,1,4,0,3,0.2,0.367
Eric Sogard,4,7,0,3,0,0,0,0,0,2,0.429,0.429
Pitcher Totals,162,16,0,1,0,0,0,0,0,0,0.063,0.063
Team Totals,162,5448,663,1396,276,30,109,619,156,527,0.256,0.378
