Player,GP,GS,MPG,FG%,3P%,FT%,RPG,APG,SPG,BPG,PPG
Kobe Bryant,5,5,46.2,0.381,0.174,0.92,2.8,4.4,1.8,0.6,22.6
Brian Cook,3,0,7.0,0.167,0.0,1.0,2.7,0.0,0.3,0.0,1.3
Derek Fisher,5,0,20.2,0.306,0.375,0.571,3.0,1.8,1.0,0.0,6.4
Rick Fox,3,0,10.0,0.571,0.0,0.0,1.0,2.3,0.0,0.0,2.7
Devean George,5,5,20.8,0.393,0.333,0.5,2.8,0.6,1.0,0.4,5.8
Karl Malone,4,4,30.5,0.333,0.0,0.667,7.3,2.3,0.3,0.3,5.0
Slava Medvedenko,5,1,14.4,0.353,0.0,0.75,3.6,0.6,0.0,0.2,3.6
Shaquille O'Neal,5,5,42.6,0.631,0.0,0.491,10.8,1.6,0.4,0.6,26.6
Gary Payton,5,5,33.6,0.321,0.2,0.5,3.0,4.4,1.2,0.4,4.2
Kareem Rush,5,0,15.6,0.318,0.25,0.0,1.0,0.4,0.2,0.0,3.6
Bryon Russell,3,0,2.7,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0
Luke Walton,4,0,19.3,0.385,0.167,1.0,3.0,4.5,1.5,0.5,3.3
