Season,Venue,Location,Winner,Time,Distance,Date
1993,University of Montana,"Missoula, Montana",Todd Williams,26:55,10K,"November 27, 1993"
1993,University of Montana,"Missoula, Montana",Lynn Jennings,20:18,6K,"November 27, 1993"
1993,Plough Park,"Memphis, Tennessee",Bob Kennedy,36:25,12K,"February 5, 1994"
1994,Blue Lake Regional Park,"Portland, Oregon",Reuben Reina,30:00,10K,"December 4, 1994"
1994,Blue Lake Regional Park,"Portland, Oregon",Olga Appell,18:15,5.9K,"December 4, 1994"
1995,Franklin Park,"Boston, Massachusetts",Brad Schlapak,28.41,9.9K,"December 3, 1995"
1995,Franklin Park,"Boston, Massachusetts",Joan Nesbit,19:05,6K,"December 3, 1995"
1996,Stanford Golf Course,"Palo Alto, California",Reuben Reina,29:06,10K,"December 7, 1996"
1996,Stanford Golf Course,"Palo Alto, California",Lynn Jennings,21:06,6.5K,"December 7, 1996"
1997,Blue Lake Regional Park,"Portland, Oregon",Tim Hacker,27:31,10K,"December 7, 1997"
1997,Blue Lake Regional Park,"Portland, Oregon",Deena Drossin,26:35,8K,"December 7, 1997"
1997,ESPN Wide World of Sports Complex,"Lake Buena Vista, Florida",Dan Browne,11:08,4K,"January 31, 1998"
1997,ESPN Wide World of Sports Complex,"Lake Buena Vista, Florida",Amy Rudolph,12:38,4K,"January 31, 1998"
1997,ESPN Wide World of Sports Complex,"Lake Buena Vista, Florida",Nnenna Lynch,26:45,8K,"January 31, 1998"
1998,ESPN Wide World of Sports Complex,"Lake Buena Vista, Florida",Andre Williams,28:59,10K,"December 6, 1998"
1998,ESPN Wide World of Sports Complex,"Lake Buena Vista, Florida",Blake Phillips-Russell,20:06,6K,"December 6, 1998"
1998,Lake Spanaway Golf Course,"Tacoma, Washington",Adam Goucher,10:29,4K,"February 13, 1999"
1998,Lake Spanaway Golf Course,"Tacoma, Washington",Deena Drossin,25:15,8K,"February 13, 1999"
1998,Lake Spanaway Golf Course,"Tacoma, Washington",Alan Culpepper,34:24,12K,"February 14, 1999"
1998,Lake Spanaway Golf Course,"Tacoma, Washington",Amy Rudolph,11:59,4K,"February 14, 1999"
1999,El Dorado Regional Park,"Long Beach, California",Ray Appenheimer,28:59,10K,"December 5, 1999"
1999,El Dorado Regional Park,"Long Beach, California",Collette Liss,20:28,6K,"December 5, 1999"
1999,Bryan Park,"Greensboro, North Carolina",Adam Goucher,11:56,4K,"February 12, 2000"
1999,Bryan Park,"Greensboro, North Carolina",Deena Drossin,27:48,8K,"February 12, 2000"
1999,Bryan Park,"Greensboro, North Carolina",Adam Goucher,37:17,12K,"February 13, 2000"
1999,Bryan Park,"Greensboro, North Carolina",Deena Drossin,13:30,4K,"February 13, 2000"
2000,Franklin Park,"Boston, Massachusetts",Matt Downin,29:01,10K,"November 25, 2000"
2000,Franklin Park,"Boston, Massachusetts",Kim Fitchen,20:04,6K,"November 25, 2000"
2000,Fort Vancouver National Historic Site,"Vancouver, Washington",Tim Broe,11:32,4K,"February 17, 2001"
2000,Fort Vancouver National Historic Site,"Vancouver, Washington",Deena Drossin,26:14,8K,"February 17, 2001"
2000,Fort Vancouver National Historic Site,"Vancouver, Washington",Meb Keflezighi,34:54,12K,"February 18, 2001"
2000,Fort Vancouver National Historic Site,"Vancouver, Washington",Regina Jacobs,12:37,4K,"February 18, 2001"
2001,Battleship Memorial Park,"Mobile, Alabama",Jared Cordes,30:39,10K,"December 1, 2001"
2001,Battleship Memorial Park,"Mobile, Alabama",Priscilla Hein,20:21,6K,"December 1, 2001"
2001,Fort Vancouver National Historic Site,"Vancouver, Washington",Tim Broe,11:58,4K,"February 9, 2002"
2001,Fort Vancouver National Historic Site,"Vancouver, Washington",Deena Drossin,26:31,8K,"February 9, 2002"
