Manufacturer,Team,No.,Driver,Rounds
Chevrolet,Beard Motorsports,42,Clay Rogers,1
Chevrolet,Bobby Gerhart Racing,5,Bobby Gerhart,8
Chevrolet,Bobby Gerhart Racing,5,Brandon Kidd,1
Chevrolet,Bobby Gerhart Racing,7,Clair Zimmerman,1
Chevrolet,Bill Martel Racing,43,Kyle Martel,5
Chevrolet,CGH Motorsports,58,Chad Hackenbracht,9
Chevrolet,D & B Motorsports,24,Brian Campbell,1
Chevrolet,D & B Motorsports,27,Michael Simko,2
Chevrolet,Darrell Basham Racing,94,Jason Basham,11
Chevrolet,Delaney Motorsports,88,Dustin Delaney,1
Chevrolet,DGM Racing,12,Russ Dugger,3
Chevrolet,Hendren Motorsports,66,Jesse Smith,1
Chevrolet,Hixson Motorsports,7,Rob Jones,1
Chevrolet,Hixson Motorsports,29813,Ron Cox,2
Chevrolet,Hixson Motorsports,29813,Frank Wilson Jr.,1
Chevrolet,John Mackling,8,Kyle Logue,2
Chevrolet,JR Motorsports,7,Danica Patrick,1
Chevrolet,K Automotive Racing,29,Chad Finley,6
Chevrolet,K & K Racing,7,Justin Koch,1
Chevrolet,K & K Racing,9,Justin Koch,1
Chevrolet,Littleton Motorsports,5,Mark Littleton,2
Chevrolet,Lafferty Motorsports,89,Ted Minor,1
Chevrolet,MacZink Racing,45,Jeffery MacZink,1
Chevrolet,Matt Lofton Motorsports,97,Matt Lofton,1
Chevrolet,RBR Enterprises,92,Brandon McReynolds,1
Chevrolet,Richard Childress Racing,41,Ty Dillon,3
Chevrolet,Rick Ware Racing,47,Timmy Hill,3
Chevrolet,Tori Racing,33,Curt Tori,2
Chevrolet,Vision Racing,7,Tanner Berryhill,2
Chevrolet,WestWorld Motorsports,2,Daryl Harr,1
Dodge,Allgaier Motorsports,63,Tim Andrews,1
Dodge,Brevak Racing,3,Brent Brevak,3
Dodge,Capital City Motorsports,38,Greg Sarff,1
Dodge,Capital City Motorsports,38,Alex Kennedy,2
Dodge,Jones Group Racing,29,Jesse Smith,1
Dodge,Jones Group Racing,30,Terry Jones,5
Dodge,Richard Petty Driver Search,41,Dillon Moltz,1
Dodge,Schenkel Racing,7,Kent Schenkel,2
Dodge,Team Gill Racing,85,Lance Fenton,1
Ford,7VN Motorsports,70,Tony Palumbo,3
Ford,Brad Smith Motorsports,2,Wayne Peterson,2
Ford,Brad Smith Motorsports,2,Mike Young,2
Ford,Brad Smith Motorsports,96,Mike Buckley,1
Ford,Cowen Racing,80,Tim Cowen,4
Ford,Empire Racing,8382,Sean Corr,6
Ford,Hover Motorsports,80,Brad Lloyd,1
Ford,James Hylton Motorsports,18,James Hylton,1
Ford,Josh Williams Racing,2,Josh Williams,5
Ford,K & K Racing,79,Brent Raulston,2
Ford,Martins Motorsports,95,Tommy Joe Martins,1
Ford,McCreerey Motorsports,57,Rodney Melvin,2
Ford,NDS Motorsports,53,Steve Park,1
Ford,RAB Racing,9,Grant Enfinger,7
Ford,RAB Racing,9,Spencer Maggard,1
Toyota,Eddie Sharp Racing,2,Pierre Bourque,1
Toyota,Eddie Sharp Racing,6,Nelson Piquet Jr.,3
Toyota,Eddie Sharp Racing,6,Blake Koch,1
Toyota,Eddie Sharp Racing,6,Brandon McReynolds,3
Toyota,Eddie Sharp Racing,6,Kyle Fowler,2
Toyota,Eddie Sharp Racing,6,Kory Rabenold,1
Toyota,Eddie Sharp Racing,6,Andrew Belmont,1
Toyota,Eddie Sharp Racing,6,Kyle Belmont,3
Toyota,Eddie Sharp Racing,6,Ray Mooi,1
Toyota,Eddie Sharp Racing,6,Kevin Swindell,1
Toyota,Gresham Motorsports,71,Max Gresham,5
Toyota,Stringer Motorsports,90,Milka Duno,1
Toyota,Venturini Motorsports,66,Mark Thompson,2
Toyota 2 Chevrolet 5,Venturini Motorsports,35,John Wes Townley,1
Toyota 2 Chevrolet 5,Venturini Motorsports,35,Tom Berte,3
Toyota 2 Chevrolet 5,Venturini Motorsports,35,Brett Hudson,1
Toyota 2 Chevrolet 5,Venturini Motorsports,35,Hal Martin,1
Chevrolet 3 Dodge 4,Fast Track Racing,18,Marc Easton,2
Chevrolet 3 Dodge 4,Fast Track Racing,18,Mike Holt,1
Chevrolet 3 Dodge 4,Fast Track Racing,18,Richard Harriman,3
Chevrolet 3 Dodge 4,Fast Track Racing,18,Chris Davis,1
Chevrolet 3 Dodge 4,Mark Gibson Racing,18,Michael Sosebee,1
Chevrolet 3 Dodge 4,Mark Gibson Racing,9,Michael Sosebee,2
Chevrolet 3 Dodge 4,Mark Gibson Racing,9,Mark Gibson,1
Chevrolet 3 Dodge 4,Mark Gibson Racing,9,Larry Meadors,1
Chevrolet 3 Dodge 4,Mark Gibson Racing,9,Jeriod Prince,1
Chevrolet 1 Ford 4,Bowsher-Mooi Motorsports,21,Jennifer Jo Cobb,1
Chevrolet 1 Ford 4,Bowsher-Mooi Motorsports,21,Todd Bowsher,3
Chevrolet 1 Ford 4,Bowsher-Mooi Motorsports,21,Tom Graham,1
Chevrolet 6 Toyota 1,Ken Schrader Racing,52,Bill Baird,2
Chevrolet 6 Toyota 1,Ken Schrader Racing,52,Ken Schrader,2
Chevrolet 6 Toyota 1,Ken Schrader Racing,52,Kyle Fowler,3
Chevrolet 1 Ford 1,Ken Schrader Racing,99,Josh Richards,2
Chevrolet 2 Toyota 1 Ford 4,Bob Schacht Motorsports,75,Chuck Walker,1
Chevrolet 2 Toyota 1 Ford 4,Bob Schacht Motorsports,75,Benny Chastain,5
Chevrolet 2 Toyota 1 Ford 4,Bob Schacht Motorsports,75,Bob Schacht,1
Dodge 5 Ford 9 Chevrolet 5,Blackburn Motorsports 1 Kimmel Racing 13 Team LaCross Motorsports 1 Mark Gibson Racing 3,6888,Steve Blackburn,1
Dodge 5 Ford 9 Chevrolet 5,Blackburn Motorsports 1 Kimmel Racing 13 Team LaCross Motorsports 1 Mark Gibson Racing 3,6888,Will Kimmel,3
Dodge 5 Ford 9 Chevrolet 5,Blackburn Motorsports 1 Kimmel Racing 13 Team LaCross Motorsports 1 Mark Gibson Racing 3,6888,Larry Meadors,7
Dodge 5 Ford 9 Chevrolet 5,Blackburn Motorsports 1 Kimmel Racing 13 Team LaCross Motorsports 1 Mark Gibson Racing 3,6888,Matt Crafton,2
Dodge 5 Ford 9 Chevrolet 5,Blackburn Motorsports 1 Kimmel Racing 13 Team LaCross Motorsports 1 Mark Gibson Racing 3,6888,Brent Cross,1
Dodge 5 Ford 9 Chevrolet 5,Blackburn Motorsports 1 Kimmel Racing 13 Team LaCross Motorsports 1 Mark Gibson Racing 3,6888,Michael Sosebee,5
Dodge 5 Chevrolet 10,Team Johnson Motorsports,76,Jerick Johnson,15
Dodge 1 Ford 12 Chevrolet 2 Toyota 1,Mark Gibson Racing 1 Roulo Brothers Racing 12 Kelly Kovski Motorsports 2 Hattori Racing Enterprises 1,17,Hal Martin,1
Dodge 1 Ford 12 Chevrolet 2 Toyota 1,Mark Gibson Racing 1 Roulo Brothers Racing 12 Kelly Kovski Motorsports 2 Hattori Racing Enterprises 1,17,Billy Leslie,1
Dodge 1 Ford 12 Chevrolet 2 Toyota 1,Mark Gibson Racing 1 Roulo Brothers Racing 12 Kelly Kovski Motorsports 2 Hattori Racing Enterprises 1,17,Chris Buescher,8
Dodge 1 Ford 12 Chevrolet 2 Toyota 1,Mark Gibson Racing 1 Roulo Brothers Racing 12 Kelly Kovski Motorsports 2 Hattori Racing Enterprises 1,17,Chase Mattioli,3
Dodge 1 Ford 12 Chevrolet 2 Toyota 1,Mark Gibson Racing 1 Roulo Brothers Racing 12 Kelly Kovski Motorsports 2 Hattori Racing Enterprises 1,17,Kelly Kovski,2
Dodge 1 Ford 12 Chevrolet 2 Toyota 1,Mark Gibson Racing 1 Roulo Brothers Racing 12 Kelly Kovski Motorsports 2 Hattori Racing Enterprises 1,17,Miguel Paludo,1
Ford 2 Chevrolet 1,Spraker Racing Enterprises,4237,Scott Stenzel,2
Ford 2 Chevrolet 1,Spraker Racing Enterprises,4237,Joey Gase,1
Toyota 1 Chevrolet 2,Turner Motorsports,4,Ricky Carmichael,3
Toyota 2 Dodge 5 Chevrolet 1,Phoenix Racing,51,James Buescher,3
