Manufacturer,Assoc. football,Austr. football,Baseball,Basketball,Boxing,Cricket,Golf,Gridiron football,Ice hockey,Racing,Rugby,Tennis
Ace Authentic,No,No,No,No,No,No,No,No,No,No,No,Yes
Action Packed,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No
Allen & Ginter,No,No,Yes,No,No,No,No,No,No,No,No,No
Allworld,No,No,No,No,Yes,No,Yes,No,No,No,No,No
American Tobacco,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes
Best,No,No,Yes,No,No,No,No,No,No,No,No,No
Bowman,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No
Churchman,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes
"Classic Games, Inc.",No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes
Collect-A-Card,No,No,No,Yes,No,No,No,No,No,No,No,No
Collector's Edge,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes
Courtside,No,No,No,Yes,No,No,Yes,No,No,No,No,No
Donruss,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes
Extreme Sports,No,No,No,No,No,No,Yes,No,No,No,No,No
FanGir,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Yes
Fleer,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No
Futera,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No
Front Row,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No
Gallaher,Yes,No,No,No,No,Yes,No,No,No,No,No,No
Genuine Article,No,No,No,Yes,No,No,No,No,No,No,No,No
Godfrey Phillips,Yes,Yes,No,No,No,No,No,No,No,No,No,No
Goodwin & Company,No,Yes,Yes,No,No,No,No,No,No,No,No,No
Goudey,No,No,Yes,No,No,No,No,No,No,No,No,No
Grand Slam Ventures,No,No,No,No,No,No,Yes,No,No,No,No,No
Grandstand,No,No,Yes,No,No,No,No,No,No,No,No,No
Hi-Tech,No,No,No,No,No,No,No,No,No,Yes,No,No
JOGO Inc.,No,No,No,No,No,No,Yes,No,No,No,No,No
Just Minors,No,No,Yes,No,No,No,No,No,No,No,No,No
Kayo,No,No,No,No,Yes,No,No,No,No,No,No,No
"Leaf, Inc.",No,No,Yes,No,Yes,No,Yes,No,No,No,No,No
Maxx,No,No,No,No,No,No,No,No,No,Yes,No,No
Multi-Ad,No,No,Yes,No,No,No,No,No,No,No,No,No
National Chicle,No,No,Yes,No,No,No,No,No,No,No,No,No
NetPro,No,No,No,No,No,No,No,No,No,No,No,Yes
O-Pee-Chee,No,No,Yes,No,No,No,Yes,No,Yes,No,No,No
Pacific,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No
Panini Group,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Parkhurst,No,No,No,No,No,No,Yes,No,Yes,No,No,No
Philadelphia Gum,No,No,Yes,No,No,No,No,Yes,No,No,No,No
Pinnacle Brands,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No
"Press Pass, Inc.",No,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No
Pro Set,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No
ProCards,No,No,Yes,No,No,No,No,No,Yes,No,No,No
Razor Entertainment,No,No,Yes,No,No,No,Yes,No,No,No,No,No
Rittenhouse,No,No,No,Yes,No,No,No,No,No,Yes,No,No
Royal Rookies,No,No,Yes,No,No,No,Yes,No,No,No,No,No
"SA-GE Collectibles, Inc.",No,No,No,Yes,No,No,Yes,Yes,No,No,No,No
Select Australia,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,No
Signature Rookies,No,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No
SkyBox,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No
Sniders & Abrahams,No,Yes,No,No,No,Yes,No,No,No,No,No,No
Stampii,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No
Star Co.,No,No,Yes,Yes,No,No,No,No,No,No,No,No
Star Pics,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No
Superior Pix,No,No,No,Yes,No,No,Yes,No,No,No,No,No
Superior Rookies,No,No,No,No,No,No,Yes,No,No,No,No,No
Topps,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
Traks,No,No,No,No,No,No,No,No,No,Yes,No,No
Tristar,No,No,Yes,No,No,No,No,No,No,No,No,No
Upper Deck,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes
USA Baseball,No,No,Yes,No,No,No,No,No,No,No,No,No
Wild Card,No,No,No,Yes,No,No,Yes,No,No,No,No,No
Wizards of the Coast,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No
Wills,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,No
Wonder Bread,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No
