Period,Population,Live births,Deaths,Natural change,Birth rate (per 1000),Death rate (per 1000),Natural change (per 1000),Crude migration rate (per 1000),Total Fertility rate,Infant mortality (1000 births),Life expectancy (years)
1950,3544000,167000,92000,75000,47.0,25.9,21.1,,7.6,179.6,44.14
1951,3621000,171000,92000,80000,47.3,25.4,22.0,-0.7,7.6,177.5,44.45
1952,3703000,176000,91000,85000,47.6,24.7,23.0,-0.9,7.61,173.3,44.99
1953,3791000,182000,90000,91000,47.9,23.9,24.0,-0.8,7.61,169.1,45.7
1954,3886000,187000,88000,99000,48.0,22.6,25.5,-1.1,7.62,160.2,46.97
1955,3989000,192000,85000,107000,48.2,21.3,26.8,-1.0,7.62,151.7,48.31
1956,4099000,197000,83000,114000,48.0,20.3,27.7,-0.9,7.59,143.9,49.39
1957,4217000,202000,81000,121000,47.8,19.1,28.7,-7.0,7.57,136.6,50.58
1958,4341000,207000,79000,128000,47.6,18.2,29.4,-0.8,7.54,129.9,51.57
1959,4473000,212000,77000,135000,47.3,17.2,30.1,-0.6,7.51,123.7,52.61
1960,4611000,217000,75000,142000,47.0,16.3,30.7,-0.8,7.49,118.0,53.55
1961,4752000,221000,74000,147000,46.5,15.5,31.0,-1.3,7.43,113.0,54.44
1962,4895000,227000,73000,154000,46.4,14.8,31.5,-2.3,7.44,108.4,55.09
1963,5045000,233000,72000,162000,46.2,14.2,32.0,-2.3,7.44,104.2,55.78
1964,5203000,241000,71000,170000,46.2,13.6,32.6,-2.2,7.47,100.3,56.5
1965,5368000,249000,70000,179000,46.3,13.1,33.3,-2.6,7.51,96.5,57.11
1966,5542000,258000,70000,188000,46.5,12.6,33.8,-2.4,7.55,92.7,57.6
1967,5723000,267000,70000,197000,46.6,12.2,34.4,-2.8,7.58,88.9,58.1
1968,5913000,276000,68000,208000,46.6,11.5,35.1,-3.0,7.6,85.0,59.07
1969,6111000,288000,67000,220000,47.0,11.0,36.0,-3.6,7.67,81.1,59.88
1970,6319000,298000,67000,231000,47.1,10.5,36.5,-3.6,7.69,77.2,60.53
1971,6539000,305000,65000,240000,46.7,10.0,36.7,-3.1,7.65,73.5,61.37
1972,6769000,314000,65000,249000,46.3,9.6,36.7,-2.7,7.61,70.1,61.9
1973,7003000,322000,69000,253000,45.9,9.8,36.1,-2.7,7.56,66.9,60.69
