Document,Date of approval of final text,Vote on final text,Date of promulgation,Vote preceding promulgation
Constitutions,,,,
Church,1964-Nov-19,"2,134 to 10",1964-Nov-21,"2,151 to 5"
Revelation,1965-Oct-29,"2,081 to 27",1965-Nov-18,"2,344 to 6"
Liturgy,1963-Nov-22,"2,159 to 19",1963-Dec-04,"2,147 to 4"
Church and Modern World,1965-Dec-06,"2,111 to 251",1965-Dec-07,"2,309 to 75"
Decrees,,,,
Bishops,1965-Oct-06,"2,167 to 14",1965-Oct-28,"2,319 to 2"
Priestly Ministry,1965-Dec-04,"2,243 to 11",1965-Dec-07,"2,390 to 4"
Priestly Formation,1965-Oct-13,"2,196 to 15",1965-Oct-28,"2,318 to 3"
Religious Life,1965-Oct-11,"2,126 to 13",1965-Oct-28,"2,321 to 4"
Lay Apostolate,1965-Nov-10,"2,201 to 2",1965-Nov-18,"2,305 to 2"
Eastern Churches,1964-Nov-20,"1,964 to 135",1964-Nov-21,"2,110 to 39"
Ecumenism,1964-Nov-20,"2,054 to 64",1964-Nov-21,"2,137 to 11"
Missions,1965-Dec-02,"2,162 to 18",1965-Dec-07,"2,394 to 5"
Media,1963-Nov-24,"1,598 to 503",1963-Dec-04,"1,960 to 164"
Declarations,,,,
Non-Christian Religions,1965-Oct-15,"1,763 to 250",1965-Oct-28,"2,221 to 88"
Religious Freedom,1965-Nov-19,"1,954 to 249",1965-Dec-07,"2,308 to 70"
Christian Education,1965-Oct-14,"1,912 to 183",1965-Oct-28,"2,290 to 35"
