Date,Milestone
"January 29, 1979",Contract Award to Rockwell International's Space Transportation Systems Division
"March 30, 1980",Start structural assembly of crew module
"November 23, 1981",Start structural assembly of aft-fuselage
"June 13, 1983","Wings arrive at Palmdale, California, from Grumman"
"December 2, 1983",Start of final assembly
"April 10, 1984",Final assembly completed
"March 6, 1985",Rollout from Palmdale
"April 3, 1985",Overland transport from Palmdale to Edwards Air Force Base
"April 13, 1985",Delivery to Kennedy Space Center.
"September 12, 1985",Flight Readiness Firing
"October 3, 1985",First launch
