Week,FedEx Air Player of the Week (Quarterbacks),FedEx Ground Player of the Week (Running Backs),Pepsi Max Rookie of the Week
1,Robert Griffin III,C. J. Spiller,Robert Griffin III
2,Eli Manning,Reggie Bush,Trent Richardson
3,Joe Flacco,Jamaal Charles,Andrew Luck
4,Tom Brady,Brandon Bolden,Robert Griffin III
5,Alex Smith,Ahmad Bradshaw,Andrew Luck
6,Aaron Rodgers,Shonn Greene,Robert Griffin III
7,Drew Brees,Chris Johnson,Alfred Morris
8,Tom Brady,Doug Martin,Andrew Luck
9,Andrew Luck,Doug Martin,Doug Martin
10,Joe Flacco,Adrian Peterson,Russell Wilson
11,Matt Schaub,Doug Martin,Robert Griffin III
12,Robert Griffin III,Arian Foster,Robert Griffin III
13,Russell Wilson,Adrian Peterson,Robert Griffin III
14,Tom Brady,Adrian Peterson,Alfred Morris
15,Matt Ryan,Knowshon Moreno,Kirk Cousins
16,Aaron Rodgers,Jamaal Charles,Robert Griffin III
17,Peyton Manning,Alfred Morris,Alfred Morris
