Team,Stadium,Home Games,Total Attendance,Average Attendance,Capacity  percentage
Dallas,AT&T Stadium,8,704345,88043,110.4%
New York Giants,MetLife Stadium,8,641148,80148,97.1%
Green Bay,Lambeau Field,8,623577,77947,106.9%
Washington,FedExField,8,617767,77220,84.2%
New York Jets,MetLife Stadium,8,615656,76957,93.3%
Denver,Sports Authority Field at Mile High,8,614977,76872,101.0%
Kansas City,Arrowhead Stadium,8,602877,75359,98.2%
Carolina,Bank of America Stadium,8,587544,73443,99.5%
New Orleans,Mercedes-Benz Superdome,8,583210,72901,99.9%
Houston,Reliant Stadium,8,573271,71658,100.9%
Cleveland,FirstEnergy Stadium,8,569969,71242,97.3%
Baltimore,M&T Bank Stadium,8,569084,71135,100.2%
Atlanta,Georgia Dome,8,561795,70224,98.6%
San Francisco,Candlestick Park,8,557856,69732,99.3%
Philadelphia,Lincoln Financial Field,8,553152,69144,102.3%
Tennessee,LP Field,8,553144,69143,100.0%
New England,Gillette Stadium,8,550048,68756,100.0%
Seattle,CenturyLink Field,8,545577,68197,101.8%
Buffalo,Ralph Wilson Stadium,7,463873,66267,90.7%
Indianapolis,Lucas Oil Stadium,8,527606,65950,104.7%
Miami,Sun Life Stadium,8,514553,64319,85.5%
San Diego,Qualcomm Stadium,8,513641,64205,90.1%
Minnesota,Hubert H. Humphrey Metrodome,7,448135,64019,99.8%
Detroit,Ford Field,8,510369,63796,98.9%
Cincinnati,Paul Brown Stadium,8,506377,63297,96.6%
Chicago,Soldier Field,8,498864,62358,101.4%
Arizona,University of Phoenix Stadium,8,488271,61033,96.6%
Jacksonville,EverBank Field,7,419581,59940,89.2%
Tampa Bay,Raymond James Stadium,8,470548,58818,89.6%
Pittsburgh,Heinz Field,8,458489,57311,88.2%
St. Louis,Edward Jones Dome,8,455657,56957,87.2%
Oakland,O.co Coliseum,8,403556,50444,80.0%
