Location,Airport,IATA Code
Abakan,Abakan International Airport,ABA
Anadyr,Ugolny Airport,DYR
Anapa,Anapa Airport,AAQ
Arkhangelsk,Talagi Airport,ARH
Astrakhan,Narimanovo Airport,ASF
Barnaul,Barnaul Airport,BAX
Belgorod,Belgorod International Airport,EGO
Blagoveshchensk,Ignatyevo Airport,BQS
Bratsk,Bratsk Airport,BTK
Bryansk,Bryansk International Airport,BZK
Cheboksary,Cheboksary International Airport,CSY
Chelyabinsk,Chelyabinsk Airport,CEK
Cherepovets,Cherepovets Airport,CEE
Chita,Chita-Kadala International Airport,HTA
Elista,Elista Airport,ESL
Grozny,Grozny Airport,GRV
Irkutsk,Irkutsk Airport,IKT
Kaliningrad,Khrabrovo Airport,KGD
Kazan,Kazan Airport,KZN
Khabarovsk,Khabarovsk Novy Airport,KHV
Komsomolsk-on-Amur,Komsomolsk-on-Amur Airport,KXK
Krasnodar,Pashkovsky Airport,KRR
Krasnoyarsk,Yemelyanovo International Airport,KJA
Kursk,Kursk Vostochny Airport,URS
Magadan,Sokol Airport,GDX
Magnitogorsk,Magnitogorsk International Airport,MQF
Makhachkala,Uytash Airport,MCX
Mineralnye Vody,Mineralnye Vody Airport,MRV
Moscow,Domodedovo International Airport,DME
Moscow,Zhukovsky International Airport,ZIA
Moscow,Sheremetyevo International Airport,SVO
Moscow,Vnukovo Airport,VKO
Murmansk,Murmansk Airport,MMK
Nalchik,Nalchik Airport,NAL
Nizhnekamsk,Begishevo Airport,NBC
Nizhnevartovsk,Nizhnevartovsk Airport,NJC
Nizhny Novgorod,Strigino Airport,GOJ
Novokuznetsk,Spichenkovo Airport,NOZ
Novosibirsk,Tolmachevo Airport,OVB
Omsk,Omsk Tsentralny Airport,OMS
Orenburg,Orenburg Tsentralny Airport,REN
Orsk,Orsk Airport,OSW
Perm,Perm International Airport,PEE
Petrozavodsk,Petrozavodsk Airport,PES
Provideniya,Provideniya Bay Airport,PVS
Petropavlovsk-Kamchatsky,Yelizovo Airport,PKC
Pskov,Pskov Airport,PKV
Rostov-on-Don,Platov International Airport,ROV
Saint Petersburg,Pulkovo Airport,LED
Samara,Samara Kurumoch Airport,KUF
Saratov,Saratov Gagarin Airport,GSV
Sochi,Sochi International Airport,AER
Stavropol,Stavropol Shpakovskoye Airport,STW
Surgut,Surgut International Airport,SGC
Syktyvkar,Syktyvkar Airport,SCW
Tomsk,Bogashevo Airport,TOF
Tyumen,Roshchino International Airport,TJM
Ulan-Ude,Baikal International Airport,UUD
Ulyanovsk,Ulyanovsk Baratayevka Airport,ULV
Ufa,Ufa International Airport,UFA
Vladivostok,Vladivostok International Airport,VVO
Vladikavkaz,Beslan Airport,OGZ
Volgograd,Volgograd International Airport,VOG
Voronezh,Voronezh International Airport,VOZ
Yakutsk,Yakutsk Airport,YKS
Yaroslavl,Tunoshna Airport,IAR
Yekaterinburg,Koltsovo International Airport,SVX
Yuzhno-Sakhalinsk,Yuzhno-Sakhalinsk Airport,UUS
