Pos,Grid,Car,Driver,Team,Manufacturer,Laps Run,Points
1,1,99,Carl Edwards,Roush Fenway Racing,Ford,312,1901
2,19,39,Ryan Newman,Stewart-Haas Racing,Chevrolet,312,170
3,10,20,Joey Logano,Joe Gibbs Racing,Toyota,312,165
4,4,16,Greg Biffle,Roush Fenway Racing,Ford,312,160
5,21,48,Jimmie Johnson,Hendrick Motorsports,Chevrolet,312,155
6,29,29,Kevin Harvick,Richard Childress Racing,Chevrolet,312,150
7,15,17,Matt Kenseth,Roush Fenway Racing,Ford,312,1511
8,28,5,Mark Martin,Hendrick Motorsports,Chevrolet,312,142
9,3,2,Kurt Busch,Penske Racing,Dodge,312,1431
10,5,1,Jamie McMurray,Earnhardt Ganassi Racing,Chevrolet,312,134
11,22,24,Jeff Gordon,Hendrick Motorsports,Chevrolet,312,130
12,17,11,Denny Hamlin,Joe Gibbs Racing,Toyota,312,1372
13,7,18,Kyle Busch,Joe Gibbs Racing,Toyota,312,1291
14,31,88,Dale Earnhardt Jr.,Hendrick Motorsports,Chevrolet,312,121
15,11,56,Martin Truex Jr.,Michael Waltrip Racing,Toyota,312,118
16,35,42,Juan Pablo Montoya,Earnhardt Ganassi Racing,Chevrolet,312,115
17,20,14,Tony Stewart,Stewart-Haas Racing,Chevrolet,312,112
18,2,43,A. J. Allmendinger,Richard Petty Motorsports,Ford,312,109
19,40,31,Jeff Burton,Richard Childress Racing,Chevrolet,312,106
20,26,9,Bobby Labonte,Phoenix Racing,Chevrolet,311,1081
21,14,33,Clint Bowyer,Richard Childress Racing,Chevrolet,311,100
22,13,47,Marcos Ambrose,JTG Daugherty Racing,Toyota,311,97
23,8,78,Regan Smith,Furniture Row Racing,Chevrolet,311,94
24,24,13,Casey Mears,Germain Racing,Toyota,311,91
25,12,6,David Ragan,Roush Fenway Racing,Ford,310,88
26,6,0,David Reutimann,Michael Waltrip Racing,Toyota,310,85
27,9,9,Aric Almirola,Richard Petty Motorsports,Ford,310,82
28,23,19,Elliott Sadler,Richard Petty Motorsports,Ford,310,79
29,19,98,Paul Menard,Richard Petty Motorsports,Ford,310,76
30,25,83,Kasey Kahne,Red Bull Racing Team,Toyota,310,73
31,33,26,J. J. Yeley,Latitude 43 Motorsports,Ford,309,70
32,16,77,Sam Hornish Jr.,Penske Racing,Dodge,309,67
33,34,7,Robby Gordon,Robby Gordon Motorsports,Toyota,308,64
34,38,38,Travis Kvapil,Front Row Motorsports,Ford,308,61
35,27,82,Scott Speed,Red Bull Racing Team,Toyota,307,58
36,42,34,Tony Raines,Front Row Motorsports,Ford,306,55
37,32,36,Dave Blaney,Tommy Baldwin Racing,Chevrolet,306,52
38,37,37,David Gilliland,Front Row Motorsports,Ford,274,49
39,36,55,Mike Bliss,Prism Motorsports,Toyota,193,46
40,39,64,Landon Cassill,Max Q Motorsports,Toyota,191,43
41,43,81,Terry Labonte,Whitney Motorsports,Dodge,190,40
42,30,12,Brad Keselowski,Penske Racing,Dodge,58,37
43,41,71,Brendan Gaughan,TRG Motorsports,Chevrolet,1,34
