SI.,Caste,Particulars of connected orders
*16,Jolah,Notification No.705-TW/EC dt. 13.12.94
*31,"Fakir, Sain",Notification No. 183-TW/EC dt. 8 March 1996
*44,Hawari,Notification No. 93-TW/EC dt. 1 February 1997
*49,Dhunia,Notification No. 93-TW/EC dt. 1 February 1997
*50,Patidar,Notification No. 93-TW/EC dt. 1 February 1997
*51,Kasai,Notification No. 93-TW/EC dt. 1 February 1997
*52,Pajra,
*54,Nashya-Sekh,Notification No. 84-BCW/RC dt. 01.03.1999
*63,Shershabadia,Notification No. 5001-BCW Dt.7-10-02
*65,Hajjam,Notification No.3230 - BCW dt. 04-12-08 read with No. 264/BCW dt. 28-01-09
*66,Chowduli,Notification No. 485/BCW dt. 20 February 2009
*68,Beldar Muslim,Notification No. 771-BCW/MR-436/1999 dt. 05-03-2010
*69,Khotta Muslim,Notification No. 771-BCW/MR-436/1999 dt. 05-03-2010
*70,Sardar,Notification No. 771-BCW/MR-436/1999 dt. 05-03-2010
*71,Nikari,Notification No. 1403-BCW/MR-436/99 dt. 26 April 2010
*72,Mahaldar,Notification No. 1403-BCW/MR-436/99 dt. 26 April 2010
*73,Dhukr,Notification No. 1403-BCW/MR-436/99 dt. 26 April 2010
*74,Basni / Bosni,Notification No. 1403-BCW/MR-436/99 dt. 26 April 2010
*75,Abdal,Notification No. 1403-BCW/MR-436/99 dt. 26 April 2010
*76,Kan,Notification No. 1403-BCW/MR-436/99 dt. 26 April 2010
*77,Tutia,Notification No. 1639-BCW/MR-436/1999 dt. 14 May 2010
*78,Gaven,Notification No. 1639-BCW/MR-436/1999 dt. 14 May 2010
*79,Bhatia Muslim,Notification No. 1639-BCW/MR-436/1999 dt. 14 May 2010
*80,Midde,Notification No. 1929-BCW/MR-436/99 dt. 2 June 2010
*81,Mallick,Notification No. 1929-BCW/MR-436/99 dt. 2 June 2010
*83,Laskar,Notification No. 1929-BCW/MR-436/99 dt. 2 June 2010
*84,Baidya Muslim,Notification No. 1929-BCW/MR-436/99 dt. 2 June 2010
*86,Chutor Mistri,Notification No. 1929-BCW/MR-436/99 dt. 2 June 2010
*87,Dafadar,Notification No. 1929-BCW/MR-436/99 dt. 2 June 2010
*88,Mal Muslim,Notification No. 1929-BCW/MR-436/99 dt. 2 June 2010
*89,Majhi / Patni Muslim,Notification No. 1929-BCW/MR-436/99 dt. 2 June 2010
*90,Muchi / Chamar Muslim,Notification No. 1929-BCW/MR-436/99 dt. 2 June 2010
*91,Nehariya,Notification No. 2317-BCW/MR-436/99 dated 1 July 2010
*92,Muslim Haldar,Notification No. 2317-BCW/MR-436/99 dated 1 July 2010
*93,Muslim Mandal,Notification No. 2317-BCW/MR-436/99 dated 1 July 2010
*95,Muslim Sanpui/Sapui,Notification No. 2317-BCW/MR-436/99 dated 1 July 2010
*96,Muslim Biswas,Notification No. 2317-BCW/MR-436/99 dated 1 July 2010
*97,Muslim Mali,Notification No. 2317-BCW/MR-436/99 dated 1 July 2010
*98,Ghosi,Notification No. 2317-BCW/MR-436/99 dated 1 July 2010
*99,Darji / Ostagar / Idrishi,Notification No. 2317-BCW/MR-436/99 dated 1 July 2010
*100,Rajmistri,Notification No. 5045-BCW/MR-436/99 dated 31 August 2010
*101,Bhatiyara,Notification No. 5045-BCW/MR-436/99 dated 31 August 2010
*102,Mollah,Notification No. 5045-BCW/MR-436/99 dated 31 August 2010
*103,Dhali,Notification No. 5045-BCW/MR-436/99 dated 31 August 2010
*104,Tal-Pakha Benia,Notification No. 5045-BCW/MR-436/99 dated 31 August 2010
*105,Muslim Piyada,Notification No. 5045-BCW/MR-436/99 dated 31 August 2010
*106,Muslim Barujibi / Barui,Notification No. 5045-BCW/MR-436/99 dated 31 August 2010
*107,Bepari / Byapari Muslim,Notification No. 5045-BCW/MR-436/99 dated 31 August 2010
*108,Penchi,Notification No. 6305-BCW / MR-436/99 dated 24 September 2010
*109,Bhangi,Notification No. 1673-BCW / MR-209/11 dated 11 May 2012
*110,Dhatri/Dai/Dhaity,Notification No. 1673-BCW / MR-209/11 dated 11 May 2012
*111,Gharami,Notification No. 1673-BCW / MR-209/11 dated 11 May 2012
*112,Ghorkhan,Notification No. 1673-BCW / MR-209/11 dated 11 May 2012
*113,Halsana,Notification No. 1673-BCW / MR-209/11 dated 11 May 2012
*114,Kayal,Notification No. 1673-BCW / MR-209/11 dated 11 May 2012
*115,Naiya,Notification No. 1673-BCW / MR-209/11 dated 11 May 2012
*116,Shikari/Sikari,Notification No. 1673-BCW / MR-209/11 dated 11 May 2012
*117,Adaldar,Notification No. 1673-BCW / MR-209/11 dated 11 May 2012
*118,Adaldar,Notification No. 1673-BCW / MR-209/11 dated 11 May 2012
*119,Akunji/Akan/Akhan,Notification No. 1673-BCW / MR-209/11 dated 11 May 2012
*120,Bag,Notification No. 1673-BCW / MR-209/11 dated 11 May 2012
*121,Chaprashi,Notification No. 1673-BCW / MR-209/11 dated 11 May 2012
*122,Churihar,Notification No. 1673-BCW / MR-209/11 dated 11 May 2012
*123,Daptari,Notification No. 1673-BCW / MR-209/11 dated 11 May 2012
*124,Dewan,Notification No. 1673-BCW / MR-209/11 dated 11 May 2012
