Year,Title,Language,Songs
2010,Autograph,Bengali,Amake Amar Moto Thakte Dao and Benche Thakar Gaan
2011,Chalo Paltai,Bengali,Full album
2011,Rang Milanti,Bengali,Tai Shoi
2011,Baishe Srabon,Bengali,Full album
2012,One Liner,Bengali,Stalled
2012,Teen Yaari Katha,Bengali,Teen Yaari Katha
2012,Hemlock Society,Bengali,Full album
2012,Laptop,Bengali,Proshner Dawl
2012,Chorabali,Bengali,Chorabali title track
2013,Shunyo Awnko,Bengali,Bibhotsho Mawja and Dhushor Chul
2014,Chaya Manush,Bengali,Full album
2014,Window Connection,Bengali,Full album
2014,Highway,Bengali,Full album
2014,Chotushkone,Bengali,Full album
2015,Bela Seshe,Bengali,Obhabe Keno and Shesh Belay
2015,Piku,Hindi,Full album + background score
2015,Family Album,Bengali,Full album
2015,Jomer Raja Dilo Bor,Bengali,Full album
2015,Katmundu,Bengali,Full album
2016,Praktan,Bengali,Kolkata and Tumi Jake Bhalobaso
2016,Khawto,Bengali,Full album
2016,Shaheb Bibi Golaam,Bengali,Full album
2016,Pink,Hindi,Tujhse Hi Hai Roshni and Pink Title Track
2016,Zulfiqar,Bengali,Full album
2017,Black Coffee,Bengali,Full album + background score
2017,Runningshaadi.com,Hindi,Main Faraar Sa
2017,Posto,Bengali,Posto Title Track and Keno Erokom Kichhu Holona
2017,Dear Maya,Hindi,Full album + background score
2017,Arani Takhon,Bengali,Ekbar Phirte Dao
2017,Champ,Bengali,Tumio Chaamp
2017,Maacher Jhol,Bengali,Full album
2017,Projapoti Biskut,Bengali,Ahare Mon
2017,Chawlochitro Circus,Bengali,Full album
2017,Chol Kuntal,Bengali,Chol Kuntal
2018,Pari,Hindi,Full album
2018,Ghare & Baire,Bengali,"Tui Ki Kore Dili, Hridoyer Rong & Tara Khoshe Pore"
2018,October,Hindi,Tab Bhi Tu
2018,Aatwaja,Bengali,Full album
2018,Drishtikone,Bengali,Full album
2018,Uma,Bengali,Full album
2018,Debi,Bengali,Du Mutho Bikel
2018,Rosogolla,Bengali,Rosogolla Anthem
2019,Shah Jahan Regency,Bengali,Ghure Takao & Rondhre Rondhre Paap
2019,Badla,Hindi,Badla Title Track
2019,Vinci Da,Bengali,Full album
2019,Konttho,Bengali,Alote Alote Dhaka & Tomar Jonmodine
2019,Bhootchakra Pvt. Ltd.,Bengali,Full Album
2019,Bornoporichoy,Bengali,Full Album
2019,Sanjhbati,Bengali,Full Album
2020,Dwitiyo Purush,Bengali,Full Album
2021,Prem Tame,Bengali,Jawl Phoring 2.0
2021,Avwanchhit,Marathi,Full Album
2021,Flyover,Bengali,Moner Modhye Bhoy
2021,Bony,Bengali,Full Album
2021,Bob Biswas,Hindi,Mujhe Mujhse Kaun Bachayega
2021,Anusandhan,Bengali,Anek Durer Manush
2022,Bela Shuru,Bengali,"Shohage Aadore, Ki Mayay"
2022,Projapoti,Bengali,Tumi Amar Hero
2023,Nonte Phonte,Bengali,Title Track
2023,Ardhangini,Bengali,Full Album
2023,Dawshom Awbotaar,Bengali,Full Album
2023,Pradhan,Bengali,Phire Esho
2023,Shastry Viruddh Shastry,Hindi,"Natkhattu, Khushi Ke Bahane"
2023,Trial Period,Hindi,Background Score
2023,Dhai Aakhar,Hindi,Full Album + Background Score
2024,Alaap,Bengali,Full Album
2024,Ajogyo,Bengali,Full Album
2024,Bohurupi,Bengali,Aj Shara Bela
2025,Killbill Society,Bengali,"Nei tumi ager moto, Bhalobese Basona, Sondhey Naame"
2025,Bhagyolokkhi,Bengali,Full Album
2025,Aamar Boss,Bengali,Full Album
2025,Chandrabindoo,Bengali,Full Album
2025,Dhumketu,Bengali,Unreleased
