Place,Nation,Rope,Ball,Clubs,Ribbon,Total
1,Russia,48.875,49.625,48.15,50.0,166025.0
2,Ukraine,45.825,44.9,47.025,46.325,157175.0
3,Belarus,43.375,46.2,43.325,43.925,148925.0
4,Bulgaria,43.05,42.325,43.475,42.65,145175.0
5,Azerbaijan,40.025,41.55,41.225,42.375,141350.0
6,Spain,38.35,40.3,40.075,38.775,134475.0
7,Kazakhstan,36.325,39.95,39.0,39.65,132925.0
8,Japan,38.725,37.2,38.8,37.6,128700.0
9,Israel,34.75,37.175,38.75,38.325,127.775
10,Italy,37.725,37.1,37.7,36.6,126.6
11,Poland,35.25,36.0,37.35,36.625,124025.0
12,France,36.2,35.95,36.775,37.0,122975.0
13,China,34.75,36.175,36.7,33.2,119.75
14,Canada,34.95,36.175,36.7,33.2,119.6
15,Slovenia,34.9,32.775,36.525,32.275,116875.0
16,Georgia,31.4,34.25,36.8,33.3,115375.0
17,South Korea,33.25,34.225,35.8,30.825,114.1
18,Uzbekistan,32.95,32.2,34.975,30.575,113.35
19,Turkey,30.575,33.85,34.45,33.3,112.975
20,Latvia,32.775,33.125,34.875,32.725,112.8
21,Malaysia,33.275,32.55,35.875,31.875,112.775
22,United States,32.625,32.625,34.85,32.075,112.15
23,Finland,33.575,31.975,34.35,32.1,112025.0
24,Portugal,32.725,32.725,34.825,31.475,111.675
25,Hungary,34.0,30.175,34.45,31.225,110.85
26,Estonia,32.375,30.675,33.4,31.125,109.55
27,South Africa,31.975,29.275,32.725,29.725,105.675
28,Brazil,31.05,31.55,32.475,29.175,105.125
29,Australia,30.125,30.775,31.925,29.925,103.4
30,Sweden,28.0,29.65,31.8,29.925,102.2
31,India,14.8,15.925,15.525,16.625,53.325
