Rank,Title,Distributor,Worldwide gross
1,Shrek 2,DreamWorks,"$935,454,538"
2,Harry Potter and the Prisoner of Azkaban,Warner Bros.,"$798,076,924"
3,Spider-Man 2,Sony Pictures,"$783,766,341"
4,The Incredibles,Buena Vista,"$631,442,092"
5,The Passion of the Christ,Icon / Newmarket,"$611,486,736"
6,The Day After Tomorrow,20th Century Fox,"$552,639,571"
7,Meet the Fockers,Universal / DreamWorks,"$522,657,936"
8,Troy,Warner Bros.,"$497,409,852"
9,Shark Tale,DreamWorks,"$374,583,879"
10,Ocean's Twelve,Warner Bros.,"$362,744,280"
