State,Senator,Party,Vote on Cloture,Vote on Repeal
Hawaii,Daniel Akaka,Democratic,Aye,Aye
Tennessee,Lamar Alexander,Republican,No,No
Wyoming,John Barrasso,Republican,No,No
Montana,Max Baucus,Democratic,Aye,Aye
Indiana,Evan Bayh,Democratic,Aye,Aye
Alaska,Mark Begich,Democratic,Aye,Aye
Colorado,Michael Bennet,Democratic,Aye,Aye
Utah,Robert Bennett,Republican,No,No
New Mexico,Jeff Bingaman,Democratic,Aye,Aye
Missouri,Kit Bond,Republican,No,No
California,Barbara Boxer,Democratic,Aye,Aye
Ohio,Sherrod Brown,Democratic,Aye,Aye
Massachusetts,Scott Brown,Republican,Aye,Aye
Kansas,Sam Brownback,Republican,No,No
Kentucky,Jim Bunning,Republican,Did not vote,Did not vote
North Carolina,Richard Burr,Republican,No,Aye
Washington,Maria Cantwell,Democratic,Aye,Aye
Maryland,Ben Cardin,Democratic,Aye,Aye
Delaware,Tom Carper,Democratic,Aye,Aye
Pennsylvania,"Bob Casey, Jr.",Democratic,Aye,Aye
Georgia,Saxby Chambliss,Republican,No,No
Oklahoma,Tom Coburn,Republican,No,No
Mississippi,Thad Cochran,Republican,No,No
Maine,Susan Collins,Republican,Aye,Aye
North Dakota,Kent Conrad,Democratic,Aye,Aye
Delaware,Chris Coons,Democratic,Aye,Aye
Tennessee,Bob Corker,Republican,No,No
Texas,John Cornyn,Republican,No,No
Idaho,Mike Crapo,Republican,No,No
South Carolina,Jim DeMint,Republican,No,No
Connecticut,Chris Dodd,Democratic,Aye,Aye
North Dakota,Byron Dorgan,Democratic,Aye,Aye
Illinois,Dick Durbin,Democratic,Aye,Aye
Nevada,John Ensign,Republican,No,Aye
Wyoming,Mike Enzi,Republican,No,No
Wisconsin,Russ Feingold,Democratic,Aye,Aye
California,Dianne Feinstein,Democratic,Aye,Aye
Minnesota,Al Franken,Democratic,Aye,Aye
New York,Kirsten Gillibrand,Democratic,Aye,Aye
South Carolina,Lindsey Graham,Republican,No,No
Iowa,Chuck Grassley,Republican,No,No
New Hampshire,Judd Gregg,Republican,Did not vote,Did not vote
North Carolina,Kay Hagan,Democratic,Aye,Aye
Iowa,Tom Harkin,Democratic,Aye,Aye
Utah,Orrin Hatch,Republican,Did not vote,Did not vote
Texas,Kay Bailey Hutchison,Republican,No,No
Oklahoma,Jim Inhofe,Republican,No,No
Hawaii,Daniel Inouye,Democratic,Aye,Aye
Georgia,Johnny Isakson,Republican,No,No
Nebraska,Mike Johanns,Republican,No,No
South Dakota,Tim Johnson,Democratic,Aye,Aye
Massachusetts,John Kerry,Democratic,Aye,Aye
Illinois,Mark Kirk,Republican,Aye,Aye
Minnesota,Amy Klobuchar,Democratic,Aye,Aye
Wisconsin,Herb Kohl,Democratic,Aye,Aye
Arizona,Jon Kyl,Republican,No,No
Louisiana,Mary Landrieu,Democratic,Aye,Aye
New Jersey,Frank Lautenberg,Democratic,Aye,Aye
Vermont,Patrick Leahy,Democratic,Aye,Aye
Florida,George LeMieux,Republican,No,No
Michigan,Carl Levin,Democratic,Aye,Aye
Connecticut,Joe Lieberman,Independent,Aye,Aye
Arkansas,Blanche Lincoln,Democratic,Aye,Aye
Indiana,Richard Lugar,Republican,No,No
West Virginia,Joe Manchin,Democratic,No,Did not vote
Arizona,John McCain,Republican,No,No
Missouri,Claire McCaskill,Democratic,Aye,Aye
Kentucky,Mitch McConnell,Republican,No,No
New Jersey,Bob Menendez,Democratic,Aye,Aye
Oregon,Jeff Merkley,Democratic,Aye,Aye
Maryland,Barbara Mikulski,Democratic,Aye,Aye
Alaska,Lisa Murkowski,Republican,Aye,Aye
Washington,Patty Murray,Democratic,Aye,Aye
Nebraska,Ben Nelson,Democratic,Aye,Aye
Florida,Bill Nelson,Democratic,Aye,Aye
Arkansas,Mark Pryor,Democratic,Aye,Aye
Rhode Island,Jack Reed,Democratic,Aye,Aye
Nevada,Harry Reid,Democratic,Aye,Aye
Idaho,Jim Risch,Republican,No,No
Kansas,Pat Roberts,Republican,No,No
West Virginia,Jay Rockefeller,Democratic,Aye,Aye
Vermont,Bernie Sanders,Independent,Aye,Aye
New York,Chuck Schumer,Democratic,Aye,Aye
Alabama,Jeff Sessions,Republican,No,No
New Hampshire,Jeanne Shaheen,Democratic,Aye,Aye
Alabama,Richard Shelby,Republican,No,No
Maine,Olympia Snowe,Republican,Aye,Aye
Pennsylvania,Arlen Specter,Democratic,Aye,Aye
Michigan,Debbie Stabenow,Democratic,Aye,Aye
Montana,Jon Tester,Democratic,Aye,Aye
South Dakota,John Thune,Republican,No,No
Colorado,Mark Udall,Democratic,Aye,Aye
New Mexico,Tom Udall,Democratic,Aye,Aye
Louisiana,David Vitter,Republican,No,No
Ohio,George Voinovich,Republican,Aye,Aye
Virginia,Mark Warner,Democratic,Aye,Aye
Virginia,Jim Webb,Democratic,Aye,Aye
Rhode Island,Sheldon Whitehouse,Democratic,Yes,Aye
Mississippi,Roger Wicker,Republican,No,No
Oregon,Ron Wyden,Democratic,Yes,Yes
