Candidates,Hillary Clinton,Bernie Sanders,Abstain
Alabama,50,9,1
Alaska,6,14,0
American Samoa,8,3,0
Arizona,51,34,0
Arkansas,27,10,0
California,330,221,0
Colorado,36,41,1
Connecticut,44,27,0
Delaware,23,9,0
Democrats Abroad,7,10,0
"Washington, D.C.",39,5,0
Florida,163,72,11
Georgia,87,29,1
Guam,9,2,1
Hawaii,15,19,0
Idaho,7,20,0
Illinois,98,74,11
Indiana,48,43,1
Iowa,30,21,0
Kansas,14,23,0
Kentucky,33,27,0
Louisiana,45,14,0
Maine,12,18,0
Maryland,84,36,0
Massachusetts,68,46,1
Michigan,81,66,0
Minnesota,42,47,4
Mississippi,33,7,1
Missouri,49,35,0
Montana,14,12,1
Nebraska,13,16,0
Nevada,27,16,1
New Hampshire,16,16,0
New Jersey,90,45,7
New Mexico,27,16,0
New York,181,108,2
North Carolina,70,48,2
North Dakota,7,14,2
Northern Marianas,9,2,0
Ohio,98,62,0
Oklahoma,20,22,0
Oregon,34,38,2
Pennsylvania,126,82,0
Puerto Rico,44,23,0
Rhode Island,19,13,1
South Carolina,46,13,0
South Dakota,15,10,0
Tennessee,50,23,2
Texas,179,72,0
Utah,8,29,0
Vermont,4,22,0
"Virgin Islands, U.S.",12,0,0
Virginia,75,33,0
Washington,42,74,2
West Virginia,19,18,0
Wisconsin,47,49,0
Wyoming,11,7,0
Unassigned,0,0,1
States and territories,40,16,1
Total delegates,2842,1865,56
